dataset,wrap_limit_deg,config,train_seconds,target_range_deg,wrap_events_train,wrap_events_holdout,inwindow_rmse_scaled,inwindow_r2,inwindow_rmse_circ_deg,extrap_rmse_circ_deg,representation,mean_unit_radius
double_frictionless,none,nb120_full-2nd_g0_quantile_raw_probability_l21e-09,21.9,1649.7,0,0,0.23905,0.0365,81.916,107.425,pointwise,
double_frictionless,180,nb120_full-2nd_g0_quantile_raw_probability_l21e-09,20.4,359.9,66,3,0.26231,-0.05586,73.672,106.852,pointwise,
double_frictionless,180,,20.4,359.9,66,3,0.26231,-0.05586,73.672,106.852,hysteresis,
double_frictionless,360,nb120_full-2nd_g0_quantile_raw_probability_l21e-09,20.6,719.9,111,5,0.24993,0.03406,68.53,108.015,pointwise,
double_frictionless,360,,20.8,719.8,48,3,0.20137,0.39461,62.514,108.868,hysteresis,
double_frictionless,n/a,,41.1,2.0,0,0,,,74.115,92.102,sin/cos,0.8428
triple_frictionless,none,nb120_full-2nd_g0_quantile_raw_probability_l21e-09,30.5,1248.5,0,0,0.15272,0.46122,58.991,108.739,pointwise,
triple_frictionless,180,nb120_full-2nd_g0_quantile_raw_probability_l21e-09,30.4,359.8,64,2,0.16747,0.34596,49.788,106.895,pointwise,
triple_frictionless,180,,30.2,359.8,64,2,0.16747,0.34596,49.788,106.895,hysteresis,
triple_frictionless,360,nb120_full-2nd_g0_quantile_raw_probability_l21e-09,30.4,716.6,93,20,0.21146,0.1108,54.89,108.245,pointwise,
triple_frictionless,360,,30.5,719.4,56,2,0.18329,0.06332,59.471,109.082,hysteresis,
triple_frictionless,n/a,,60.4,2.0,0,0,,,48.021,80.053,sin/cos,0.8651
quintuple_frictionless,none,nb120_full-2nd_g0_quantile_raw_probability_l21e-09,50.4,1588.7,0,0,0.23276,-0.09978,51.908,107.687,pointwise,
quintuple_frictionless,180,nb120_full-2nd_g0_quantile_raw_probability_l21e-09,49.7,359.9,143,8,0.18363,0.22725,50.478,111.384,pointwise,
quintuple_frictionless,180,,50.4,359.9,143,8,0.18363,0.22725,50.478,111.384,hysteresis,
quintuple_frictionless,360,nb120_full-2nd_g0_quantile_raw_probability_l21e-09,50.5,539.9,279,14,0.17098,0.27174,59.01,103.679,pointwise,
quintuple_frictionless,360,,51.0,719.9,91,8,0.17673,0.24434,51.176,104.185,hysteresis,
quintuple_frictionless,n/a,,100.7,2.0,0,0,,,43.602,71.849,sin/cos,0.8998
quintuple_friction,none,nb120_full-2nd_g0_quantile_raw_probability_l21e-09,50.3,612.0,0,0,0.07239,0.88735,12.336,92.195,pointwise,
quintuple_friction,180,nb120_full-2nd_g0_quantile_raw_probability_l21e-09,50.0,359.7,35,1,0.07503,0.86635,13.721,107.168,pointwise,
quintuple_friction,180,,50.4,359.7,35,1,0.07503,0.86635,13.721,107.168,hysteresis,
quintuple_friction,360,nb120_full-2nd_g0_quantile_raw_probability_l21e-09,50.5,469.8,273,27,0.13608,0.80561,38.33,92.816,pointwise,
quintuple_friction,360,,50.8,719.5,35,1,0.07625,0.86999,15.843,95.822,hysteresis,
quintuple_friction,n/a,,101.0,2.0,0,0,,,12.076,109.096,sin/cos,0.9787
