dataset,wrap_limit_deg,config,train_seconds,target_range_deg,wrap_events_train,wrap_events_holdout,inwindow_rmse_scaled,inwindow_r2,inwindow_rmse_circ_deg,extrap_rmse_circ_deg
double_frictionless,none,nb120_full-2nd_g0_uniform_raw_probability_l21e-09,22.7,1649.7,0,0,0.24978,-0.06091,79.742,108.215
double_frictionless,180,nb120_full-2nd_g0_uniform_raw_probability_l21e-09,21.2,359.9,66,3,0.26187,-0.04515,73.709,107.211
double_frictionless,240,nb120_full-2nd_g0_uniform_raw_probability_l21e-09,22.0,478.7,76,3,0.24404,-0.0415,73.619,108.795
double_frictionless,300,nb120_full-2nd_g0_uniform_raw_probability_l21e-09,22.0,599.0,94,5,0.2511,-0.08023,69.584,108.037
double_frictionless,360,nb120_full-2nd_g0_uniform_raw_probability_l21e-09,20.3,719.9,111,5,0.25925,-0.0427,68.544,107.402
double_frictionless,420,nb120_full-2nd_g0_uniform_raw_probability_l21e-09,20.1,839.2,93,5,0.27203,-0.04929,68.087,108.145
triple_frictionless,none,nb120_full-2nd_g0_uniform_raw_probability_l21e-09,29.7,1248.5,0,0,0.15636,0.43262,57.508,111.54
triple_frictionless,180,nb120_full-2nd_g0_uniform_raw_probability_l21e-09,30.0,359.8,64,2,0.16811,0.34098,49.815,111.629
triple_frictionless,240,nb120_full-2nd_g0_uniform_raw_probability_l21e-09,33.4,478.5,66,8,0.17875,0.20403,50.731,110.74
triple_frictionless,300,nb120_full-2nd_g0_uniform_raw_probability_l21e-09,53.0,598.2,79,12,0.19478,0.12719,52.896,111.39
triple_frictionless,360,nb120_full-2nd_g0_uniform_raw_probability_l21e-09,33.0,716.6,93,20,0.21276,0.09873,56.626,111.742
triple_frictionless,420,nb120_full-2nd_g0_uniform_raw_probability_l21e-09,33.3,829.9,79,16,0.23653,-0.00503,58.589,110.745
quintuple_frictionless,none,nb120_full-2nd_g0_uniform_raw_probability_l21e-09,55.1,1588.7,0,0,0.23299,-0.11375,50.205,107.228
quintuple_frictionless,180,nb120_full-2nd_g0_uniform_raw_probability_l21e-09,49.5,359.9,143,8,0.18493,0.20776,50.491,110.715
quintuple_frictionless,240,nb120_full-2nd_g0_uniform_raw_probability_l21e-09,49.6,419.9,164,8,0.17285,0.21374,51.822,107.182
quintuple_frictionless,300,nb120_full-2nd_g0_uniform_raw_probability_l21e-09,50.0,480.0,234,12,0.1733,0.19867,52.477,103.827
quintuple_frictionless,360,nb120_full-2nd_g0_uniform_raw_probability_l21e-09,49.9,539.9,279,14,0.17277,0.2481,59.497,103.46
quintuple_frictionless,420,nb120_full-2nd_g0_uniform_raw_probability_l21e-09,52.0,599.9,253,12,0.17926,0.25003,60.182,104.764
quintuple_friction,none,nb120_full-2nd_g0_uniform_raw_probability_l21e-09,54.7,612.0,0,0,0.07384,0.88265,12.613,86.328
quintuple_friction,180,nb120_full-2nd_g0_uniform_raw_probability_l21e-09,54.2,359.7,35,1,0.07643,0.86012,13.895,104.44
quintuple_friction,240,nb120_full-2nd_g0_uniform_raw_probability_l21e-09,53.6,359.9,59,1,0.07734,0.85774,14.521,96.702
quintuple_friction,300,nb120_full-2nd_g0_uniform_raw_probability_l21e-09,53.6,410.0,157,5,0.10782,0.76675,27.477,89.883
quintuple_friction,360,nb120_full-2nd_g0_uniform_raw_probability_l21e-09,53.4,469.8,273,27,0.14014,0.79561,38.129,86.569
quintuple_friction,420,nb120_full-2nd_g0_uniform_raw_probability_l21e-09,54.2,529.9,115,6,0.09247,0.85153,26.194,85.77
double_friction,none,nb120_full-2nd_g0_uniform_raw_probability_l21e-09,21.5,268.1,0,0,0.01461,0.99689,3.703,105.38
double_friction,180,nb120_full-2nd_g0_uniform_raw_probability_l21e-09,21.3,268.1,0,0,0.01461,0.99689,3.703,105.38
double_friction,240,nb120_full-2nd_g0_uniform_raw_probability_l21e-09,20.6,268.1,0,0,0.01461,0.99689,3.703,105.38
double_friction,300,nb120_full-2nd_g0_uniform_raw_probability_l21e-09,20.3,268.1,0,0,0.01461,0.99689,3.703,105.38
double_friction,360,nb120_full-2nd_g0_uniform_raw_probability_l21e-09,20.7,268.1,0,0,0.01461,0.99689,3.703,105.38
double_friction,420,nb120_full-2nd_g0_uniform_raw_probability_l21e-09,20.6,268.1,0,0,0.01461,0.99689,3.703,105.38
triple_friction,none,nb120_full-2nd_g0_uniform_raw_probability_l21e-09,30.8,207.8,0,0,0.01751,0.99281,3.494,98.904
triple_friction,180,nb120_full-2nd_g0_uniform_raw_probability_l21e-09,30.6,207.8,0,0,0.01751,0.99281,3.494,98.904
triple_friction,240,nb120_full-2nd_g0_uniform_raw_probability_l21e-09,30.5,207.8,0,0,0.01751,0.99281,3.494,98.904
triple_friction,300,nb120_full-2nd_g0_uniform_raw_probability_l21e-09,30.7,207.8,0,0,0.01751,0.99281,3.494,98.904
triple_friction,360,nb120_full-2nd_g0_uniform_raw_probability_l21e-09,31.2,207.8,0,0,0.01751,0.99281,3.494,98.904
triple_friction,420,nb120_full-2nd_g0_uniform_raw_probability_l21e-09,30.6,207.8,0,0,0.01751,0.99281,3.494,98.904
