unit,cycle,RUL_true,RUL_pred
11,1,58.0,31.88280520053813
11,2,57.0,41.236725238827006
11,3,56.0,42.490386571188786
11,4,55.0,42.6123278493509
11,5,54.0,32.92832746586049
11,6,53.0,34.00631733232834
11,7,52.0,31.853648180619444
11,8,51.0,31.81678194512411
11,9,50.0,32.40276890928533
11,10,49.0,35.51553138121247
11,11,48.0,32.857413487083775
11,12,47.0,27.4653671726935
11,13,46.0,33.62160642108489
11,14,45.0,36.96688156263224
11,15,44.0,36.80342929828774
11,16,43.0,32.68602855194639
11,17,42.0,32.681979574546446
11,18,41.0,40.20419295573662
11,19,40.0,22.672700312802448
11,20,39.0,39.18639520146261
11,21,38.0,36.509237210830605
11,22,37.0,33.499948113688625
11,23,36.0,31.775125721149628
11,24,35.0,34.15731243344649
11,25,34.0,35.20115748918756
11,26,33.0,28.412895453966545
11,27,32.0,37.908885220855566
11,28,31.0,37.48105436442316
11,29,30.0,35.77169735537884
11,30,29.0,28.92891793901774
11,31,28.0,28.173341522054606
11,32,27.0,40.17588091665652
11,33,26.0,36.23843246427344
11,34,25.0,41.3363166302731
11,35,24.0,34.58354827732763
11,36,23.0,38.98720701897392
11,37,22.0,34.60236357870461
11,38,21.0,34.35725879197215
11,39,20.0,25.55975364781491
11,40,19.0,35.81342564295414
11,41,18.0,35.51343621222582
11,42,17.0,37.1039475797883
11,43,16.0,44.33873638504709
11,44,15.0,35.33823211166815
11,45,14.0,35.15439104246691
11,46,13.0,33.23440740781198
11,47,12.0,40.340937761636916
11,48,11.0,32.360829465320144
11,49,10.0,33.29869888916305
11,50,9.0,40.38075913627493
11,51,8.0,36.26519708372109
11,52,7.0,32.09602522500771
11,53,6.0,37.3339481011501
11,54,5.0,31.430019136794
11,55,4.0,37.897496440510835
11,56,3.0,37.802940002637015
11,57,2.0,25.467591824515168
11,58,1.0,39.210590570193304
11,59,0.0,33.043220412601016
14,1,75.0,0.0
14,2,74.0,41.000909718261774
14,3,73.0,0.0
14,4,72.0,41.60411336640765
14,5,71.0,37.27603124545015
14,6,70.0,38.60593675959286
14,7,69.0,41.600229739802955
14,8,68.0,0.0
14,9,67.0,40.60403540485264
14,10,66.0,40.561309341978586
14,11,65.0,34.72801107762912
14,12,64.0,37.29501964391444
14,13,63.0,41.627036174370026
14,14,62.0,36.91253407466632
14,15,61.0,40.16628037787635
14,16,60.0,41.012538795472416
14,17,59.0,37.30036812318673
14,18,58.0,36.91924167930696
14,19,57.0,40.54383826483298
14,20,56.0,36.91871460892176
14,21,55.0,40.53121953856337
14,22,54.0,0.0
14,23,53.0,36.9104062972938
14,24,52.0,37.3289178539281
14,25,51.0,0.0
14,26,50.0,0.0
14,27,49.0,0.0
14,28,48.0,36.92509362765305
14,29,47.0,0.0
14,30,46.0,41.03558604195985
14,31,45.0,36.92261012187385
14,32,44.0,0.0
14,33,43.0,41.05711760795752
14,34,42.0,0.0
14,35,41.0,40.47766833118939
14,36,40.0,40.46045109113798
14,37,39.0,0.0
14,38,38.0,40.39328479086617
14,39,37.0,40.223918839265295
14,40,36.0,42.64007455017592
14,41,35.0,0.0
14,42,34.0,0.0
14,43,33.0,0.0
14,44,32.0,0.0
14,45,31.0,0.0
14,46,30.0,0.0
14,47,29.0,40.4674912962625
14,48,28.0,0.0
14,49,27.0,41.151180680517996
14,50,26.0,37.50659461863125
14,51,25.0,0.0
14,52,24.0,37.54669518797305
14,53,23.0,37.5606874720693
14,54,22.0,40.03954031944757
14,55,21.0,38.850073219544775
14,56,20.0,0.0
14,57,19.0,41.250577459825486
14,58,18.0,0.0
14,59,17.0,0.0
14,60,16.0,0.0
14,61,15.0,0.0
14,62,14.0,0.0
14,63,13.0,37.06905553290367
14,64,12.0,0.0
14,65,11.0,0.0
14,66,10.0,35.20960125993426
14,67,9.0,0.0
14,68,8.0,37.377361097153084
14,69,7.0,0.0
14,70,6.0,39.865820436869946
14,71,5.0,0.0
14,72,4.0,39.49689486054361
14,73,3.0,35.52751253435094
14,74,2.0,30.63763556703705
14,75,1.0,32.41818964832626
14,76,0.0,39.71184565420956
15,1,66.0,31.564195780917707
15,2,65.0,33.67914875119165
15,3,64.0,35.385478796460994
15,4,63.0,37.428499822839534
15,5,62.0,28.124115842331314
15,6,61.0,39.91621066825983
15,7,60.0,14.621993907766006
15,8,59.0,36.076182785629534
15,9,58.0,36.021142046498966
15,10,57.0,33.7746475394743
15,11,56.0,40.56831435197018
15,12,55.0,37.003450193188655
15,13,54.0,35.397974755867686
15,14,53.0,33.7547051679672
15,15,52.0,28.517395659373832
15,16,51.0,33.78976684880722
15,17,50.0,36.351276326545985
15,18,49.0,28.410867331545347
15,19,48.0,38.28592214873822
15,20,47.0,31.2505420812427
15,21,46.0,35.03919656497849
15,22,45.0,37.06173714928182
15,23,44.0,31.283597056867855
15,24,43.0,40.02354101519966
15,25,42.0,33.004988178039405
15,26,41.0,38.17819273518134
15,27,40.0,35.89535620582882
15,28,39.0,26.602993039336784
15,29,38.0,29.738545369978297
15,30,37.0,36.65761569653815
15,31,36.0,15.363458346527215
15,32,35.0,21.420182075615298
15,33,34.0,41.74773106986558
15,34,33.0,33.89110093093792
15,35,32.0,36.02548717868692
15,36,31.0,0.0
15,37,30.0,34.20874458959127
15,38,29.0,36.58143172328964
15,39,28.0,33.23010809578391
15,40,27.0,31.378049799758404
15,41,26.0,36.24037348501978
15,42,25.0,20.780530716003632
15,43,24.0,35.956611804271134
15,44,23.0,28.38593445717605
15,45,22.0,36.98864106712051
15,46,21.0,37.79179130100685
15,47,20.0,38.01220700276464
15,48,19.0,35.759477356916065
15,49,18.0,32.58851127947773
15,50,17.0,34.87913743732752
15,51,16.0,26.099410853245104
15,52,15.0,39.53088583929865
15,53,14.0,34.41480188589469
15,54,13.0,25.266134185737254
15,55,12.0,34.791819048419086
15,56,11.0,37.859005912484236
15,57,10.0,28.129383697642975
15,58,9.0,36.96921555436556
15,59,8.0,37.76753310869682
15,60,7.0,17.193170785510084
15,61,6.0,33.53133266874182
15,62,5.0,36.04843629030229
15,63,4.0,0.2568753991873862
15,64,3.0,38.641091950324856
15,65,2.0,42.268214488336966
15,66,1.0,31.206768943934765
15,67,0.0,24.457072310869748
