unit,cycle,RUL_true,RUL_pred
11,1,58.0,47.69100537672982
11,2,57.0,56.70120469592748
11,3,56.0,46.697113550538084
11,4,55.0,45.41712255221023
11,5,54.0,51.519078688907896
11,6,53.0,48.40351990594722
11,7,52.0,43.69736097618526
11,8,51.0,48.769960922213194
11,9,50.0,47.04048731140239
11,10,49.0,58.35480964314736
11,11,48.0,48.05044799687381
11,12,47.0,54.357154905031905
11,13,46.0,53.02973458010463
11,14,45.0,53.991595818535245
11,15,44.0,55.447643912724374
11,16,43.0,43.762433357860985
11,17,42.0,48.21145306205584
11,18,41.0,56.73023219322748
11,19,40.0,57.06013764121262
11,20,39.0,55.35396079597739
11,21,38.0,43.95693671463522
11,22,37.0,41.03178444253054
11,23,36.0,39.29858731908915
11,24,35.0,47.49025403722705
11,25,34.0,35.4579168351544
11,26,33.0,34.73450410381774
11,27,32.0,34.426620878064014
11,28,31.0,36.03552533559524
11,29,30.0,42.68168577828045
11,30,29.0,32.472350832072216
11,31,28.0,30.043989470100215
11,32,27.0,31.081799426175174
11,33,26.0,31.795799430830016
11,34,25.0,30.94185398178247
11,35,24.0,31.3347307122383
11,36,23.0,25.756082729655056
11,37,22.0,29.868228214164947
11,38,21.0,24.882121223587074
11,39,20.0,36.0289641328523
11,40,19.0,26.200218651019313
11,41,18.0,24.815174529159027
11,42,17.0,24.79124161100864
11,43,16.0,20.51557200844294
11,44,15.0,19.69014653321434
11,45,14.0,22.025231231451613
11,46,13.0,16.367715789287104
11,47,12.0,17.807194369739538
11,48,11.0,15.597470188030607
11,49,10.0,10.513497035206711
11,50,9.0,14.141362936607287
11,51,8.0,6.832355533288641
11,52,7.0,12.272249993213235
11,53,6.0,6.217079447607485
11,54,5.0,3.059125397427227
11,55,4.0,3.508767924478061
11,56,3.0,-2.8714808139372288
11,57,2.0,3.655919795423035
11,58,1.0,-9.568124199635506
11,59,0.0,0.3087864289197988
14,1,75.0,39.477025035795506
14,2,74.0,35.27007588085328
14,3,73.0,38.495352850384926
14,4,72.0,45.02051988835533
14,5,71.0,49.36726378043966
14,6,70.0,49.67498713141961
14,7,69.0,45.57862768839475
14,8,68.0,39.70145460328982
14,9,67.0,37.34922537041551
14,10,66.0,37.06262411114091
14,11,65.0,0.0
14,12,64.0,47.58161469551824
14,13,63.0,43.212992295006046
14,14,62.0,45.415080911374396
14,15,61.0,43.97057314213133
14,16,60.0,33.685048444990414
14,17,59.0,45.594724329438016
14,18,58.0,45.18538410627052
14,19,57.0,36.50460561839437
14,20,56.0,44.33283626897545
14,21,55.0,36.2749849228077
14,22,54.0,36.351711419881426
14,23,53.0,46.38166099198024
14,24,52.0,43.219321807024656
14,25,51.0,36.33882800179633
14,26,50.0,35.370751124721465
14,27,49.0,36.28721530222726
14,28,48.0,41.25284457058045
14,29,47.0,35.402065563329444
14,30,46.0,31.086589707220455
14,31,45.0,40.59351375694179
14,32,44.0,39.377886245407005
14,33,43.0,30.38089817108288
