X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9,X10,Y10,X11,Y11,X12,Y12,X13,Y13,X14,Y14,X15,Y15,X16,Y16,X17,Y17,X18,Y18,X19,Y19,X20,Y20,X21,Y21,X22,Y22,X23,Y23,X24,Y24,X25,Y25,X26,Y26,X27,Y27,X28,Y28,X29,Y29,X30,Y30,X31,Y31,X32,Y32,X33,Y33,X34,Y34,X35,Y35,X36,Y36,X37,Y37,X38,Y38,X39,Y39,X40,Y40,X41,Y41,X42,Y42,X43,Y43,X44,Y44,X45,Y45,X46,Y46,X47,Y47,X48,Y48,X49,Y49,X50,Y50,X51,Y51,X52,Y52,X53,Y53,X54,Y54,X55,Y55,X56,Y56,X57,Y57,X58,Y58,X59,Y59,X60,Y60,X61,Y61,X62,Y62,X63,Y63,X64,Y64,X65,Y65,X66,Y66,X67,Y67,X68,Y68,X69,Y69,X70,Y70,X71,Y71,X72,Y72,X73,Y73,X74,Y74,X75,Y75,X76,Y76,X77,Y77,X78,Y78,X79,Y79,X80,Y80,X81,Y81,X82,Y82,X83,Y83,X84,Y84,X85,Y85,X86,Y86,X87,Y87,X88,Y88,X89,Y89,X90,Y90,X91,Y91,X92,Y92,X93,Y93,X94,Y94,X95,Y95,X96,Y96,X97,Y97,X98,Y98,X99,Y99,X100,Y100,Power1,Power2,Power3,Power4,Power5,Power6,Power7,Power8,Power9,Power10,Power11,Power12,Power13,Power14,Power15,Power16,Power17,Power18,Power19,Power20,Power21,Power22,Power23,Power24,Power25,Power26,Power27,Power28,Power29,Power30,Power31,Power32,Power33,Power34,Power35,Power36,Power37,Power38,Power39,Power40,Power41,Power42,Power43,Power44,Power45,Power46,Power47,Power48,Power49,Power50,Power51,Power52,Power53,Power54,Power55,Power56,Power57,Power58,Power59,Power60,Power61,Power62,Power63,Power64,Power65,Power66,Power67,Power68,Power69,Power70,Power71,Power72,Power73,Power74,Power75,Power76,Power77,Power78,Power79,Power80,Power81,Power82,Power83,Power84,Power85,Power86,Power87,Power88,Power89,Power90,Power91,Power92,Power93,Power94,Power95,Power96,Power97,Power98,Power99,Power100,qW,Total_Power
1,1,1,51,1,101,1,151,398,0,397.46,75.07,397.18,149.14,349,198,598,0,597.46,75.07,597.18,149.14,549,198,1198,0,1197.46,75.07,1197.18,149.14,1149,198,1398,0,1397.46,75.07,1397.18,149.14,1349,198,1,201,1,270,1,340,50,398,598,200,597.46,275.07,597.18,349.14,549,398,798,200,797.46,275.07,797.18,349.14,749,398,1198,200,1197.46,275.07,1197.18,349.14,1149,398,1398,400,1397.46,475.07,1397.18,549.14,1349,598,401,601,401,670,401,740,450,798,798,600,797.46,675.07,797.18,749.14,749,798,1198,600,1197.46,675.07,1197.18,749.14,1149,798,198,800,197.46,875.07,197.18,949.14,149,998,598,800,597.46,875.07,597.18,949.14,549,998,1198,800,1197.46,875.07,1197.18,949.14,1149,998,198,1000,197.46,1075.07,197.18,1149.14,149,1198,598,1000,597.46,1075.07,597.18,1149.14,549,1198,1048,1001,1098,1050,1148,1100,1198,1150,1,1398,50,1398,100,1398,150,1398,398,1200,397.46,1275.07,397.18,1349.14,349,1398,598,1200,597.46,1275.07,597.18,1349.14,549,1398,998,1200,997.46,1275.07,997.18,1349.14,949,1398,1198,1200,1197.46,1275.07,1197.18,1349.14,1149,1398,1398,1200,1397.46,1275.07,1397.18,1349.14,1349,1398,90499.84,79473.4,74169.82,71235.36,93005.06,82354.01,73843.68,67444.89,98145.38,87879.29,81443.16,66000.76,100291.03,91248.42,88082.81,77388.61,107765.85,103003.7,98713.47,89651.73,68537.18,70533.79,68374.73,67647.96,70037.87,64868.82,64767.54,63042.32,82537.72,74372.83,71013.19,65635.89,81509.82,85838.74,88495.36,80183.09,94148.35,90824.93,89083.06,81162.68,69697.68,67250.6,64731.04,60775.91,73199.99,72314.41,70876.45,65720.03,79464.82,81699.47,86267.14,69831.47,66364.92,64161.59,63435.22,58221.97,64576.31,63044.49,64933.19,56313.07,82795.39,84585.52,85096.46,77649.85,55886.27,56372,57918.6,58600.37,60253.47,60488.25,61874.93,53094.16,69391.33,71935.61,77298.95,79626.63,59840.57,57491.68,58430.15,61982.82,54553.93,53167.08,55939.88,59140.04,57003.66,56602.5,58926.96,57552.46,65347.46,62446.34,60206.57,59383.26,74018.52,71727.79,67966.45,63101.26,88826.02,86531.44,83786.68,73514.19,0.69,7247491.41
198,0,197.18,80.53,193.59,150,77.58,198,598,0,597.18,80.53,593.59,150,477.58,198,798,0,797.18,80.53,793.59,150,677.58,198,1398,0,1397.18,80.53,1393.59,150,1277.58,198,398,200,397.18,280.53,393.59,350,277.58,398,598,200,597.18,280.53,593.59,350,477.58,398,798,200,797.18,280.53,793.59,350,677.58,398,198,400,197.18,480.53,193.59,550,77.58,598,598,400,597.18,480.53,593.59,550,477.58,598,998,400,997.18,480.53,993.59,550,877.58,598,1398,400,1397.18,480.53,1393.59,550,1277.58,598,198,600,197.18,680.53,193.59,750,77.58,798,1398,600,1397.18,680.53,1393.59,750,1277.58,798,398,800,397.18,880.53,393.59,950,277.58,998,198,1000,197.18,1080.53,193.59,1150,77.58,1198,398,1000,397.18,1080.53,393.59,1150,277.58,1198,598,1000,597.18,1080.53,593.59,1150,477.58,1198,1198,1000,1197.18,1080.53,1193.59,1150,1077.58,1198,1398,1000,1397.18,1080.53,1393.59,1150,1277.58,1198,198,1200,197.18,1280.53,193.59,1350,77.58,1398,398,1200,397.18,1280.53,393.59,1350,277.58,1398,598,1200,597.18,1280.53,593.59,1350,477.58,1398,798,1200,797.18,1280.53,793.59,1350,677.58,1398,1198,1200,1197.18,1280.53,1193.59,1350,1077.58,1398,1398,1200,1397.18,1280.53,1393.59,1350,1277.58,1398,94385.32,84026.11,76973.29,74361.62,96530.89,87142.41,79391.11,71846.52,102502.26,95060.22,91067.55,75486.92,107122.24,103993.83,101847.77,95925.67,70713.56,63656.01,61215.49,63194.73,70653.59,68555.87,64054.15,57572.61,84930.21,82733.74,76927.87,66076.4,65677.94,64849.27,66358.63,66045.33,58871.06,62694.45,64917.75,65144.4,86868.85,78922.78,73869.94,68732.03,99598.93,97505.26,94300.29,77386.53,64283.65,68017.65,67469.13,66636.68,90005.48,90283.14,87245.44,79474.06,71415.75,70896.96,69947.33,60346.14,59716.87,58245.29,56171.84,55815.72,63451.62,59319.54,54007.52,47955.08,70923.81,64910.63,61037.73,51116.88,81640.28,76592.95,70247.26,60977.72,90291.15,88520.52,86721.19,69545.11,49944.49,51155.51,53776.98,61979.83,49093.59,49514.07,50107,52566.39,56936.28,54140.92,51051.88,51522.49,61896.3,57763.02,57931.87,57171.84,63702.46,67776.99,65133.52,63138.74,82852.91,83519.3,81973.65,71781.34,0.67,7119352.9
198,0,197.07,76.64,192.74,155.74,84.67,198,798,0,797.07,76.64,792.74,155.74,684.67,198,998,0,997.07,76.64,992.74,155.74,884.67,198,1198,0,1197.07,76.64,1192.74,155.74,1084.67,198,1398,0,1397.07,76.64,1392.74,155.74,1284.67,198,198,200,197.07,276.64,192.74,355.74,84.67,398,398,200,397.07,276.64,392.74,355.74,284.67,398,1398,200,1397.07,276.64,1392.74,355.74,1284.67,398,198,400,197.07,476.64,192.74,555.74,84.67,598,598,400,597.07,476.64,592.74,555.74,484.67,598,998,400,997.07,476.64,992.74,555.74,884.67,598,1398,400,1397.07,476.64,1392.74,555.74,1284.67,598,598,600,597.07,676.64,592.74,755.74,484.67,798,1398,600,1397.07,676.64,1392.74,755.74,1284.67,798,198,800,197.07,876.64,192.74,955.74,84.67,998,1198,800,1197.07,876.64,1192.74,955.74,1084.67,998,1398,800,1397.07,876.64,1392.74,955.74,1284.67,998,598,1000,597.07,1076.64,592.74,1155.74,484.67,1198,798,1000,797.07,1076.64,792.74,1155.74,684.67,1198,1198,1000,1197.07,1076.64,1192.74,1155.74,1084.67,1198,1398,1000,1397.07,1076.64,1392.74,1155.74,1284.67,1198,198,1200,197.07,1276.64,192.74,1355.74,84.67,1398,598,1200,597.07,1276.64,592.74,1355.74,484.67,1398,998,1200,997.07,1276.64,992.74,1355.74,884.67,1398,1198,1200,1197.07,1276.64,1192.74,1355.74,1084.67,1398,93502.81,84088.49,80247.12,72699.18,92397.41,80273.01,75470.32,75641.07,96136.12,83810.08,75321.22,71125.43,101163.58,91182.2,81267.03,73232.14,107707.85,102186.8,98825.17,79417.9,71162.48,68497.4,65119.65,64550.11,79117.99,71143.61,67279.41,61646.44,91478.23,90679.77,90408.05,75695.61,58220.66,60223.56,61310.2,63018.07,72359.86,65242.9,62668.74,58904.31,74778.47,74260.46,72565.81,67233.36,86492.67,88741.36,89272.05,74130.62,59945.97,60922.43,61703.24,61646.67,85922.12,87403.02,87220.56,70499.14,64592.28,63001.17,62448.01,62236.31,68055.26,67666.85,66045.74,57386.14,83691.79,84650.21,84107.29,65661.85,59774.57,56143.24,53403.49,52107.67,61421.2,58969.64,55859.13,52168.09,60399.82,65424.77,65144.99,56804.3,81886.82,82104.66,81354.8,70377.43,59765.33,60133.31,64157.04,66646.44,48923.3,53377.83,59115.4,61173.69,55788.34,59593.98,60073.6,59198.12,63377.08,72078.85,77435.62,67457.26,0.68,7148342.69
1,1,1,51,1,101,1,151,398,0,397.07,76.56,392.74,154.9,349,198,798,0,797.07,76.56,792.74,154.9,749,198,998,0,997.07,76.56,992.74,154.9,949,198,1398,0,1397.07,76.56,1392.74,154.9,1349,198,198,200,197.07,276.56,192.74,354.9,149,398,601,201,601,270,601,340,650,398,1398,200,1397.07,276.56,1392.74,354.9,1349,398,1,401,1,470,1,540,50,598,998,400,997.07,476.56,992.74,554.9,949,598,1398,400,1397.07,476.56,1392.74,554.9,1349,598,198,600,197.07,676.56,192.74,754.9,149,798,798,600,797.07,676.56,792.74,754.9,749,798,1198,600,1197.07,676.56,1192.74,754.9,1149,798,198,800,197.07,876.56,192.74,954.9,149,998,1198,800,1197.07,876.56,1192.74,954.9,1149,998,1398,800,1397.07,876.56,1392.74,954.9,1349,998,1,1001,1,1051,1,1101,1,1151,1398,1000,1397.07,1076.56,1392.74,1154.9,1349,1198,1,1201,1,1270,1,1340,50,1398,398,1200,397.07,1276.56,392.74,1354.9,349,1398,598,1200,597.07,1276.56,592.74,1354.9,549,1398,998,1200,997.07,1276.56,992.74,1354.9,949,1398,1198,1200,1197.07,1276.56,1192.74,1354.9,1149,1398,1398,1200,1397.07,1276.56,1392.74,1354.9,1349,1398,91820.41,80149.33,74985.67,70514.32,94945.46,85495.24,79134.77,71231.83,96884.41,85998.03,80527.11,75101.25,100706.33,92157.48,86642.95,76659.41,107565.36,102873.42,102093.07,81799.01,70577.87,65839.36,67837.18,66735.9,75838.22,70045.53,67656.42,69155.55,92124.31,92959.27,94521.29,76160.57,69714.39,66090.98,64745.23,60750.83,77835.14,74970.18,72372.92,65534.51,87688.76,89167.58,90204.59,81358.73,65378.6,63308.69,64073.87,57845.14,66462.36,65561.07,65772,59589.72,78067.24,78883.15,80077.82,61297.46,58001.35,61923.6,67096.59,63339.16,74371.87,71018.52,67851.72,61732.26,90332.68,86282.85,84337.25,64634.42,65260.06,61127.73,61315.03,61693.85,81139.11,81998.47,83518.38,64573.08,59804.77,62069.53,61170.9,60164.35,62680.98,57665.52,57887.01,56190.74,65415,62218.46,61333.26,58748.16,65170.2,62718.09,61963.36,59301.75,66961.48,65716.93,66637.89,62562.54,80858.08,82656.53,82171.28,71713.3,0.69,7317998.83
198,0,197.46,75.07,197.18,149.14,149,198,598,0,597.46,75.07,597.18,149.14,549,198,998,0,997.46,75.07,997.18,149.14,949,198,1398,0,1397.46,75.07,1397.18,149.14,1349,198,398,200,397.46,275.07,397.18,349.14,349,398,598,200,597.46,275.07,597.18,349.14,549,398,798,200,797.46,275.07,797.18,349.14,749,398,198,400,197.46,475.07,197.18,549.14,149,598,398,400,397.46,475.07,397.18,549.14,349,598,598,400,597.46,475.07,597.18,549.14,549,598,798,400,797.46,475.07,797.18,549.14,749,598,1198,400,1197.46,475.07,1197.18,549.14,1149,598,398,600,397.46,675.07,397.18,749.14,349,798,1398,600,1397.46,675.07,1397.18,749.14,1349,798,198,800,197.46,875.07,197.18,949.14,149,998,598,800,597.46,875.07,597.18,949.14,549,998,798,800,797.46,875.07,797.18,949.14,749,998,1198,800,1197.46,875.07,1197.18,949.14,1149,998,198,1000,197.46,1075.07,197.18,1149.14,149,1198,398,1000,397.46,1075.07,397.18,1149.14,349,1198,598,1000,597.46,1075.07,597.18,1149.14,549,1198,998,1000,997.46,1075.07,997.18,1149.14,949,1198,1198,1000,1197.46,1075.07,1197.18,1149.14,1149,1198,198,1200,197.46,1275.07,197.18,1349.14,149,1398,998,1200,997.46,1275.07,997.18,1349.14,949,1398,94110.45,84478.74,78114.63,72246.86,97172.7,89580.96,84125.38,70979.8,101297.21,95353.35,92877.73,87462.87,107717.98,103957.54,101104.07,93026.22,73529.68,64813.94,61371.83,57159.66,74786.07,70339.62,65848.14,57368.66,84910.61,80735.35,80450.76,64588.47,64572.36,60233.46,58796.48,59843.72,54309.4,53994.62,56135.44,51996.92,59036.22,57486.3,59189.96,57557.38,72766.26,70526.33,69133.89,62964.32,97466.36,93516.42,86828,75791.92,53252.21,56427.79,59214.95,57269.95,95999.51,91100.39,87945.7,78790.9,59544.55,59265.98,58651.01,55304.69,62095.32,57234.36,55919.06,49300.85,69734.46,66475.59,62474.54,55232.89,76615.88,78548.27,82500.41,65322.26,51583.94,51865.76,55320.55,55421.89,52467.22,49958.54,50234.78,50595.42,51451.48,53693.56,55681.23,51920.71,65580.4,63323.76,63670.61,53441.64,80102.18,81062.32,80235.92,71890.13,51814.27,59556.86,68341.92,70731.9,64192.86,69757.1,75581.4,69741.63,0.65,6925096.49
798,0,795.67,78.29,793.7,150,678.6,198,998,0,995.67,78.29,993.7,150,878.6,198,198,200,195.67,278.29,193.7,350,78.6,398,598,200,595.67,278.29,593.7,350,478.6,398,598,400,595.67,478.29,593.7,550,478.6,598,798,400,795.67,478.29,793.7,550,678.6,598,998,400,995.67,478.29,993.7,550,878.6,598,1198,400,1195.67,478.29,1193.7,550,1078.6,598,1398,400,1395.67,478.29,1393.7,550,1278.6,598,998,600,995.67,678.29,993.7,750,878.6,798,1398,600,1395.67,678.29,1393.7,750,1278.6,798,198,800,195.67,878.29,193.7,950,78.6,998,398,800,395.67,878.29,393.7,950,278.6,998,798,800,795.67,878.29,793.7,950,678.6,998,998,800,995.67,878.29,993.7,950,878.6,998,1398,800,1395.67,878.29,1393.7,950,1278.6,998,198,1000,195.67,1078.29,193.7,1150,78.6,1198,598,1000,595.67,1078.29,593.7,1150,478.6,1198,798,1000,795.67,1078.29,793.7,1150,678.6,1198,998,1000,995.67,1078.29,993.7,1150,878.6,1198,1198,1000,1195.67,1078.29,1193.7,1150,1078.6,1198,1398,1000,1395.67,1078.29,1393.7,1150,1278.6,1198,198,1200,195.67,1278.29,193.7,1350,78.6,1398,598,1200,595.67,1278.29,593.7,1350,478.6,1398,998,1200,995.67,1278.29,993.7,1350,878.6,1398,100030.08,92936.84,85842.98,84710.15,107623.03,103466.17,98692.34,88351.29,87071.94,77856.99,73125.37,72309.29,83372.41,82850.57,80044.58,70607.63,71599.55,65002.58,60186.02,62032.46,80510.99,69725.72,61136.22,57686.82,86114.28,76491.55,68069.73,58400.32,93425.53,84531.06,75109.24,67238.29,102829.86,97711,94038.59,76306.93,61028.81,63139.4,64809,57730.79,89213.18,88729.16,87357,70414.32,65178.94,60448.49,56899.58,58736.33,65318.05,60931.86,55312.54,52359.75,57025.44,58191.22,56772.93,51146.13,63573.34,63761.81,62112.11,52014.59,84431.46,85278.03,85103.2,68111.24,50925.73,52142.46,52411.29,57436.61,52161.16,48854.01,47272.89,47548.61,51534.01,51015.47,48588.88,47300.44,57177.82,56336.41,53960.27,48799.18,62728.06,64780.31,62984.46,59325.16,82426.72,82957.42,81219.61,70288.76,51692.4,55592.49,61587.69,67460.34,46226.85,52942.04,57601.6,59655,53627.81,64387.13,69794.65,64253.3,0.65,6837164.16
198,0,197.72,67.53,193.1,146.65,149,198,398,0,397.72,67.53,393.1,146.65,349,198,598,0,597.72,67.53,593.1,146.65,549,198,801,1,801,51,801,101,801,151,1198,0,1197.72,67.53,1193.1,146.65,1149,198,1398,0,1397.72,67.53,1393.1,146.65,1349,198,198,200,197.72,267.53,193.1,346.65,149,398,998,200,997.72,267.53,993.1,346.65,949,398,1198,200,1197.72,267.53,1193.1,346.65,1149,398,1398,200,1397.72,267.53,1393.1,346.65,1349,398,198,400,197.72,467.53,193.1,546.65,149,598,601,401,601,470,601,540,650,598,801,598,850,598,900,598,950,598,1398,600,1397.72,667.53,1393.1,746.65,1349,798,198,800,197.72,867.53,193.1,946.65,149,998,401,801,401,870,401,940,450,998,798,800,797.72,867.53,793.1,946.65,749,998,1398,800,1397.72,867.53,1393.1,946.65,1349,998,398,1000,397.72,1067.53,393.1,1146.65,349,1198,1398,1000,1397.72,1067.53,1393.1,1146.65,1349,1198,1,1398,50,1398,100,1398,150,1398,598,1200,597.72,1267.53,593.1,1346.65,549,1398,798,1200,797.72,1267.53,793.1,1346.65,749,1398,1198,1200,1197.72,1267.53,1193.1,1346.65,1149,1398,1398,1200,1397.72,1267.53,1393.1,1346.65,1349,1398,86311.27,75393.98,70808.24,63700.59,89280.92,76620.08,69509.26,64209.87,91068.94,77651.34,70421.2,64145.69,96324.1,84641.48,77491.99,70613.76,101171.91,90936.72,85501.92,70847.28,108337.6,101672.61,99999.36,79082.28,61407.83,61325.81,66473.42,61647.26,72879.23,65028.14,65563.18,66381.19,73878.44,71337.45,74191.1,71969.42,92018.54,89178.96,89143.45,80508.4,59211.68,60309.37,66500.87,65081.63,70837.93,66572.15,62249.4,63390.03,60821.39,62033.73,65489.09,74171.2,90659.36,87525.21,88950.24,68241.33,67651.94,62410.2,60873.79,60238.04,68087.21,66066.23,62427.84,58017.8,71118.27,69341.93,69830.6,63606.36,85371.11,83823.98,86059.34,65953.57,55714.83,57598.28,59165.58,56999.83,83434.62,83046.93,84268.33,65545.12,64674.86,62324.8,62530.04,66705.66,59821.48,56227.54,58717.26,59615,63198.83,59850.69,61204.86,59129.94,66312.19,64216.87,65496.71,63384.07,82798.36,82101.62,82506.96,75022.66,0.68,7203215.35
66.23,35.72,209.93,26.59,320.76,28.59,494.35,109.28,599.69,54.3,831.19,21.77,950.21,3.69,1100.6,56.69,1226.7,18.25,1414,173.14,116.45,191.92,259.05,118.52,464.48,162.25,518.74,203.02,648.44,187.08,780.59,49.05,937.29,159.42,1057.16,245.91,1209.38,168.5,1413.39,338.17,136.7,310.05,199.74,385.56,409.47,412.88,502.28,407.55,706.37,370.45,774.72,380.54,929.5,250.66,991.22,347.77,1241.27,395.18,1342.9,374.68,47.41,533.93,146.41,506.7,327.58,541.44,378.57,547.86,667.5,463.55,728.93,450.14,814.16,521.45,1113.8,613.9,1141.11,433.33,1340,446.73,0,706.55,288.33,681.99,379.01,648.25,485.29,626.51,711.47,621.14,883.11,605.75,972.24,633.53,1061.78,618.57,1200.82,620.03,1398.52,653.98,40.2,826.12,174.1,733.31,266.02,832.15,439.39,776.68,625.31,852,780.76,725.55,1000.79,824.42,1079.05,819.92,1215.29,798.15,1414,927.58,119.69,946.61,200.25,897.94,412.87,850.91,505.48,880.32,753.43,828.96,704.8,962.94,893.83,940.71,986.76,912.74,1178.99,951.94,1307.48,892.88,58.48,970.23,272.42,1046.93,266.95,1097.42,601.66,1019.55,631.6,1116.02,794.4,1072.68,975.96,1086.7,1046.67,1059.36,1267.23,1097.11,1332.73,1054.08,98.18,1125.98,222.79,1268.65,250.28,1150.68,539.68,1148.85,644.51,1239.64,770.51,1241.49,894.44,1222.13,1086.95,1188.65,1180.63,1208.56,1317.09,1197.52,0,1414,217.41,1334.96,309.17,1329.33,528.91,1409.28,665.01,1374.53,837.68,1370.08,935.98,1308.68,1027.51,1414,1270.23,1259.95,1283.8,1401.11,86884.05,88700.17,90874.5,82042.01,90251.46,95671.12,101266.89,97174.83,108029.51,104824.9,76908.5,75198.21,72222.92,71504.96,80910.51,85385.7,87276.98,86794.04,96158.14,98354.39,73297.76,68897.65,66031.36,67972.82,71196.71,75603.23,81827.55,81358.96,80396.4,88890.81,66370.04,67884.18,60494.47,62483.95,63951.94,68618.95,70951.6,76554.11,76422.38,90097.51,63322.21,59294.51,58537.43,62238.89,62773.4,65757.76,68806.61,71199.6,84360.01,91816.03,59440.9,62565.93,55368.41,61094.31,59664.04,66035.58,66325.13,73213.91,84865.44,88657.32,56924.06,55091.83,55613.08,54295.87,63754.34,58375.1,60452.21,66674.52,72951.27,81619.73,56897.52,53938.78,52657.18,54633.29,55416.03,59080.95,60542.08,69341.69,75212.86,83512.97,56669.08,58064.88,53434,52427.23,53212.39,56175.94,61783.82,63648.09,68357.7,82779.76,71608.23,58029.04,56544,59852.1,61265.05,60644.99,64910.06,69816.63,74997.41,82124.92,0.67,7114404.32
1,0,1,51,1,101,33,157,398,0,397.46,75.07,292,256,355,189,611,0,597.46,75.07,497.18,149.14,549,198,1198,0,1188,62,1197.18,149.14,1149,198,1398,0,1397.46,75.07,1404,151,1349,198,1,201,1,270,1,340,50,398,597,185,589,292,597.18,349.14,499,398,798,200,797.46,275.07,697.18,449.14,749,498,1198,200,1197.46,275.07,1197.18,349.14,1149,398,1398,400,1397.46,475.07,1397.18,549.14,1349,598,401,601,401,670,401,740,450,798,798,600,797.46,675.07,797.18,749.14,749,798,1198,600,1197.46,675.07,1197.18,749.14,1099,748,141,784,197.46,875.07,0,949.14,120,1011,598,800,597.46,875.07,597.18,949.14,549,998,1198,800,1197.46,875.07,1210,946,1149,998,198,1000,197.46,1075.07,197.18,1149.14,149,1198,614,1011,597.46,1075.07,597.18,1249.14,549,1198,1048,1101,1098,1050,1139,1111,1198,1150,1,1400,50,1398,100,1400,150,1398,214,1200,201,1251,201,1301,201,1351,401,1398,448,1411,500,1398,600,1398,989,1203,997.46,1275.07,1000,1387,949,1398,1198,1200,1197.46,1275.07,1197.18,1349.14,1149,1398,1398,1200,1397.46,1275.07,1397.18,1400,1349,1400,94425.6,79852.75,74591.22,73063.9,95571.3,82800.59,68196.73,72295.79,98333.51,87694.84,76630.83,67732.78,100567.17,90842.18,88913.22,77740.2,107893.56,103495.82,98351.61,88665.13,69177.52,69995.58,68119.32,67163.92,79594.43,70904.88,68246.67,65100.41,83674.8,75141,70468.93,71807.48,82195.16,85598.97,88380.06,79598.14,94869.46,91538.2,89739.66,81856.13,66814.92,66003.18,63920.25,59772.15,71152.38,71353.97,69724.83,65932.15,80166.38,82373.78,86212.8,71865.89,65650.31,63943.47,64504.62,60027.4,64314.73,63081.99,66491.32,58253.38,82625.64,85838.93,84296.41,78506.62,64361.72,58451.01,59097.34,56281.34,61752.82,61040.36,58699.57,61999.22,65470.87,77218.8,75735,80140.33,57458.98,55427.26,55347.71,59766.6,54481.6,54874.13,56238.91,59350.93,51893.54,53816.4,58453.91,62626.82,65343.25,63143.51,63382.45,58820.84,74664.75,73132.99,70055.16,63919.32,89527.65,85744.07,84351.97,70648.49,0.69,7296167.56
50,0,300,0,500,0,600,0,1100,0,0,50,350,50,400,50,1000,50,1050,50,1250,50,0,100,950,100,1350,100,300,150,400,150,600,150,1100,150,1300,150,300,200,450,200,800,200,1300,200,0,250,850,250,1250,250,1400,250,1350,300,550,350,1250,350,1300,350,300,400,350,400,450,400,150,450,450,450,750,450,1200,450,50,500,300,500,1200,500,1350,500,350,550,1000,550,1150,550,550,600,1100,600,50,650,100,650,750,650,1050,650,1400,650,150,700,450,700,900,700,50,750,700,750,150,800,400,800,850,800,1350,800,550,850,950,850,1400,850,300,900,850,900,1000,900,1350,900,450,1000,850,1000,600,1050,900,1050,1050,1050,350,1100,1100,1100,1150,1100,1250,1100,1350,1100,1400,1100,150,1150,500,1150,100,1200,400,1200,800,1200,0,1250,250,1250,400,1250,500,1250,650,1250,1200,1250,1400,1250,350,1300,850,1350,1150,1350,50,1400,100,1400,250,1400,650,1400,750,1400,1350,1400,88793.46,88307.44,90525.7,95424.51,101939.42,78423.29,74965.34,80843.83,85775.9,88051.09,102127.63,70375.84,78784.47,103741.96,71222.06,72559.33,79021.33,80617.49,92746.55,63556.71,69656.19,78159.05,88502.64,72875.94,74106.43,77720.57,94864.1,83750.53,70829.68,75667.07,80105.18,61622.59,62597,67601.65,64460.68,62737.55,72346.6,85515.85,66301.14,59018.19,80853.86,89743.48,57981.42,68810.63,75866.12,63256.23,75585.71,60072.96,60757.63,67530.09,71517.64,90762.15,59282.7,63140.54,70867.62,59727,64082.94,56040.71,59708.12,70540.28,84922.79,59990.12,71092.46,86888.36,57191.99,64176.3,72911.63,78084.51,58712.33,63535.27,58825.45,61096.57,69967.65,60333.39,60112.3,66854.8,72668.98,74870.96,86571.22,62967.58,60008.38,61136.77,57464.7,64905.67,61619.92,54815.38,55893.1,59606.19,61929.09,73566.33,84230.09,55091.5,66760.35,71908.09,60625.11,60853.22,63475.82,59631.03,64165.86,82457.45,0.68,7174288.51
