buckets,order,scheme,R²,RMSE (MPa),tail RMSE (MPa),max err (MPa),min bucket n
3,1st,hybrid *(shipped)*,0.776 ± 0.035,7.78 ± 0.50,8.21 ± 0.95,30.3 ± 5.6,343
3,1st,quantile,0.779 ± 0.036,7.73 ± 0.51,8.29 ± 0.98,29.3 ± 5.7,343
3,1st,uniform,0.781 ± 0.030,7.70 ± 0.61,8.23 ± 1.03,32.0 ± 7.8,132
3,2nd,hybrid *(shipped)*,0.817 ± 0.026,7.04 ± 0.55,7.29 ± 0.76,33.2 ± 8.2,343
3,2nd,quantile,0.821 ± 0.024,6.98 ± 0.53,7.25 ± 0.72,32.6 ± 8.2,343
3,2nd,uniform,0.827 ± 0.020,6.86 ± 0.50,6.78 ± 0.55,32.2 ± 8.0,132
4,1st,hybrid *(shipped)*,0.797 ± 0.018,7.43 ± 0.36,8.33 ± 0.76,28.6 ± 6.5,257
4,1st,quantile,0.796 ± 0.019,7.44 ± 0.37,8.41 ± 0.77,28.8 ± 6.2,257
4,1st,uniform,0.786 ± 0.034,7.60 ± 0.65,8.27 ± 0.77,31.9 ± 6.5,75
4,2nd,hybrid *(shipped)*,0.840 ± 0.022,6.60 ± 0.51,6.98 ± 0.52,28.4 ± 7.0,257
4,2nd,quantile,0.840 ± 0.022,6.58 ± 0.51,6.97 ± 0.52,28.3 ± 7.0,257
4,2nd,uniform,0.828 ± 0.037,6.81 ± 0.83,6.77 ± 0.41,30.7 ± 7.1,75
6,1st,hybrid *(shipped)*,0.797 ± 0.029,7.41 ± 0.43,8.07 ± 0.46,30.8 ± 4.0,171
6,1st,quantile,0.797 ± 0.030,7.40 ± 0.44,8.11 ± 0.45,30.6 ± 4.2,171
6,1st,uniform,0.810 ± 0.012,7.19 ± 0.30,7.90 ± 0.83,29.8 ± 5.1,39
6,2nd,hybrid *(shipped)*,0.840 ± 0.019,6.59 ± 0.32,6.76 ± 0.53,28.8 ± 5.6,171
6,2nd,quantile,0.840 ± 0.019,6.58 ± 0.32,6.77 ± 0.51,28.6 ± 5.8,171
6,2nd,uniform,0.839 ± 0.027,6.60 ± 0.44,6.91 ± 0.39,28.1 ± 6.4,39
