N,N (normalized),classical,stage 1,stage 2,N² (ref.),N² log N (ref.),N³ (ref.)
100,1.0×,1.00×,1.00×,1.00×,1.00×,1.00×,1.00×
200,2.0×,7.53×,3.17×,3.62×,4.00×,4.60×,8.00×
300,3.0×,26.21×,6.18×,7.50×,9.00×,11.15×,27.00×
500,5.0×,124.93×,15.84×,19.49×,25.00×,33.74×,125.00×
750,7.5×,435.47×,29.90×,38.57×,56.25×,80.86×,421.88×
"1,000",10.0×,1130.26×,50.58×,53.55×,100.00×,150.00×,1000.00×
"1,250",12.5×,N/A,78.53×,77.15×,156.25×,241.95×,1953.12×
"1,500",15.0×,N/A,110.52×,107.12×,225.00×,357.31×,3375.00×
"2,000",20.0×,N/A,191.27×,176.34×,400.00×,660.21×,8000.00×
"2,500",25.0×,N/A,293.12×,287.42×,625.00×,1061.86×,15625.00×
"3,000",30.0×,N/A,409.92×,410.72×,900.00×,1564.70×,27000.00×
**fitted exponent**,,**3.05** (6 pts),**1.77** (11 pts),**1.73** (11 pts),2.00,~2.1,3.00
