N,classical O(N³) (s),stage 1 O(N²logN) (s),stage 2 O(N²) (s),cls/s2,s1/s2,orders identical
100,0.0001 ± 0.0000 s,0.0002 ± 0.0000 s,0.0000 ± 0.0000 s,6.4×,9.6×,yes
200,0.0009 ± 0.0000 s,0.0005 ± 0.0000 s,0.0001 ± 0.0000 s,13.4×,8.4×,yes
300,0.0030 ± 0.0001 s,0.0011 ± 0.0000 s,0.0001 ± 0.0000 s,22.5×,7.9×,yes
500,0.0144 ± 0.0005 s,0.0027 ± 0.0001 s,0.0003 ± 0.0000 s,41.3×,7.8×,yes
750,0.0501 ± 0.0011 s,0.0051 ± 0.0001 s,0.0007 ± 0.0001 s,72.7×,7.5×,yes
"1,000",0.1300 ± 0.0016 s,0.0087 ± 0.0001 s,0.0010 ± 0.0001 s,136.0×,9.1×,yes
"1,250",not run (> cap),0.0135 ± 0.0005 s,0.0014 ± 0.0002 s,N/A,9.8×,yes
"1,500",not run (> cap),0.0190 ± 0.0006 s,0.0019 ± 0.0002 s,N/A,9.9×,yes
"2,000",not run (> cap),0.0329 ± 0.0008 s,0.0031 ± 0.0002 s,N/A,10.4×,yes
"2,500",not run (> cap),0.0503 ± 0.0012 s,0.0051 ± 0.0002 s,N/A,9.8×,yes
"3,000",not run (> cap),0.0704 ± 0.0016 s,0.0073 ± 0.0003 s,N/A,9.6×,yes
