kernel,conditions,CPU arm,GPU arm,CPU (s),GPU (s),GPU speedup (CPU/GPU),exactness vs CPU,kind
Boruvka MST (device),"N=4,000, float64, matrix resident",pcvat.vat_prim_mst_c (Cython dense Prim),gpu_vat.boruvka_mst_device,0.01551 ± 0.00361,0.00354 ± 0.00038,4.38x,order 1.000 (bit-identical),estimate (10 seeds)
VAT front end,"N=4,000, float64, order only",pairwise_distances_c + vat_prim_mst_c,gpu_vat.vat_gpu,0.03678 ± 0.00461,0.01547 ± 0.00366,2.38x,order 1.000 (bit-identical),estimate (10 seeds)
VAT front end,"N=4,000, float64, UNMATCHED work",pairwise_distances_c + compute_vat_c (also reorders D),gpu_vat.vat_gpu (order only),0.08562 ± 0.00776,0.01547 ± 0.00366,5.54x,order 1.000 (bit-identical),estimate (10 seeds)
Boruvka MST (device),"N=8,000, float64, matrix resident",pcvat.vat_prim_mst_c (Cython dense Prim),gpu_vat.boruvka_mst_device,0.05906 ± 0.01366,0.01146 ± 0.00182,5.15x,order 1.000 (bit-identical),estimate (10 seeds)
VAT front end,"N=8,000, float64, order only",pairwise_distances_c + vat_prim_mst_c,gpu_vat.vat_gpu,0.12761 ± 0.01310,0.04194 ± 0.00435,3.04x,order 1.000 (bit-identical),estimate (10 seeds)
VAT front end,"N=8,000, float64, UNMATCHED work",pairwise_distances_c + compute_vat_c (also reorders D),gpu_vat.vat_gpu (order only),0.31029 ± 0.02254,0.04194 ± 0.00435,7.40x,order 1.000 (bit-identical),estimate (10 seeds)
Boruvka MST (device),"N=16,000, float64, matrix resident",pcvat.vat_prim_mst_c (Cython dense Prim),gpu_vat.boruvka_mst_device,0.21748 ± 0.01485,0.04786 ± 0.00384,4.54x,order 1.000 (bit-identical),estimate (10 seeds)
VAT front end,"N=16,000, float64, order only",pairwise_distances_c + vat_prim_mst_c,gpu_vat.vat_gpu,0.50395 ± 0.02492,0.16483 ± 0.00904,3.06x,order 1.000 (bit-identical),estimate (10 seeds)
VAT front end,"N=16,000, float64, UNMATCHED work",pairwise_distances_c + compute_vat_c (also reorders D),gpu_vat.vat_gpu (order only),1.25109 ± 0.02691,0.16483 ± 0.00904,7.59x,order 1.000 (bit-identical),estimate (10 seeds)
Boruvka MST (device),"N=32,000, float64, matrix resident",pcvat.vat_prim_mst_c (Cython dense Prim),gpu_vat.boruvka_mst_device,0.81405 ± 0.04405,0.19789 ± 0.01252,4.11x,order 1.000 (bit-identical),estimate (10 seeds)
VAT front end,"N=32,000, float64, order only",pairwise_distances_c + vat_prim_mst_c,gpu_vat.vat_gpu,2.40970 ± 0.05357,0.61254 ± 0.01343,3.93x,order 1.000 (bit-identical),estimate (10 seeds)
VAT front end,"N=32,000, float64, UNMATCHED work",pairwise_distances_c + compute_vat_c (also reorders D),gpu_vat.vat_gpu (order only),5.95395 ± 0.48169,0.61254 ± 0.01343,9.72x,order 1.000 (bit-identical),estimate (10 seeds)
Fuzzy C-Means,"N=50,000, k=10, d=20",fcm.fuzzy_c_means (NumPy broadcasting -- DIFFERENT algorithm),gpu.fuzzy_c_means_gpu (gram + 2 GEMM),0.40631 ± 0.35625,0.09651 ± 0.09645,4.21x,labels 1.000 ± 0.001; max abs Δcentre 4.9e-05,estimate (10 seeds)
Fuzzy C-Means,"N=50,000, k=10, d=20, MATCHED formulation",gram + 2 GEMM in NumPy/BLAS (this file),gpu.fuzzy_c_means_gpu (gram + 2 GEMM),0.22833 ± 0.23212,0.09651 ± 0.09645,2.37x,labels 1.000; max abs Δcentre 1.6e-13,estimate (10 seeds)
Fuzzy C-Means,"N=200,000, k=10, d=20",fcm.fuzzy_c_means (NumPy broadcasting -- DIFFERENT algorithm),gpu.fuzzy_c_means_gpu (gram + 2 GEMM),1.92467 ± 1.89777,0.33345 ± 0.36299,5.77x,labels 1.000; max abs Δcentre 4.8e-06,estimate (10 seeds)
Fuzzy C-Means,"N=200,000, k=10, d=20, MATCHED formulation",gram + 2 GEMM in NumPy/BLAS (this file),gpu.fuzzy_c_means_gpu (gram + 2 GEMM),0.99717 ± 1.01518,0.33345 ± 0.36299,2.99x,labels 1.000; max abs Δcentre 3.2e-13,estimate (10 seeds)
Fuzzy C-Means,"N=500,000, k=10, d=20",fcm.fuzzy_c_means (NumPy broadcasting -- DIFFERENT algorithm),gpu.fuzzy_c_means_gpu (gram + 2 GEMM),5.41501 ± 4.82429,0.80872 ± 0.41778,6.70x,labels 1.000; max abs Δcentre 9.8e-06,estimate (10 seeds)
Fuzzy C-Means,"N=500,000, k=10, d=20, MATCHED formulation",gram + 2 GEMM in NumPy/BLAS (this file),gpu.fuzzy_c_means_gpu (gram + 2 GEMM),2.79264 ± 2.56297,0.80872 ± 0.41778,3.45x,labels 1.000; max abs Δcentre 6.0e-13,estimate (10 seeds)
Pairwise distances,"N=16,000, d=10, float64, high_precision",pcvat.pairwise_distances_c (C/OpenMP),gpu.pairwise_distances_gpu (tiled -> host),0.28500 ± 0.01531,0.98285 ± 0.04709,0.29x,max abs Δ = 7.1e-15,estimate (10 seeds)
Pairwise distances,"N=16,000, d=50, float64, high_precision",pcvat.pairwise_distances_c (C/OpenMP),gpu.pairwise_distances_gpu (tiled -> host),0.34326 ± 0.01206,1.14775 ± 0.02017,0.30x,max abs Δ = 2.8e-14,estimate (10 seeds)
Pairwise distances,"N=16,000, d=200, float64, high_precision",pcvat.pairwise_distances_c (C/OpenMP),gpu.pairwise_distances_gpu (tiled -> host),0.85081 ± 0.06486,1.65933 ± 0.04905,0.51x,max abs Δ = 7.1e-14,estimate (10 seeds)
Pairwise distances,"N=16,000, d=784, float64, high_precision",pcvat.pairwise_distances_c (C/OpenMP),gpu.pairwise_distances_gpu (tiled -> host),4.74440 ± 0.16858,13.11990 ± 0.07710,0.36x,max abs Δ = 2.8e-13,estimate (10 seeds)
Pairwise distances,"N=16,000, d=10, float32, high_precision",pcvat.pairwise_distances_c (C/OpenMP),gpu.pairwise_distances_gpu (tiled -> host),0.18337 ± 0.01104,0.61367 ± 0.05869,0.30x,max abs Δ = 0.0e+00,estimate (10 seeds)
