quantity,mean ± std over folds
"blocks selected k (transductive, trio)",6.5 ± 0.8
fraction of points in some block core (trio),0.127 ± 0.022
"max mu over NON-members, raw U (trio)",0.5000 ± 0.0000
"min mu over members, raw U (trio)",1.0000
mean max normalized membership (trio),0.271 ± 0.025
uniform reference 1/k (trio),0.156 ± 0.021
bottleneck-equivalence classes of 252 columns,81.7 ± 0.6
"label disagreement, MS.assign vs argmax U (trio)",0.780 ± 0.022
"kernel reuse identity, max abs diff (trio)",0
select_multiscale bands discovered (trio),0.0
"design condition number, graded (trio)",6.23e+05 ± 5.86e+05
"design condition number, crisp (trio)",1.75e+20 ± 2.42e+20
"design rank at tol 1e-08, graded (trio)",45.6 ± 5.3
"design rank at tol 1e-08, crisp (trio)",31.1 ± 3.7
design columns (trio),45.6 ± 5.3
"design condition number, graded (all 13)",3.14e+16 ± 2.22e+17
"design condition number, crisp (all 13)",2.18e+37 ± 1.37e+38
"design rank at tol 1e-08, graded (all 13)",200.9 ± 4.9
"design rank at tol 1e-08, crisp (all 13)",95.4 ± 8.2
design columns (all 13),423.4 ± 38.0
"blocks selected k (inductive, trio)",7.5 ± 1.8
"train coverage (inductive, trio)",0.199 ± 0.051
"max abs D* gap, point insertion vs joint graph",0.0810 ± 0.0699
max D* for scale (trio),0.5196 ± 0.0154
"zero-firing HELD-OUT rows, graded (trio)",0.00
"zero-firing TRAIN rows lost from fit, graded (trio)",0.80 ± 0.40
"zero-firing HELD-OUT rows, graded inductive (trio)",0.04 ± 0.20
"zero-firing TRAIN rows lost, graded inductive (trio)",0.82 ± 0.56
"zero-firing HELD-OUT rows, graded (all 13)",0.20 ± 0.40
"zero-firing TRAIN rows lost from fit, graded (all 13)",0.00
"rules with no training mass, crisp (trio)",0.00
"rules with no training mass, crisp (all 13)",0.06 ± 0.24
"under-filled-bucket warnings, Chapter 4 arms",0.00
"mean abs prediction gap, Ch5 graded vs global 1-rule (pp)",0.705 ± 0.193
"Pearson r, Ch5 graded vs global 1-rule",0.9833 ± 0.0128
"paired R2, graded minus global 1-rule (trio)",-0.0085 ± 0.0089 (2/10 seeds Ch5 ahead)
"paired R2, graded minus crisp assign (trio)",-0.0053 ± 0.0106 (4/10 seeds Ch5 ahead)
"paired R2, graded minus crisp argmax U (trio)",-0.0064 ± 0.0114 (4/10 seeds Ch5 ahead)
"paired R2, graded minus crisp assign, INDUCTIVE",+0.0200 ± 0.0159 (9/10 seeds Ch5 ahead)
"paired R2, graded minus Chapter 4 (trio)",+0.0206 ± 0.0321 (6/10 seeds Ch5 ahead)
"paired R2, graded minus OLS (trio)",-0.0148 ± 0.0085 (1/10 seeds Ch5 ahead)
