venue,arm,seed,fold,rmse_or_accuracy,r2_or_macro_f1
bodyfat,Ch5 graded U -> TSK (trio),0,0,4.022441,0.776281
bodyfat,Ch5 crisp assign -> TSK (trio),0,0,4.122600,0.765001
bodyfat,Ch5 crisp argmax U -> TSK (trio),0,0,4.145994,0.762326
bodyfat,Ch5 graded U inductive -> TSK (trio),0,0,4.147545,0.762148
bodyfat,Ch5 crisp assign inductive -> TSK (trio),0,0,4.063084,0.771737
bodyfat,Ch5 graded U -> TSK (all 13),0,0,5.870346,0.523513
bodyfat,Ch5 crisp assign -> TSK (all 13),0,0,5.217802,0.623557
bodyfat,"Ch4 TribbleRegressor (trio, log-tuned)",0,0,4.208554,0.755100
bodyfat,"Ch4 TribbleRegressor (all 13, default)",0,0,4.840443,0.676038
bodyfat,global 1-rule TSK (trio),0,0,4.321249,0.741808
bodyfat,global 1-rule TSK (all 13),0,0,3.931043,0.786332
bodyfat,floor: OLS (trio),0,0,4.284900,0.746134
bodyfat,"floor: OLS (trio, log1p-scaled)",0,0,5.021400,0.651363
bodyfat,floor: OLS (all 13),0,0,3.988795,0.780008
bodyfat,floor: predict train mean,0,0,8.504360,-0.000016
bodyfat,Ch5 graded U -> TSK (trio),0,1,5.339715,0.369654
bodyfat,Ch5 crisp assign -> TSK (trio),0,1,5.339962,0.369596
bodyfat,Ch5 crisp argmax U -> TSK (trio),0,1,5.213292,0.399149
bodyfat,Ch5 graded U inductive -> TSK (trio),0,1,5.538265,0.321906
bodyfat,Ch5 crisp assign inductive -> TSK (trio),0,1,5.306310,0.377516
bodyfat,Ch5 graded U -> TSK (all 13),0,1,5.358192,0.365284
bodyfat,Ch5 crisp assign -> TSK (all 13),0,1,5.500854,0.331036
bodyfat,"Ch4 TribbleRegressor (trio, log-tuned)",0,1,5.191167,0.404238
bodyfat,"Ch4 TribbleRegressor (all 13, default)",0,1,8.138239,-0.464211
bodyfat,global 1-rule TSK (trio),0,1,5.209134,0.400107
bodyfat,global 1-rule TSK (all 13),0,1,5.007618,0.445623
bodyfat,floor: OLS (trio),0,1,4.999784,0.447356
bodyfat,"floor: OLS (trio, log1p-scaled)",0,1,5.333484,0.371124
bodyfat,floor: OLS (all 13),0,1,4.596602,0.532893
bodyfat,floor: predict train mean,0,1,6.909327,-0.055393
bodyfat,Ch5 graded U -> TSK (trio),0,2,4.714298,0.649953
bodyfat,Ch5 crisp assign -> TSK (trio),0,2,4.343782,0.702814
bodyfat,Ch5 crisp argmax U -> TSK (trio),0,2,5.111574,0.588469
bodyfat,Ch5 graded U inductive -> TSK (trio),0,2,4.584862,0.668911
bodyfat,Ch5 crisp assign inductive -> TSK (trio),0,2,4.976437,0.609941
bodyfat,Ch5 graded U -> TSK (all 13),0,2,6.922432,0.245238
bodyfat,Ch5 crisp assign -> TSK (all 13),0,2,8.091630,-0.031252
bodyfat,"Ch4 TribbleRegressor (trio, log-tuned)",0,2,4.390877,0.696335
bodyfat,"Ch4 TribbleRegressor (all 13, default)",0,2,6.652593,0.302933
bodyfat,global 1-rule TSK (trio),0,2,4.510243,0.679600
bodyfat,global 1-rule TSK (all 13),0,2,3.944439,0.754945
bodyfat,floor: OLS (trio),0,2,4.448430,0.688322
bodyfat,"floor: OLS (trio, log1p-scaled)",0,2,5.533834,0.517669
bodyfat,floor: OLS (all 13),0,2,3.975415,0.751081
bodyfat,floor: predict train mean,0,2,8.092427,-0.031455
bodyfat,Ch5 graded U -> TSK (trio),0,3,5.156199,0.706941
bodyfat,Ch5 crisp assign -> TSK (trio),0,3,5.301090,0.690239
bodyfat,Ch5 crisp argmax U -> TSK (trio),0,3,5.026488,0.721500
bodyfat,Ch5 graded U inductive -> TSK (trio),0,3,5.157046,0.706844
bodyfat,Ch5 crisp assign inductive -> TSK (trio),0,3,5.344932,0.685094
bodyfat,Ch5 graded U -> TSK (all 13),0,3,55.784069,-33.301780
bodyfat,Ch5 crisp assign -> TSK (all 13),0,3,6.555070,0.526357
bodyfat,"Ch4 TribbleRegressor (trio, log-tuned)",0,3,5.529686,0.662948
bodyfat,"Ch4 TribbleRegressor (all 13, default)",0,3,12.675884,-0.771139
bodyfat,global 1-rule TSK (trio),0,3,5.227624,0.698765
bodyfat,global 1-rule TSK (all 13),0,3,6.080916,0.592400
bodyfat,floor: OLS (trio),0,3,5.387880,0.680013
bodyfat,"floor: OLS (trio, log1p-scaled)",0,3,6.002137,0.602892
bodyfat,floor: OLS (all 13),0,3,4.982661,0.726335
bodyfat,floor: predict train mean,0,3,9.935082,-0.088026
bodyfat,Ch5 graded U -> TSK (trio),0,4,4.473739,0.711557
bodyfat,Ch5 crisp assign -> TSK (trio),0,4,4.416468,0.718895
bodyfat,Ch5 crisp argmax U -> TSK (trio),0,4,4.395632,0.721541
bodyfat,Ch5 graded U inductive -> TSK (trio),0,4,4.711994,0.680016
bodyfat,Ch5 crisp assign inductive -> TSK (trio),0,4,5.300251,0.595133
bodyfat,Ch5 graded U -> TSK (all 13),0,4,5.243694,0.603728
bodyfat,Ch5 crisp assign -> TSK (all 13),0,4,5.065238,0.630241
bodyfat,"Ch4 TribbleRegressor (trio, log-tuned)",0,4,4.451382,0.714433
bodyfat,"Ch4 TribbleRegressor (all 13, default)",0,4,6.391754,0.411212
bodyfat,global 1-rule TSK (trio),0,4,4.481414,0.710566
bodyfat,global 1-rule TSK (all 13),0,4,4.716433,0.679413
bodyfat,floor: OLS (trio),0,4,4.415687,0.718994
bodyfat,"floor: OLS (trio, log1p-scaled)",0,4,5.023572,0.636299
bodyfat,floor: OLS (all 13),0,4,4.762370,0.673137
bodyfat,floor: predict train mean,0,4,8.333048,-0.000753
bodyfat,Ch5 graded U -> TSK (trio),1,0,4.448828,0.730910
bodyfat,Ch5 crisp assign -> TSK (trio),1,0,4.259096,0.753372
bodyfat,Ch5 crisp argmax U -> TSK (trio),1,0,4.316996,0.746621
bodyfat,Ch5 graded U inductive -> TSK (trio),1,0,4.472569,0.728030
bodyfat,Ch5 crisp assign inductive -> TSK (trio),1,0,4.564709,0.716709
bodyfat,Ch5 graded U -> TSK (all 13),1,0,136.296955,-251.568410
bodyfat,Ch5 crisp assign -> TSK (all 13),1,0,6.426284,0.438530
bodyfat,"Ch4 TribbleRegressor (trio, log-tuned)",1,0,4.183257,0.762077
bodyfat,"Ch4 TribbleRegressor (all 13, default)",1,0,8.588199,-0.002792
bodyfat,global 1-rule TSK (trio),1,0,4.406844,0.735965
bodyfat,global 1-rule TSK (all 13),1,0,4.032534,0.778913
bodyfat,floor: OLS (trio),1,0,4.617246,0.710150
bodyfat,"floor: OLS (trio, log1p-scaled)",1,0,5.058496,0.652104
bodyfat,floor: OLS (all 13),1,0,4.377419,0.739479
bodyfat,floor: predict train mean,1,0,8.633010,-0.013284
bodyfat,Ch5 graded U -> TSK (trio),1,1,4.499534,0.725911
bodyfat,Ch5 crisp assign -> TSK (trio),1,1,4.788369,0.689593
bodyfat,Ch5 crisp argmax U -> TSK (trio),1,1,4.774026,0.691450
bodyfat,Ch5 graded U inductive -> TSK (trio),1,1,4.819369,0.685561
bodyfat,Ch5 crisp assign inductive -> TSK (trio),1,1,4.856282,0.680726
bodyfat,Ch5 graded U -> TSK (all 13),1,1,6.687897,0.394470
bodyfat,Ch5 crisp assign -> TSK (all 13),1,1,5.369286,0.609708
