N,N (normalized),classical,stage 1,stage 2,N² (ref.),N² log N (ref.),N³ (ref.)
100,1.0×,1.00×,1.00×,1.00×,1.00×,1.00×,1.00×
200,2.0×,7.38×,3.16×,3.66×,4.00×,4.60×,8.00×
300,3.0×,27.04×,6.38×,7.80×,9.00×,11.15×,27.00×
500,5.0×,126.67×,16.55×,19.89×,25.00×,33.74×,125.00×
750,7.5×,474.21×,34.61×,42.53×,56.25×,80.86×,421.88×
"1,000",10.0×,1295.31×,59.50×,61.29×,100.00×,150.00×,1000.00×
"1,250",12.5×,N/A,140.22×,105.30×,156.25×,241.95×,1953.12×
"1,500",15.0×,N/A,169.87×,143.09×,225.00×,357.31×,3375.00×
"2,000",20.0×,N/A,252.24×,220.82×,400.00×,660.21×,8000.00×
"2,500",25.0×,N/A,408.02×,350.15×,625.00×,1061.86×,15625.00×
"3,000",30.0×,N/A,525.78×,544.37×,900.00×,1564.70×,27000.00×
**fitted exponent**,,**3.11** (6 pts),**1.90** (11 pts),**1.82** (11 pts),2.00,~2.1,3.00
