N,classical O(N³) (s),stage 1 O(N²logN) (s),stage 2 O(N²) (s),cls/s2,s1/s2,orders identical
100,0.0001 ± 0.0000 s,0.0002 ± 0.0000 s,0.0000 ± 0.0000 s,6.6×,9.6×,yes
200,0.0008 ± 0.0000 s,0.0005 ± 0.0000 s,0.0001 ± 0.0000 s,13.3×,8.3×,yes
300,0.0029 ± 0.0002 s,0.0010 ± 0.0001 s,0.0001 ± 0.0000 s,22.9×,7.8×,yes
500,0.0134 ± 0.0003 s,0.0025 ± 0.0001 s,0.0003 ± 0.0000 s,42.1×,8.0×,yes
750,0.0502 ± 0.0015 s,0.0053 ± 0.0002 s,0.0007 ± 0.0001 s,73.7×,7.8×,yes
"1,000",0.1371 ± 0.0063 s,0.0091 ± 0.0008 s,0.0010 ± 0.0001 s,139.7×,9.3×,yes
"1,250",not run (> cap),0.0215 ± 0.0016 s,0.0017 ± 0.0002 s,N/A,12.7×,yes
"1,500",not run (> cap),0.0260 ± 0.0052 s,0.0023 ± 0.0004 s,N/A,11.4×,yes
"2,000",not run (> cap),0.0386 ± 0.0068 s,0.0035 ± 0.0006 s,N/A,10.9×,yes
"2,500",not run (> cap),0.0625 ± 0.0113 s,0.0056 ± 0.0007 s,N/A,11.1×,yes
"3,000",not run (> cap),0.0805 ± 0.0100 s,0.0087 ± 0.0013 s,N/A,9.2×,yes
