kernel,conditions,CPU arm,GPU arm,CPU (s),GPU (s),GPU speedup (CPU/GPU),exactness vs CPU,kind
Boruvka MST (device),"N=4,000, float64, matrix resident",pcvat.vat_prim_mst_c (Cython dense Prim),gpu_vat.boruvka_mst_device,0.02224 ± 0.00347,0.00409 ± 0.00035,5.44x,order 1.000 (bit-identical),estimate (10 seeds)
VAT front end,"N=4,000, float64, order only",pairwise_distances_c + vat_prim_mst_c,gpu_vat.vat_gpu,0.04576 ± 0.00385,0.01871 ± 0.00382,2.45x,order 1.000 (bit-identical),estimate (10 seeds)
VAT front end,"N=4,000, float64, UNMATCHED work",pairwise_distances_c + compute_vat_c (also reorders D),gpu_vat.vat_gpu (order only),0.10417 ± 0.00479,0.01871 ± 0.00382,5.57x,order 1.000 (bit-identical),estimate (10 seeds)
Boruvka MST (device),"N=8,000, float64, matrix resident",pcvat.vat_prim_mst_c (Cython dense Prim),gpu_vat.boruvka_mst_device,0.07482 ± 0.00516,0.01209 ± 0.00159,6.19x,order 1.000 (bit-identical),estimate (10 seeds)
VAT front end,"N=8,000, float64, order only",pairwise_distances_c + vat_prim_mst_c,gpu_vat.vat_gpu,0.14440 ± 0.00560,0.04894 ± 0.00611,2.95x,order 1.000 (bit-identical),estimate (10 seeds)
VAT front end,"N=8,000, float64, UNMATCHED work",pairwise_distances_c + compute_vat_c (also reorders D),gpu_vat.vat_gpu (order only),0.35846 ± 0.01664,0.04894 ± 0.00611,7.33x,order 1.000 (bit-identical),estimate (10 seeds)
Boruvka MST (device),"N=16,000, float64, matrix resident",pcvat.vat_prim_mst_c (Cython dense Prim),gpu_vat.boruvka_mst_device,0.25733 ± 0.02077,0.04787 ± 0.00388,5.38x,order 1.000 (bit-identical),estimate (10 seeds)
VAT front end,"N=16,000, float64, order only",pairwise_distances_c + vat_prim_mst_c,gpu_vat.vat_gpu,0.55642 ± 0.02173,0.16829 ± 0.01037,3.31x,order 1.000 (bit-identical),estimate (10 seeds)
VAT front end,"N=16,000, float64, UNMATCHED work",pairwise_distances_c + compute_vat_c (also reorders D),gpu_vat.vat_gpu (order only),1.35787 ± 0.08272,0.16829 ± 0.01037,8.07x,order 1.000 (bit-identical),estimate (10 seeds)
Boruvka MST (device),"N=32,000, float64, matrix resident",pcvat.vat_prim_mst_c (Cython dense Prim),gpu_vat.boruvka_mst_device,0.93341 ± 0.04634,0.19488 ± 0.01132,4.79x,order 1.000 (bit-identical),estimate (10 seeds)
VAT front end,"N=32,000, float64, order only",pairwise_distances_c + vat_prim_mst_c,gpu_vat.vat_gpu,2.63034 ± 0.09147,0.61210 ± 0.02337,4.30x,order 1.000 (bit-identical),estimate (10 seeds)
VAT front end,"N=32,000, float64, UNMATCHED work",pairwise_distances_c + compute_vat_c (also reorders D),gpu_vat.vat_gpu (order only),6.27113 ± 0.22382,0.61210 ± 0.02337,10.25x,order 1.000 (bit-identical),estimate (10 seeds)
Fuzzy C-Means,"N=50,000, k=10, d=20",fcm.fuzzy_c_means (NumPy broadcasting -- DIFFERENT algorithm),gpu.fuzzy_c_means_gpu (gram + 2 GEMM),0.53544 ± 0.47081,0.10550 ± 0.10408,5.08x,labels 1.000 ± 0.001; max abs Δcentre 4.9e-05,estimate (10 seeds)
Fuzzy C-Means,"N=50,000, k=10, d=20, MATCHED formulation",gram + 2 GEMM in NumPy/BLAS (this file),gpu.fuzzy_c_means_gpu (gram + 2 GEMM),0.27517 ± 0.22977,0.10550 ± 0.10408,2.61x,labels 1.000; max abs Δcentre 1.6e-13,estimate (10 seeds)
Fuzzy C-Means,"N=200,000, k=10, d=20",fcm.fuzzy_c_means (NumPy broadcasting -- DIFFERENT algorithm),gpu.fuzzy_c_means_gpu (gram + 2 GEMM),2.50138 ± 2.67205,0.42582 ± 0.19966,5.87x,labels 1.000; max abs Δcentre 4.8e-06,estimate (10 seeds)
Fuzzy C-Means,"N=200,000, k=10, d=20, MATCHED formulation",gram + 2 GEMM in NumPy/BLAS (this file),gpu.fuzzy_c_means_gpu (gram + 2 GEMM),1.42498 ± 1.48751,0.42582 ± 0.19966,3.35x,labels 1.000; max abs Δcentre 3.2e-13,estimate (10 seeds)
Fuzzy C-Means,"N=500,000, k=10, d=20",fcm.fuzzy_c_means (NumPy broadcasting -- DIFFERENT algorithm),gpu.fuzzy_c_means_gpu (gram + 2 GEMM),7.49305 ± 7.05183,0.79311 ± 0.46870,9.45x,labels 1.000; max abs Δcentre 9.8e-06,estimate (10 seeds)
Fuzzy C-Means,"N=500,000, k=10, d=20, MATCHED formulation",gram + 2 GEMM in NumPy/BLAS (this file),gpu.fuzzy_c_means_gpu (gram + 2 GEMM),4.03397 ± 3.82967,0.79311 ± 0.46870,5.09x,labels 1.000; max abs Δcentre 6.0e-13,estimate (10 seeds)
Pairwise distances,"N=16,000, d=10, float64, high_precision",pcvat.pairwise_distances_c (C/OpenMP),gpu.pairwise_distances_gpu (tiled -> host),0.28519 ± 0.00596,1.03463 ± 0.05696,0.28x,max abs Δ = 7.1e-15,estimate (10 seeds)
Pairwise distances,"N=16,000, d=50, float64, high_precision",pcvat.pairwise_distances_c (C/OpenMP),gpu.pairwise_distances_gpu (tiled -> host),0.36575 ± 0.02038,1.17627 ± 0.06767,0.31x,max abs Δ = 2.8e-14,estimate (10 seeds)
Pairwise distances,"N=16,000, d=200, float64, high_precision",pcvat.pairwise_distances_c (C/OpenMP),gpu.pairwise_distances_gpu (tiled -> host),0.93901 ± 0.06364,1.69244 ± 0.04584,0.55x,max abs Δ = 7.1e-14,estimate (10 seeds)
Pairwise distances,"N=16,000, d=784, float64, high_precision",pcvat.pairwise_distances_c (C/OpenMP),gpu.pairwise_distances_gpu (tiled -> host),5.13175 ± 0.06646,13.27486 ± 0.08534,0.39x,max abs Δ = 2.8e-13,estimate (10 seeds)
Pairwise distances,"N=16,000, d=10, float32, high_precision",pcvat.pairwise_distances_c (C/OpenMP),gpu.pairwise_distances_gpu (tiled -> host),0.20050 ± 0.00857,0.63981 ± 0.06440,0.31x,max abs Δ = 0.0e+00,estimate (10 seeds)
