N,N (normalized),classical,stage 1,stage 2,N² (ref.),N² log N (ref.),N³ (ref.)
100,1.0×,1.00×,1.00×,1.00×,1.00×,1.00×,1.00×
200,2.0×,7.58×,3.37×,3.18×,4.00×,4.60×,8.00×
300,3.0×,26.53×,6.27×,6.95×,9.00×,11.15×,27.00×
500,5.0×,141.52×,17.94×,20.30×,25.00×,33.74×,125.00×
750,7.5×,664.10×,49.71×,41.86×,56.25×,80.86×,421.88×
"1,000",10.0×,1419.30×,81.56×,67.31×,100.00×,150.00×,1000.00×
"1,250",12.5×,N/A,127.17×,107.21×,156.25×,241.95×,1953.12×
"1,500",15.0×,N/A,175.91×,142.97×,225.00×,357.31×,3375.00×
"2,000",20.0×,N/A,243.44×,288.54×,400.00×,660.21×,8000.00×
"2,500",25.0×,N/A,348.84×,553.62×,625.00×,1061.86×,15625.00×
"3,000",30.0×,N/A,478.97×,811.66×,900.00×,1564.70×,27000.00×
**fitted exponent**,,**3.21** (6 pts),**1.87** (11 pts),**1.96** (11 pts),2.00,~2.1,3.00
