N,classical O(N³) (s),stage 1 O(N²logN) (s),stage 2 O(N²) (s),cls/s2,s1/s2,orders identical
100,0.0001 ± 0.0000 s,0.0002 ± 0.0000 s,0.0000 ± 0.0000 s,10.0×,14.4×,yes
200,0.0008 ± 0.0001 s,0.0005 ± 0.0000 s,0.0000 ± 0.0000 s,23.9×,15.2×,yes
300,0.0028 ± 0.0002 s,0.0010 ± 0.0000 s,0.0001 ± 0.0000 s,38.3×,13.0×,yes
500,0.0150 ± 0.0003 s,0.0027 ± 0.0001 s,0.0002 ± 0.0000 s,70.0×,12.7×,yes
750,0.0704 ± 0.0015 s,0.0076 ± 0.0002 s,0.0004 ± 0.0000 s,159.2×,17.1×,yes
"1,000",0.1505 ± 0.0028 s,0.0124 ± 0.0008 s,0.0007 ± 0.0000 s,211.6×,17.4×,yes
"1,250",not run (> cap),0.0194 ± 0.0006 s,0.0011 ± 0.0000 s,N/A,17.1×,yes
"1,500",not run (> cap),0.0268 ± 0.0011 s,0.0015 ± 0.0000 s,N/A,17.7×,yes
"2,000",not run (> cap),0.0371 ± 0.0018 s,0.0030 ± 0.0003 s,N/A,12.1×,yes
"2,500",not run (> cap),0.0531 ± 0.0020 s,0.0059 ± 0.0009 s,N/A,9.1×,yes
"3,000",not run (> cap),0.0729 ± 0.0015 s,0.0086 ± 0.0013 s,N/A,8.5×,yes
