N,N (normalized),classical,stage 1,stage 2,N² (ref.),N² log N (ref.),N³ (ref.)
100,1.0×,1.00×,1.00×,1.00×,1.00×,1.00×,1.00×
200,2.0×,7.58×,3.23×,3.36×,4.00×,4.60×,8.00×
300,3.0×,27.95×,6.76×,7.96×,9.00×,11.15×,27.00×
500,5.0×,140.20×,18.15×,21.14×,25.00×,33.74×,125.00×
750,7.5×,650.33×,52.25×,44.34×,56.25×,80.86×,421.88×
"1,000",10.0×,1434.42×,81.07×,69.61×,100.00×,150.00×,1000.00×
"1,250",12.5×,N/A,129.34×,113.37×,156.25×,241.95×,1953.12×
"1,500",15.0×,N/A,174.29×,152.49×,225.00×,357.31×,3375.00×
"2,000",20.0×,N/A,245.16×,304.25×,400.00×,660.21×,8000.00×
"2,500",25.0×,N/A,343.16×,565.84×,625.00×,1061.86×,15625.00×
"3,000",30.0×,N/A,474.52×,952.10×,900.00×,1564.70×,27000.00×
**fitted exponent**,,**3.20** (6 pts),**1.86** (11 pts),**1.97** (11 pts),2.00,~2.1,3.00
