N,classical O(N³) (s),stage 1 O(N²logN) (s),stage 2 O(N²) (s),cls/s2,s1/s2,orders identical
100,0.0001 ± 0.0000 s,0.0002 ± 0.0000 s,0.0000 ± 0.0000 s,10.4×,14.9×,yes
200,0.0008 ± 0.0000 s,0.0005 ± 0.0000 s,0.0000 ± 0.0000 s,23.4×,14.3×,yes
300,0.0029 ± 0.0002 s,0.0010 ± 0.0001 s,0.0001 ± 0.0000 s,36.4×,12.6×,yes
500,0.0147 ± 0.0002 s,0.0027 ± 0.0001 s,0.0002 ± 0.0000 s,68.8×,12.8×,yes
750,0.0682 ± 0.0027 s,0.0079 ± 0.0007 s,0.0004 ± 0.0000 s,152.1×,17.5×,yes
"1,000",0.1504 ± 0.0019 s,0.0122 ± 0.0003 s,0.0007 ± 0.0000 s,213.7×,17.3×,yes
"1,250",not run (> cap),0.0195 ± 0.0006 s,0.0011 ± 0.0000 s,N/A,17.0×,yes
"1,500",not run (> cap),0.0262 ± 0.0008 s,0.0015 ± 0.0001 s,N/A,17.0×,yes
"2,000",not run (> cap),0.0369 ± 0.0022 s,0.0031 ± 0.0004 s,N/A,12.0×,yes
"2,500",not run (> cap),0.0516 ± 0.0016 s,0.0057 ± 0.0008 s,N/A,9.0×,yes
"3,000",not run (> cap),0.0714 ± 0.0009 s,0.0096 ± 0.0015 s,N/A,7.4×,yes
