buckets,order,scheme,R²,RMSE (MPa),tail RMSE (MPa),max err (MPa),min bucket n
3,1st,hybrid *(shipped)*,0.783 ± 0.028,7.61 ± 0.49,8.14 ± 1.09,29.1 ± 5.8,343
3,1st,quantile,0.784 ± 0.028,7.59 ± 0.48,8.26 ± 1.12,28.5 ± 5.9,343
3,1st,uniform,0.787 ± 0.027,7.54 ± 0.58,8.10 ± 1.13,29.6 ± 7.8,132
3,2nd,hybrid *(shipped)*,0.829 ± 0.023,6.76 ± 0.53,6.85 ± 0.97,29.6 ± 8.8,343
3,2nd,quantile,0.831 ± 0.022,6.72 ± 0.51,6.86 ± 0.94,29.1 ± 8.8,343
3,2nd,uniform,0.835 ± 0.021,6.64 ± 0.49,6.46 ± 0.65,29.3 ± 8.3,132
4,1st,hybrid *(shipped)*,0.799 ± 0.016,7.33 ± 0.35,8.03 ± 0.93,27.5 ± 7.6,257
4,1st,quantile,0.798 ± 0.016,7.34 ± 0.36,8.15 ± 0.94,27.5 ± 7.5,257
4,1st,uniform,0.790 ± 0.031,7.48 ± 0.55,7.96 ± 1.13,30.1 ± 6.2,75
4,2nd,hybrid *(shipped)*,0.848 ± 0.022,6.37 ± 0.47,6.57 ± 0.64,26.7 ± 8.0,257
4,2nd,quantile,0.848 ± 0.022,6.36 ± 0.47,6.57 ± 0.63,26.5 ± 8.1,257
4,2nd,uniform,0.836 ± 0.033,6.59 ± 0.66,6.54 ± 0.69,28.5 ± 7.5,75
6,1st,hybrid *(shipped)*,0.802 ± 0.030,7.25 ± 0.38,7.85 ± 0.64,27.4 ± 6.2,171
6,1st,quantile,0.801 ± 0.030,7.26 ± 0.37,7.90 ± 0.66,27.1 ± 6.4,171
6,1st,uniform,0.805 ± 0.018,7.21 ± 0.25,7.86 ± 0.92,29.0 ± 5.4,39
6,2nd,hybrid *(shipped)*,0.848 ± 0.024,6.36 ± 0.42,6.44 ± 0.58,25.7 ± 7.0,171
6,2nd,quantile,0.848 ± 0.024,6.35 ± 0.41,6.46 ± 0.57,25.6 ± 7.0,171
6,2nd,uniform,0.848 ± 0.024,6.35 ± 0.48,6.47 ± 0.72,28.9 ± 6.8,39
