N,N (normalized),classical,stage 1,stage 2,N² (ref.),N² log N (ref.),N³ (ref.)
100,1.0×,1.00×,1.00×,1.00×,1.00×,1.00×,1.00×
200,2.0×,8.25×,3.21×,3.45×,4.00×,4.60×,8.00×
300,3.0×,28.18×,6.30×,7.29×,9.00×,11.15×,27.00×
500,5.0×,133.87×,16.43×,19.59×,25.00×,33.74×,125.00×
750,7.5×,686.34×,49.80×,45.00×,56.25×,80.86×,421.88×
"1,000",10.0×,1468.74×,86.31×,72.74×,100.00×,150.00×,1000.00×
"1,250",12.5×,N/A,129.07×,112.69×,156.25×,241.95×,1953.12×
"1,500",15.0×,N/A,179.95×,153.46×,225.00×,357.31×,3375.00×
"2,000",20.0×,N/A,251.40×,294.66×,400.00×,660.21×,8000.00×
"2,500",25.0×,N/A,352.31×,556.61×,625.00×,1061.86×,15625.00×
"3,000",30.0×,N/A,471.91×,797.97×,900.00×,1564.70×,27000.00×
**fitted exponent**,,**3.20** (6 pts),**1.88** (11 pts),**1.95** (11 pts),2.00,~2.1,3.00
