N,classical O(N³) (s),stage 1 O(N²logN) (s),stage 2 O(N²) (s),cls/s2,s1/s2,orders identical
100,0.0001 ± 0.0000 s,0.0002 ± 0.0000 s,0.0000 ± 0.0000 s,10.2×,15.2×,yes
200,0.0008 ± 0.0001 s,0.0005 ± 0.0000 s,0.0000 ± 0.0000 s,24.5×,14.2×,yes
300,0.0029 ± 0.0002 s,0.0010 ± 0.0001 s,0.0001 ± 0.0000 s,39.6×,13.2×,yes
500,0.0137 ± 0.0004 s,0.0025 ± 0.0001 s,0.0002 ± 0.0000 s,69.9×,12.8×,yes
750,0.0704 ± 0.0013 s,0.0076 ± 0.0002 s,0.0005 ± 0.0000 s,156.0×,16.9×,yes
"1,000",0.1506 ± 0.0039 s,0.0132 ± 0.0014 s,0.0007 ± 0.0000 s,206.6×,18.1×,yes
"1,250",not run (> cap),0.0197 ± 0.0006 s,0.0011 ± 0.0000 s,N/A,17.4×,yes
"1,500",not run (> cap),0.0275 ± 0.0011 s,0.0015 ± 0.0001 s,N/A,17.9×,yes
"2,000",not run (> cap),0.0384 ± 0.0032 s,0.0030 ± 0.0002 s,N/A,13.0×,yes
"2,500",not run (> cap),0.0538 ± 0.0053 s,0.0056 ± 0.0007 s,N/A,9.6×,yes
"3,000",not run (> cap),0.0720 ± 0.0017 s,0.0080 ± 0.0002 s,N/A,9.0×,yes
