N,N (normalized),classical,stage 1,stage 2,N² (ref.),N² log N (ref.),N³ (ref.)
100,1.0×,1.00×,1.00×,1.00×,1.00×,1.00×,1.00×
200,2.0×,7.46×,3.25×,3.18×,4.00×,4.60×,8.00×
300,3.0×,26.10×,6.24×,6.74×,9.00×,11.15×,27.00×
500,5.0×,130.50×,17.13×,20.49×,25.00×,33.74×,125.00×
750,7.5×,576.37×,43.54×,40.64×,56.25×,80.86×,421.88×
"1,000",10.0×,1294.66×,69.16×,60.63×,100.00×,150.00×,1000.00×
"1,250",12.5×,N/A,105.90×,87.90×,156.25×,241.95×,1953.12×
"1,500",15.0×,N/A,144.62×,134.00×,225.00×,357.31×,3375.00×
"2,000",20.0×,N/A,202.42×,245.60×,400.00×,660.21×,8000.00×
"2,500",25.0×,N/A,314.03×,476.30×,625.00×,1061.86×,15625.00×
"3,000",30.0×,N/A,415.18×,640.40×,900.00×,1564.70×,27000.00×
**fitted exponent**,,**3.15** (6 pts),**1.81** (11 pts),**1.89** (11 pts),2.00,~2.1,3.00
