N,classical O(N³) (s),stage 1 O(N²logN) (s),stage 2 O(N²) (s),cls/s2,s1/s2,orders identical
100,0.0001 ± 0.0000 s,0.0002 ± 0.0000 s,0.0000 ± 0.0000 s,10.0×,14.6×,yes
200,0.0010 ± 0.0000 s,0.0006 ± 0.0000 s,0.0000 ± 0.0000 s,23.4×,14.9×,yes
300,0.0035 ± 0.0000 s,0.0012 ± 0.0001 s,0.0001 ± 0.0000 s,38.7×,13.5×,yes
500,0.0176 ± 0.0008 s,0.0034 ± 0.0001 s,0.0003 ± 0.0001 s,63.5×,12.2×,yes
750,0.0776 ± 0.0098 s,0.0086 ± 0.0010 s,0.0005 ± 0.0001 s,141.5×,15.6×,yes
"1,000",0.1742 ± 0.0029 s,0.0136 ± 0.0009 s,0.0008 ± 0.0001 s,213.0×,16.6×,yes
"1,250",not run (> cap),0.0208 ± 0.0022 s,0.0012 ± 0.0001 s,N/A,17.6×,yes
"1,500",not run (> cap),0.0284 ± 0.0016 s,0.0018 ± 0.0001 s,N/A,15.7×,yes
"2,000",not run (> cap),0.0398 ± 0.0016 s,0.0033 ± 0.0003 s,N/A,12.0×,yes
"2,500",not run (> cap),0.0618 ± 0.0016 s,0.0064 ± 0.0008 s,N/A,9.6×,yes
"3,000",not run (> cap),0.0817 ± 0.0007 s,0.0086 ± 0.0004 s,N/A,9.5×,yes
