kernel,conditions,CPU arm,GPU arm,CPU (s),GPU (s),GPU speedup (CPU/GPU),exactness vs CPU,kind
Boruvka MST (device),"N=4,000, float64, matrix resident",pcvat.vat_prim_mst_c (Cython dense Prim),gpu_vat.boruvka_mst_device,0.01932 ± 0.00224,0.00321 ± 0.00020,6.02x,order 1.000 (bit-identical),estimate (10 seeds)
VAT front end,"N=4,000, float64, order only",pairwise_distances_c + vat_prim_mst_c,gpu_vat.vat_gpu,0.04157 ± 0.00387,0.01661 ± 0.00048,2.50x,order 1.000 (bit-identical),estimate (10 seeds)
VAT front end,"N=4,000, float64, UNMATCHED work",pairwise_distances_c + compute_vat_c (also reorders D),gpu_vat.vat_gpu (order only),0.09733 ± 0.00395,0.01661 ± 0.00048,5.86x,order 1.000 (bit-identical),estimate (10 seeds)
Boruvka MST (device),"N=8,000, float64, matrix resident",pcvat.vat_prim_mst_c (Cython dense Prim),gpu_vat.boruvka_mst_device,0.07837 ± 0.01227,0.00875 ± 0.00049,8.95x,order 1.000 (bit-identical),estimate (10 seeds)
VAT front end,"N=8,000, float64, order only",pairwise_distances_c + vat_prim_mst_c,gpu_vat.vat_gpu,0.14930 ± 0.01292,0.04268 ± 0.00529,3.50x,order 1.000 (bit-identical),estimate (10 seeds)
VAT front end,"N=8,000, float64, UNMATCHED work",pairwise_distances_c + compute_vat_c (also reorders D),gpu_vat.vat_gpu (order only),0.36403 ± 0.01075,0.04268 ± 0.00529,8.53x,order 1.000 (bit-identical),estimate (10 seeds)
Boruvka MST (device),"N=16,000, float64, matrix resident",pcvat.vat_prim_mst_c (Cython dense Prim),gpu_vat.boruvka_mst_device,0.29600 ± 0.05433,0.03502 ± 0.00455,8.45x,order 1.000 (bit-identical),estimate (10 seeds)
VAT front end,"N=16,000, float64, order only",pairwise_distances_c + vat_prim_mst_c,gpu_vat.vat_gpu,0.63502 ± 0.07445,0.15583 ± 0.01252,4.08x,order 1.000 (bit-identical),estimate (10 seeds)
VAT front end,"N=16,000, float64, UNMATCHED work",pairwise_distances_c + compute_vat_c (also reorders D),gpu_vat.vat_gpu (order only),1.50607 ± 0.08714,0.15583 ± 0.01252,9.66x,order 1.000 (bit-identical),estimate (10 seeds)
Boruvka MST (device),"N=32,000, float64, matrix resident",pcvat.vat_prim_mst_c (Cython dense Prim),gpu_vat.boruvka_mst_device,1.00111 ± 0.08641,0.13304 ± 0.00757,7.52x,order 1.000 (bit-identical),estimate (10 seeds)
