kernel,conditions,CPU arm,GPU arm,CPU (s),GPU (s),GPU speedup (CPU/GPU),exactness vs CPU,kind
Boruvka MST (device),"N=4,000, float64, matrix resident",pcvat.vat_prim_mst_c (Cython dense Prim),gpu_vat.boruvka_mst_device,0.01713 ± 0.00190,0.00315 ± 0.00029,5.44x,order 1.000 (bit-identical),estimate (10 seeds)
VAT front end,"N=4,000, float64, order only",pairwise_distances_c + vat_prim_mst_c,gpu_vat.vat_gpu,0.03733 ± 0.00446,0.01607 ± 0.00031,2.32x,order 1.000 (bit-identical),estimate (10 seeds)
VAT front end,"N=4,000, float64, UNMATCHED work",pairwise_distances_c + compute_vat_c (also reorders D),gpu_vat.vat_gpu (order only),0.09052 ± 0.00509,0.01607 ± 0.00031,5.63x,order 1.000 (bit-identical),estimate (10 seeds)
Boruvka MST (device),"N=8,000, float64, matrix resident",pcvat.vat_prim_mst_c (Cython dense Prim),gpu_vat.boruvka_mst_device,0.06912 ± 0.00963,0.00913 ± 0.00086,7.57x,order 1.000 (bit-identical),estimate (10 seeds)
VAT front end,"N=8,000, float64, order only",pairwise_distances_c + vat_prim_mst_c,gpu_vat.vat_gpu,0.13464 ± 0.01076,0.04811 ± 0.00778,2.80x,order 1.000 (bit-identical),estimate (10 seeds)
VAT front end,"N=8,000, float64, UNMATCHED work",pairwise_distances_c + compute_vat_c (also reorders D),gpu_vat.vat_gpu (order only),0.34393 ± 0.01194,0.04811 ± 0.00778,7.15x,order 1.000 (bit-identical),estimate (10 seeds)
Boruvka MST (device),"N=16,000, float64, matrix resident",pcvat.vat_prim_mst_c (Cython dense Prim),gpu_vat.boruvka_mst_device,0.24849 ± 0.00805,0.03234 ± 0.00251,7.68x,order 1.000 (bit-identical),estimate (10 seeds)
VAT front end,"N=16,000, float64, order only",pairwise_distances_c + vat_prim_mst_c,gpu_vat.vat_gpu,0.54266 ± 0.02137,0.13991 ± 0.01156,3.88x,order 1.000 (bit-identical),estimate (10 seeds)
VAT front end,"N=16,000, float64, UNMATCHED work",pairwise_distances_c + compute_vat_c (also reorders D),gpu_vat.vat_gpu (order only),1.32699 ± 0.04083,0.13991 ± 0.01156,9.48x,order 1.000 (bit-identical),estimate (10 seeds)
Boruvka MST (device),"N=32,000, float64, matrix resident",pcvat.vat_prim_mst_c (Cython dense Prim),gpu_vat.boruvka_mst_device,0.86171 ± 0.00969,0.13640 ± 0.00778,6.32x,order 1.000 (bit-identical),estimate (10 seeds)
VAT front end,"N=32,000, float64, order only",pairwise_distances_c + vat_prim_mst_c,gpu_vat.vat_gpu,2.46849 ± 0.02397,0.50139 ± 0.01060,4.92x,order 1.000 (bit-identical),estimate (10 seeds)
VAT front end,"N=32,000, float64, UNMATCHED work",pairwise_distances_c + compute_vat_c (also reorders D),gpu_vat.vat_gpu (order only),5.92519 ± 0.02947,0.50139 ± 0.01060,11.82x,order 1.000 (bit-identical),estimate (10 seeds)
Fuzzy C-Means,"N=50,000, k=10, d=20",fcm.fuzzy_c_means (NumPy broadcasting -- DIFFERENT algorithm),gpu.fuzzy_c_means_gpu (gram + 2 GEMM),2.30192 ± 2.01470,0.15939 ± 0.11632,14.44x,labels 1.000 ± 0.001; max abs Δcentre 4.9e-05,estimate (10 seeds)
Fuzzy C-Means,"N=50,000, k=10, d=20, MATCHED formulation",gram + 2 GEMM in NumPy/BLAS (this file),gpu.fuzzy_c_means_gpu (gram + 2 GEMM),0.20945 ± 0.17877,0.15939 ± 0.11632,1.31x,labels 1.000; max abs Δcentre 1.6e-13,estimate (10 seeds)
Fuzzy C-Means,"N=200,000, k=10, d=20",fcm.fuzzy_c_means (NumPy broadcasting -- DIFFERENT algorithm),gpu.fuzzy_c_means_gpu (gram + 2 GEMM),10.57036 ± 10.63386,0.43820 ± 0.14805,24.12x,labels 1.000; max abs Δcentre 4.8e-06,estimate (10 seeds)
Fuzzy C-Means,"N=200,000, k=10, d=20, MATCHED formulation",gram + 2 GEMM in NumPy/BLAS (this file),gpu.fuzzy_c_means_gpu (gram + 2 GEMM),0.93759 ± 0.93169,0.43820 ± 0.14805,2.14x,labels 1.000; max abs Δcentre 3.2e-13,estimate (10 seeds)
Fuzzy C-Means,"N=500,000, k=10, d=20",fcm.fuzzy_c_means (NumPy broadcasting -- DIFFERENT algorithm),gpu.fuzzy_c_means_gpu (gram + 2 GEMM),29.10176 ± 25.97514,0.71049 ± 0.39317,40.96x,labels 1.000; max abs Δcentre 9.8e-06,estimate (10 seeds)
Fuzzy C-Means,"N=500,000, k=10, d=20, MATCHED formulation",gram + 2 GEMM in NumPy/BLAS (this file),gpu.fuzzy_c_means_gpu (gram + 2 GEMM),2.59676 ± 2.29919,0.71049 ± 0.39317,3.65x,labels 1.000; max abs Δcentre 6.0e-13,estimate (10 seeds)
Pairwise distances,"N=16,000, d=10, float64, high_precision",pcvat.pairwise_distances_c (C/OpenMP),gpu.pairwise_distances_gpu (tiled -> host),0.27727 ± 0.00937,0.93606 ± 0.06114,0.30x,max abs Δ = 7.1e-15,estimate (10 seeds)
Pairwise distances,"N=16,000, d=50, float64, high_precision",pcvat.pairwise_distances_c (C/OpenMP),gpu.pairwise_distances_gpu (tiled -> host),0.40394 ± 0.01009,1.06883 ± 0.02437,0.38x,max abs Δ = 1.4e-14,estimate (10 seeds)
Pairwise distances,"N=16,000, d=200, float64, high_precision",pcvat.pairwise_distances_c (C/OpenMP),gpu.pairwise_distances_gpu (tiled -> host),1.50067 ± 0.07594,1.38548 ± 0.03775,1.08x,max abs Δ = 2.8e-14,estimate (10 seeds)
Pairwise distances,"N=16,000, d=784, float64, high_precision",pcvat.pairwise_distances_c (C/OpenMP),gpu.pairwise_distances_gpu (tiled -> host),7.01491 ± 0.27442,10.89093 ± 0.06956,0.64x,max abs Δ = 4.3e-14,estimate (10 seeds)
Pairwise distances,"N=16,000, d=10, float32, high_precision",pcvat.pairwise_distances_c (C/OpenMP),gpu.pairwise_distances_gpu (tiled -> host),0.20068 ± 0.01778,0.57496 ± 0.06670,0.35x,max abs Δ = 0.0e+00,estimate (10 seeds)
Pairwise distances,"N=16,000, d=10, float32, fast (native acc)",pcvat.pairwise_distances_c (C/OpenMP),gpu.pairwise_distances_gpu (tiled -> host),0.18815 ± 0.00729,0.51811 ± 0.03446,0.36x,max abs Δ = 3.8e-06,estimate (10 seeds)
Pairwise distances,"N=16,000, d=50, float32, high_precision",pcvat.pairwise_distances_c (C/OpenMP),gpu.pairwise_distances_gpu (tiled -> host),0.44904 ± 0.01126,0.87155 ± 0.04975,0.52x,max abs Δ = 0.0e+00,estimate (10 seeds)
Pairwise distances,"N=16,000, d=50, float32, fast (native acc)",pcvat.pairwise_distances_c (C/OpenMP),gpu.pairwise_distances_gpu (tiled -> host),0.44254 ± 0.01315,0.60428 ± 0.01880,0.73x,max abs Δ = 1.1e-05,estimate (10 seeds)
Pairwise distances,"N=16,000, d=200, float32, high_precision",pcvat.pairwise_distances_c (C/OpenMP),gpu.pairwise_distances_gpu (tiled -> host),1.56672 ± 0.01521,1.46951 ± 0.05692,1.07x,max abs Δ = 0.0e+00,estimate (10 seeds)
Pairwise distances,"N=16,000, d=200, float32, fast (native acc)",pcvat.pairwise_distances_c (C/OpenMP),gpu.pairwise_distances_gpu (tiled -> host),1.67418 ± 0.09497,0.81428 ± 0.04702,2.06x,max abs Δ = 3.8e-05,estimate (10 seeds)
Pairwise distances,"N=16,000, d=784, float32, high_precision",pcvat.pairwise_distances_c (C/OpenMP),gpu.pairwise_distances_gpu (tiled -> host),6.13424 ± 0.09377,3.97281 ± 0.04771,1.54x,max abs Δ = 0.0e+00,estimate (10 seeds)
Pairwise distances,"N=16,000, d=784, float32, fast (native acc)",pcvat.pairwise_distances_c (C/OpenMP),gpu.pairwise_distances_gpu (tiled -> host),6.72842 ± 0.21514,1.60878 ± 0.04493,4.18x,max abs Δ = 1.4e-04,estimate (10 seeds)
VAT front end,"N=48,000, float32, 9.22 GB resident",pairwise_distances_c + vat_prim_mst_c,gpu_vat.vat_gpu,4.06610,1.16485,3.49x,order 0.99992; Prim total CPU 42023.180315 vs GPU 42023.180315 (rel 0.00e+00),demonstration (1 shot)
