N,classical O(N³) (s),stage 1 O(N²logN) (s),stage 2 O(N²) (s),cls/s2,s1/s2,orders identical
100,0.0001 ± 0.0000 s,0.0002 ± 0.0000 s,0.0000 ± 0.0000 s,10.2×,14.7×,yes
200,0.0008 ± 0.0001 s,0.0005 ± 0.0000 s,0.0000 ± 0.0000 s,23.7×,14.3×,yes
300,0.0032 ± 0.0003 s,0.0011 ± 0.0000 s,0.0001 ± 0.0000 s,39.4×,13.2×,yes
500,0.0146 ± 0.0009 s,0.0028 ± 0.0002 s,0.0002 ± 0.0000 s,65.7×,12.4×,yes
750,0.0727 ± 0.0013 s,0.0078 ± 0.0003 s,0.0005 ± 0.0000 s,153.5×,16.5×,yes
"1,000",0.1512 ± 0.0052 s,0.0126 ± 0.0010 s,0.0007 ± 0.0000 s,205.3×,17.1×,yes
"1,250",not run (> cap),0.0199 ± 0.0010 s,0.0011 ± 0.0000 s,N/A,17.4×,yes
"1,500",not run (> cap),0.0266 ± 0.0010 s,0.0016 ± 0.0001 s,N/A,16.8×,yes
"2,000",not run (> cap),0.0420 ± 0.0044 s,0.0031 ± 0.0003 s,N/A,13.5×,yes
"2,500",not run (> cap),0.0544 ± 0.0021 s,0.0060 ± 0.0010 s,N/A,9.1×,yes
"3,000",not run (> cap),0.0750 ± 0.0029 s,0.0088 ± 0.0015 s,N/A,8.5×,yes
