Model,Preprocessing,Refinement,R²,RMSE
flat MoG-TSK 0th,log+standardized,closed-form only,-0.334 ± 0.201,18.83 ± 1.21
flat MoG-TSK 1st,log+standardized,closed-form only,0.772 ± 0.034,7.80 ± 0.73
flat MoG-TSK 2nd,log+standardized,closed-form only,0.824 ± 0.043,6.84 ± 0.94
flat MoG-TSK 0th,log+standardized,refined,0.580 ± 0.083,10.55 ± 1.02
flat MoG-TSK 1st,log+standardized,refined,0.844 ± 0.059,6.31 ± 1.00
flat MoG-TSK 2nd,log+standardized,refined,0.861 ± 0.044,6.01 ± 0.79
fuzzy tree,raw,n/a,0.580 ± 0.067,10.57 ± 0.86
mixture of experts (HME),raw,n/a,0.682 ± 0.064,9.17 ± 0.79
CART (reference),raw,n/a,0.825 ± 0.047,6.74 ± 0.74
Random Forest (reference),raw,n/a,0.909 ± 0.018,4.90 ± 0.31
fuzzy tree,log+standardized,n/a,0.688 ± 0.056,9.09 ± 0.58
mixture of experts (HME),log+standardized,n/a,0.781 ± 0.068,7.54 ± 0.98
CART (reference),log+standardized,n/a,0.826 ± 0.047,6.73 ± 0.74
Random Forest (reference),log+standardized,n/a,0.909 ± 0.019,4.90 ± 0.31
