init,arm,started from,CV MSE,test R²,Δ R² vs heuristic (paired),R² wins,evals to reach heuristic,beat own start,evals
hot,none,—,0.00639 ± 0.00049,0.841 ± 0.034,+0.000,0/10,0,0/10,0
hot,scipy-lbfgsb,x0 argument,0.00445 ± 0.00138,0.854 ± 0.044,+0.013 ± +0.029,9/10,0,10/10,2000
hot,scipy-powell,x0 argument,0.00473 ± 0.00030,0.861 ± 0.028,+0.020 ± +0.041,7/10,0,10/10,2000
hot,scipy-de,x0 argument,0.00525 ± 0.00011,0.863 ± 0.022,+0.022 ± +0.036,8/10,0,10/10,2000
hot,opt-ga,deck row 0 + trust region,0.00448 ± 0.00019,0.875 ± 0.021,+0.034 ± +0.023,10/10,0,10/10,2000
hot,opt-pso,deck row 0 + trust region,0.00529 ± 0.00010,0.867 ± 0.020,+0.026 ± +0.022,9/10,0,10/10,2000
hot,opt-aco,deck row 0 + trust region,0.00488 ± 0.00013,0.872 ± 0.015,+0.030 ± +0.032,10/10,0,10/10,2000
hot,opt-gd,initial_value + trust region,0.00448 ± 0.00136,0.854 ± 0.044,+0.013 ± +0.029,9/10,0,10/10,2000
cold,none,random point in the box,0.00619 ± 0.00035,0.851 ± 0.023,+0.010 ± +0.032,6/10,5/10 seeds,0/10,0
cold,scipy-lbfgsb,random point in the box,0.00515 ± 0.00037,0.869 ± 0.020,+0.028 ± +0.038,8/10,272 ± 303,10/10,2000
cold,scipy-powell,random point in the box,0.00491 ± 0.00025,0.866 ± 0.027,+0.025 ± +0.040,8/10,239 ± 371,10/10,2000
cold,scipy-de,random point in the box,0.00525 ± 0.00011,0.863 ± 0.022,+0.022 ± +0.036,8/10,2 ± 2,10/10,2000
cold,opt-ga,random point in the box,0.00455 ± 0.00014,0.869 ± 0.025,+0.028 ± +0.032,9/10,3 ± 8,10/10,2000
cold,opt-pso,random point in the box,0.00532 ± 0.00011,0.871 ± 0.019,+0.030 ± +0.031,9/10,3 ± 8,10/10,2000
cold,opt-aco,random point in the box,0.00488 ± 0.00011,0.872 ± 0.015,+0.031 ± +0.031,10/10,3 ± 8,10/10,2000
cold,opt-gd,random point in the box,0.00512 ± 0.00038,0.867 ± 0.024,+0.026 ± +0.038,8/10,272 ± 303,10/10,2000
