arm,init,seed,budget,cv_mse,r2,r2_0,heuristic_r2,seconds
none,hot,0,125,0.006256,0.858037,0.858037,0.858037,0.02
none,hot,0,250,0.006256,0.858037,0.858037,0.858037,0.02
none,hot,0,500,0.006256,0.858037,0.858037,0.858037,0.02
none,hot,0,1000,0.006256,0.858037,0.858037,0.858037,0.02
none,hot,0,2000,0.006256,0.858037,0.858037,0.858037,0.02
none,hot,1,125,0.005528,0.832372,0.832372,0.832372,0.02
none,hot,1,250,0.005528,0.832372,0.832372,0.832372,0.02
none,hot,1,500,0.005528,0.832372,0.832372,0.832372,0.02
none,hot,1,1000,0.005528,0.832372,0.832372,0.832372,0.02
none,hot,1,2000,0.005528,0.832372,0.832372,0.832372,0.02
none,hot,2,125,0.006182,0.808888,0.808888,0.808888,0.01
none,hot,2,250,0.006182,0.808888,0.808888,0.808888,0.01
none,hot,2,500,0.006182,0.808888,0.808888,0.808888,0.01
none,hot,2,1000,0.006182,0.808888,0.808888,0.808888,0.01
none,hot,2,2000,0.006182,0.808888,0.808888,0.808888,0.01
none,hot,3,125,0.005990,0.858451,0.858451,0.858451,0.02
none,hot,3,250,0.005990,0.858451,0.858451,0.858451,0.02
none,hot,3,500,0.005990,0.858451,0.858451,0.858451,0.02
none,hot,3,1000,0.005990,0.858451,0.858451,0.858451,0.02
none,hot,3,2000,0.005990,0.858451,0.858451,0.858451,0.02
none,hot,4,125,0.007497,0.755459,0.755459,0.755459,0.01
none,hot,4,250,0.007497,0.755459,0.755459,0.755459,0.01
none,hot,4,500,0.007497,0.755459,0.755459,0.755459,0.01
none,hot,4,1000,0.007497,0.755459,0.755459,0.755459,0.01
none,hot,4,2000,0.007497,0.755459,0.755459,0.755459,0.01
none,hot,5,125,0.006414,0.842144,0.842144,0.842144,0.02
none,hot,5,250,0.006414,0.842144,0.842144,0.842144,0.02
none,hot,5,500,0.006414,0.842144,0.842144,0.842144,0.02
none,hot,5,1000,0.006414,0.842144,0.842144,0.842144,0.02
none,hot,5,2000,0.006414,0.842144,0.842144,0.842144,0.02
none,hot,6,125,0.006464,0.862466,0.862466,0.862466,0.02
none,hot,6,250,0.006464,0.862466,0.862466,0.862466,0.02
none,hot,6,500,0.006464,0.862466,0.862466,0.862466,0.02
none,hot,6,1000,0.006464,0.862466,0.862466,0.862466,0.02
none,hot,6,2000,0.006464,0.862466,0.862466,0.862466,0.02
none,hot,7,125,0.006181,0.870453,0.870453,0.870453,0.01
none,hot,7,250,0.006181,0.870453,0.870453,0.870453,0.01
none,hot,7,500,0.006181,0.870453,0.870453,0.870453,0.01
none,hot,7,1000,0.006181,0.870453,0.870453,0.870453,0.01
none,hot,7,2000,0.006181,0.870453,0.870453,0.870453,0.01
none,hot,8,125,0.006707,0.872438,0.872438,0.872438,0.02
none,hot,8,250,0.006707,0.872438,0.872438,0.872438,0.02
none,hot,8,500,0.006707,0.872438,0.872438,0.872438,0.02
none,hot,8,1000,0.006707,0.872438,0.872438,0.872438,0.02
none,hot,8,2000,0.006707,0.872438,0.872438,0.872438,0.02
none,hot,9,125,0.006677,0.849755,0.849755,0.849755,0.02
none,hot,9,250,0.006677,0.849755,0.849755,0.849755,0.02
none,hot,9,500,0.006677,0.849755,0.849755,0.849755,0.02
none,hot,9,1000,0.006677,0.849755,0.849755,0.849755,0.02
none,hot,9,2000,0.006677,0.849755,0.849755,0.849755,0.02
scipy-lbfgsb,hot,0,125,0.006255,0.858042,0.858037,0.858037,1.90
scipy-lbfgsb,hot,0,250,0.005904,0.861969,0.858037,0.858037,3.73
scipy-lbfgsb,hot,0,500,0.005829,0.863243,0.858037,0.858037,7.29
scipy-lbfgsb,hot,0,1000,0.005423,0.869396,0.858037,0.858037,14.67
scipy-lbfgsb,hot,0,2000,0.005416,0.869481,0.858037,0.858037,29.25
scipy-lbfgsb,hot,1,125,0.005527,0.832378,0.832372,0.832372,1.78
scipy-lbfgsb,hot,1,250,0.005003,0.838833,0.832372,0.832372,3.51
scipy-lbfgsb,hot,1,500,0.004292,0.822189,0.832372,0.832372,6.92
scipy-lbfgsb,hot,1,1000,0.004057,0.806576,0.832372,0.832372,14.18
scipy-lbfgsb,hot,1,2000,0.003850,0.839310,0.832372,0.832372,28.47
scipy-lbfgsb,hot,2,125,0.006181,0.808909,0.808888,0.808888,1.80
scipy-lbfgsb,hot,2,250,0.005570,0.823095,0.808888,0.808888,3.57
scipy-lbfgsb,hot,2,500,0.004709,0.853864,0.808888,0.808888,7.18
scipy-lbfgsb,hot,2,1000,0.004131,0.864683,0.808888,0.808888,14.35
scipy-lbfgsb,hot,2,2000,0.003729,0.863238,0.808888,0.808888,29.38
scipy-lbfgsb,hot,3,125,0.005987,0.858418,0.858451,0.858451,1.77
scipy-lbfgsb,hot,3,250,0.005188,0.863505,0.858451,0.858451,3.52
scipy-lbfgsb,hot,3,500,0.004464,0.870555,0.858451,0.858451,7.06
scipy-lbfgsb,hot,3,1000,0.003947,0.874558,0.858451,0.858451,14.29
scipy-lbfgsb,hot,3,2000,0.003267,0.877723,0.858451,0.858451,29.23
scipy-lbfgsb,hot,4,125,0.007497,0.755479,0.755459,0.755459,1.88
scipy-lbfgsb,hot,4,250,0.007497,0.755443,0.755459,0.755459,3.76
scipy-lbfgsb,hot,4,500,0.007486,0.755655,0.755459,0.755459,8.01
scipy-lbfgsb,hot,4,1000,0.007481,0.755753,0.755459,0.755459,15.39
scipy-lbfgsb,hot,4,2000,0.007470,0.755994,0.755459,0.755459,31.48
scipy-lbfgsb,hot,5,125,0.006413,0.842137,0.842144,0.842144,1.88
scipy-lbfgsb,hot,5,250,0.005758,0.839967,0.842144,0.842144,3.74
scipy-lbfgsb,hot,5,500,0.004878,0.849562,0.842144,0.842144,7.56
scipy-lbfgsb,hot,5,1000,0.003957,0.869805,0.842144,0.842144,15.59
scipy-lbfgsb,hot,5,2000,0.003850,0.873445,0.842144,0.842144,30.85
scipy-lbfgsb,hot,6,125,0.006463,0.862489,0.862466,0.862466,1.78
scipy-lbfgsb,hot,6,250,0.005936,0.874497,0.862466,0.862466,3.58
scipy-lbfgsb,hot,6,500,0.004969,0.900352,0.862466,0.862466,7.33
scipy-lbfgsb,hot,6,1000,0.004270,0.904017,0.862466,0.862466,15.00
scipy-lbfgsb,hot,6,2000,0.003569,0.912214,0.862466,0.862466,29.75
scipy-lbfgsb,hot,7,125,0.006180,0.870467,0.870453,0.870453,1.87
scipy-lbfgsb,hot,7,250,0.005445,0.869539,0.870453,0.870453,3.76
scipy-lbfgsb,hot,7,500,0.004388,0.827927,0.870453,0.870453,7.24
scipy-lbfgsb,hot,7,1000,0.003764,0.878570,0.870453,0.870453,14.57
scipy-lbfgsb,hot,7,2000,0.003392,0.881158,0.870453,0.870453,29.05
scipy-lbfgsb,hot,8,125,0.006706,0.872437,0.872438,0.872438,1.87
scipy-lbfgsb,hot,8,250,0.006024,0.872470,0.872438,0.872438,3.76
scipy-lbfgsb,hot,8,500,0.004858,0.873046,0.872438,0.872438,7.39
scipy-lbfgsb,hot,8,1000,0.003997,0.878432,0.872438,0.872438,14.85
scipy-lbfgsb,hot,8,2000,0.003609,0.879762,0.872438,0.872438,30.75
scipy-lbfgsb,hot,9,125,0.006677,0.849774,0.849755,0.849755,1.87
scipy-lbfgsb,hot,9,250,0.006677,0.849774,0.849755,0.849755,3.99
scipy-lbfgsb,hot,9,500,0.006489,0.855810,0.849755,0.849755,8.06
scipy-lbfgsb,hot,9,1000,0.006394,0.791576,0.849755,0.849755,15.43
scipy-lbfgsb,hot,9,2000,0.006368,0.792401,0.849755,0.849755,30.72
scipy-powell,hot,0,125,0.005741,0.851003,0.858037,0.858037,1.79
scipy-powell,hot,0,250,0.005617,0.853770,0.858037,0.858037,3.62
scipy-powell,hot,0,500,0.005427,0.852633,0.858037,0.858037,7.27
scipy-powell,hot,0,1000,0.004855,0.878031,0.858037,0.858037,15.35
scipy-powell,hot,0,2000,0.004602,0.870269,0.858037,0.858037,32.22
scipy-powell,hot,1,125,0.005418,0.830297,0.832372,0.832372,2.14
scipy-powell,hot,1,250,0.005024,0.845808,0.832372,0.832372,4.19
scipy-powell,hot,1,500,0.004749,0.849822,0.832372,0.832372,8.35
scipy-powell,hot,1,1000,0.004544,0.850058,0.832372,0.832372,16.45
scipy-powell,hot,1,2000,0.004328,0.828092,0.832372,0.832372,33.31
scipy-powell,hot,2,125,0.005843,0.832877,0.808888,0.808888,2.03
scipy-powell,hot,2,250,0.005843,0.832877,0.808888,0.808888,4.02
scipy-powell,hot,2,500,0.005831,0.823785,0.808888,0.808888,8.15
scipy-powell,hot,2,1000,0.004831,0.873961,0.808888,0.808888,16.22
scipy-powell,hot,2,2000,0.004732,0.874025,0.808888,0.808888,32.51
scipy-powell,hot,3,125,0.005556,0.853019,0.858451,0.858451,2.03
scipy-powell,hot,3,250,0.005421,0.855774,0.858451,0.858451,4.02
scipy-powell,hot,3,500,0.005421,0.855774,0.858451,0.858451,8.15
scipy-powell,hot,3,1000,0.005306,0.870496,0.858451,0.858451,16.37
scipy-powell,hot,3,2000,0.004995,0.869584,0.858451,0.858451,32.08
scipy-powell,hot,4,125,0.007497,0.755459,0.755459,0.755459,1.93
scipy-powell,hot,4,250,0.007394,0.746753,0.755459,0.755459,3.86
scipy-powell,hot,4,500,0.006974,0.782767,0.755459,0.755459,7.81
scipy-powell,hot,4,1000,0.005425,0.871852,0.755459,0.755459,16.10
scipy-powell,hot,4,2000,0.004904,0.863630,0.755459,0.755459,32.72
scipy-powell,hot,5,125,0.005626,0.843421,0.842144,0.842144,2.14
scipy-powell,hot,5,250,0.005542,0.848845,0.842144,0.842144,4.21
scipy-powell,hot,5,500,0.005542,0.848845,0.842144,0.842144,8.46
scipy-powell,hot,5,1000,0.004919,0.850243,0.842144,0.842144,16.43
scipy-powell,hot,5,2000,0.004732,0.796831,0.842144,0.842144,31.94
scipy-powell,hot,6,125,0.006122,0.837438,0.862466,0.862466,2.07
scipy-powell,hot,6,250,0.006102,0.872854,0.862466,0.862466,4.05
scipy-powell,hot,6,500,0.005789,0.890500,0.862466,0.862466,7.95
scipy-powell,hot,6,1000,0.005276,0.894794,0.862466,0.862466,15.84
scipy-powell,hot,6,2000,0.005032,0.896983,0.862466,0.862466,32.13
scipy-powell,hot,7,125,0.005848,0.870763,0.870453,0.870453,2.02
scipy-powell,hot,7,250,0.005833,0.872025,0.870453,0.870453,4.01
scipy-powell,hot,7,500,0.005291,0.862280,0.870453,0.870453,8.22
scipy-powell,hot,7,1000,0.005019,0.856807,0.870453,0.870453,15.97
scipy-powell,hot,7,2000,0.004331,0.851193,0.870453,0.870453,31.42
scipy-powell,hot,8,125,0.005996,0.846365,0.872438,0.872438,1.95
scipy-powell,hot,8,250,0.005738,0.852314,0.872438,0.872438,3.87
scipy-powell,hot,8,500,0.005629,0.849085,0.872438,0.872438,8.07
scipy-powell,hot,8,1000,0.005164,0.870040,0.872438,0.872438,16.04
scipy-powell,hot,8,2000,0.004414,0.894252,0.872438,0.872438,33.37
scipy-powell,hot,9,125,0.006259,0.862885,0.849755,0.849755,2.27
scipy-powell,hot,9,250,0.005742,0.861308,0.849755,0.849755,4.49
scipy-powell,hot,9,500,0.005712,0.865635,0.849755,0.849755,8.42
scipy-powell,hot,9,1000,0.005270,0.867965,0.849755,0.849755,16.41
scipy-powell,hot,9,2000,0.005270,0.867965,0.849755,0.849755,31.99
scipy-de,hot,0,125,0.005670,0.853767,0.858037,0.858037,2.08
scipy-de,hot,0,250,0.005477,0.886151,0.858037,0.858037,4.06
scipy-de,hot,0,500,0.005477,0.886151,0.858037,0.858037,7.93
scipy-de,hot,0,1000,0.005230,0.877035,0.858037,0.858037,15.52
scipy-de,hot,0,2000,0.005230,0.877035,0.858037,0.858037,30.60
scipy-de,hot,1,125,0.005215,0.846285,0.832372,0.832372,1.93
scipy-de,hot,1,250,0.005161,0.851759,0.832372,0.832372,3.80
scipy-de,hot,1,500,0.005123,0.816258,0.832372,0.832372,7.89
scipy-de,hot,1,1000,0.005048,0.822236,0.832372,0.832372,15.45
scipy-de,hot,1,2000,0.005048,0.822236,0.832372,0.832372,31.20
scipy-de,hot,2,125,0.005626,0.864219,0.808888,0.808888,2.12
scipy-de,hot,2,250,0.005466,0.875261,0.808888,0.808888,4.07
scipy-de,hot,2,500,0.005385,0.841586,0.808888,0.808888,8.01
scipy-de,hot,2,1000,0.005385,0.841586,0.808888,0.808888,16.09
scipy-de,hot,2,2000,0.005282,0.836899,0.808888,0.808888,31.64
scipy-de,hot,3,125,0.005457,0.876438,0.858451,0.858451,2.04
scipy-de,hot,3,250,0.005442,0.877341,0.858451,0.858451,4.00
scipy-de,hot,3,500,0.005391,0.872665,0.858451,0.858451,8.36
scipy-de,hot,3,1000,0.005099,0.880631,0.858451,0.858451,16.75
scipy-de,hot,3,2000,0.005099,0.880631,0.858451,0.858451,32.30
scipy-de,hot,4,125,0.005243,0.872724,0.755459,0.755459,1.96
scipy-de,hot,4,250,0.005243,0.872724,0.755459,0.755459,3.94
scipy-de,hot,4,500,0.005243,0.872724,0.755459,0.755459,7.97
scipy-de,hot,4,1000,0.005243,0.872724,0.755459,0.755459,15.98
scipy-de,hot,4,2000,0.005243,0.872724,0.755459,0.755459,32.28
scipy-de,hot,5,125,0.005332,0.794828,0.842144,0.842144,2.05
scipy-de,hot,5,250,0.005332,0.794828,0.842144,0.842144,4.13
scipy-de,hot,5,500,0.005332,0.794828,0.842144,0.842144,8.11
scipy-de,hot,5,1000,0.005332,0.794828,0.842144,0.842144,16.12
scipy-de,hot,5,2000,0.005319,0.850750,0.842144,0.842144,33.13
scipy-de,hot,6,125,0.005652,0.881992,0.862466,0.862466,1.98
scipy-de,hot,6,250,0.005603,0.877053,0.862466,0.862466,4.04
scipy-de,hot,6,500,0.005428,0.874045,0.862466,0.862466,8.15
scipy-de,hot,6,1000,0.005365,0.880862,0.862466,0.862466,16.31
scipy-de,hot,6,2000,0.005365,0.880862,0.862466,0.862466,32.83
scipy-de,hot,7,125,0.005396,0.876602,0.870453,0.870453,2.11
