arm,init,seed,cv_mse_0,cv_mse,improvement,beat_start,r2_0,r2,heuristic_r2,heuristic_cv,evals_to_heuristic,rmse_0,rmse,evals,seconds,error
none,hot,0,0.006256,0.006256,0.000000,0,0.858037,0.858037,0.858037,0.006256,0,6.1148,6.1148,0,0.08,
none,hot,1,0.005528,0.005528,0.000000,0,0.832372,0.832372,0.832372,0.005528,0,6.6106,6.6106,0,0.07,
none,hot,2,0.006182,0.006182,0.000000,0,0.808888,0.808888,0.808888,0.006182,0,6.8569,6.8569,0,0.07,
none,hot,3,0.005990,0.005990,0.000000,0,0.858451,0.858451,0.858451,0.005990,0,6.4371,6.4371,0,0.08,
none,hot,4,0.007497,0.007497,0.000000,0,0.755459,0.755459,0.755459,0.007497,0,8.6018,8.6018,0,0.07,
none,hot,5,0.006414,0.006414,0.000000,0,0.842144,0.842144,0.842144,0.006414,0,6.0847,6.0847,0,0.07,
none,hot,6,0.006464,0.006464,0.000000,0,0.862466,0.862466,0.862466,0.006464,0,6.6680,6.6680,0,0.07,
none,hot,7,0.006181,0.006181,0.000000,0,0.870453,0.870453,0.870453,0.006181,0,5.8603,5.8603,0,0.07,
none,hot,8,0.006707,0.006707,0.000000,0,0.872438,0.872438,0.872438,0.006707,0,5.7641,5.7641,0,0.07,
none,hot,9,0.006677,0.006677,0.000000,0,0.849755,0.849755,0.849755,0.006677,0,6.0216,6.0216,0,0.08,
scipy-lbfgsb,hot,0,0.006256,0.005416,0.134304,1,0.858037,0.869481,0.858037,0.006256,0,6.1148,5.8632,2000,29.31,
scipy-lbfgsb,hot,1,0.005528,0.003850,0.303683,1,0.832372,0.839310,0.832372,0.005528,0,6.6106,6.4723,2000,28.52,
scipy-lbfgsb,hot,2,0.006182,0.003729,0.396863,1,0.808888,0.863238,0.808888,0.006182,0,6.8569,5.8005,2000,29.44,
scipy-lbfgsb,hot,3,0.005990,0.003267,0.454516,1,0.858451,0.877723,0.858451,0.005990,0,6.4371,5.9828,2000,29.29,
scipy-lbfgsb,hot,4,0.007497,0.007470,0.003701,1,0.755459,0.755994,0.755459,0.007497,0,8.6018,8.5924,2000,31.53,
scipy-lbfgsb,hot,5,0.006414,0.003850,0.399767,1,0.842144,0.873445,0.842144,0.006414,0,6.0847,5.4481,2000,30.91,
scipy-lbfgsb,hot,6,0.006464,0.003569,0.447952,1,0.862466,0.912214,0.862466,0.006464,0,6.6680,5.3272,2000,29.81,
scipy-lbfgsb,hot,7,0.006181,0.003392,0.451226,1,0.870453,0.881158,0.870453,0.006181,0,5.8603,5.6130,2000,29.10,
scipy-lbfgsb,hot,8,0.006707,0.003609,0.461871,1,0.872438,0.879762,0.872438,0.006707,0,5.7641,5.5962,2000,30.81,
scipy-lbfgsb,hot,9,0.006677,0.006368,0.046267,1,0.849755,0.792401,0.849755,0.006677,0,6.0216,7.0782,2000,30.77,
scipy-powell,hot,0,0.006256,0.004602,0.264336,1,0.858037,0.870269,0.858037,0.006256,0,6.1148,5.8454,2000,32.29,
scipy-powell,hot,1,0.005528,0.004328,0.217084,1,0.832372,0.828092,0.832372,0.005528,0,6.6106,6.6945,2000,33.37,
scipy-powell,hot,2,0.006182,0.004732,0.234603,1,0.808888,0.874025,0.808888,0.006182,0,6.8569,5.5671,2000,32.58,
scipy-powell,hot,3,0.005990,0.004995,0.166009,1,0.858451,0.869584,0.858451,0.005990,0,6.4371,6.1788,2000,32.14,
scipy-powell,hot,4,0.007497,0.004904,0.345845,1,0.755459,0.863630,0.755459,0.007497,0,8.6018,6.4235,2000,32.78,
scipy-powell,hot,5,0.006414,0.004732,0.262204,1,0.842144,0.796831,0.842144,0.006414,0,6.0847,6.9030,2000,32.00,
scipy-powell,hot,6,0.006464,0.005032,0.221494,1,0.862466,0.896983,0.862466,0.006464,0,6.6680,5.7709,2000,32.19,
