init,arm,started from,CV MSE,test R²,Δ R² vs heuristic (paired),R² wins,evals to reach heuristic,beat own start,evals,start-up cost (ms)
hot,none,Gaussian construction,0.00601 ± 0.00019,0.846 ± 0.025,+0.000,0/10,0,0/10,0,286 ± 120
hot,scipy-lbfgsb,Gaussian construction,0.00373 ± 0.00053,0.868 ± 0.043,+0.022 ± +0.037,9/10,0,10/10,2000,286 ± 120
hot,scipy-powell,Gaussian construction,0.00468 ± 0.00031,0.872 ± 0.024,+0.025 ± +0.021,9/10,0,10/10,2000,286 ± 120
hot,scipy-de,Gaussian construction,0.00524 ± 0.00012,0.871 ± 0.023,+0.025 ± +0.025,9/10,0,10/10,2000,286 ± 120
hot,opt-ga,Gaussian construction,0.00454 ± 0.00015,0.867 ± 0.023,+0.020 ± +0.023,8/10,0,10/10,2000,286 ± 120
hot,opt-pso,Gaussian construction,0.00532 ± 0.00016,0.862 ± 0.022,+0.016 ± +0.024,9/10,0,10/10,2000,286 ± 120
hot,opt-aco,Gaussian construction,0.00485 ± 0.00012,0.862 ± 0.027,+0.016 ± +0.022,8/10,0,10/10,2000,286 ± 120
hot,opt-gd,Gaussian construction,0.00372 ± 0.00052,0.867 ± 0.047,+0.021 ± +0.041,9/10,0,10/10,2000,286 ± 120
cold,none,random point in the box,0.00598 ± 0.00029,0.853 ± 0.020,+0.007 ± +0.018,5/10,6/10 seeds,0/10,0,256 ± 22
cold,scipy-lbfgsb,random point in the box,0.00505 ± 0.00031,0.868 ± 0.017,+0.021 ± +0.025,8/10,398 ± 594,10/10,2000,256 ± 22
cold,scipy-powell,random point in the box,0.00488 ± 0.00020,0.869 ± 0.026,+0.022 ± +0.020,9/10,188 ± 440,10/10,2000,256 ± 22
cold,scipy-de,random point in the box,0.00524 ± 0.00012,0.871 ± 0.023,+0.025 ± +0.025,9/10,3 ± 4,10/10,2000,256 ± 22
cold,opt-ga,random point in the box,0.00455 ± 0.00017,0.873 ± 0.023,+0.026 ± +0.018,9/10,10 ± 18,10/10,2000,256 ± 22
cold,opt-pso,random point in the box,0.00534 ± 0.00010,0.856 ± 0.029,+0.009 ± +0.030,8/10,10 ± 18,10/10,2000,256 ± 22
cold,opt-aco,random point in the box,0.00481 ± 0.00015,0.861 ± 0.025,+0.015 ± +0.024,8/10,10 ± 18,10/10,2000,256 ± 22
cold,opt-gd,random point in the box,0.00504 ± 0.00032,0.868 ± 0.017,+0.022 ± +0.026,8/10,398 ± 594,10/10,2000,256 ± 22
