arm,init,seed,budget,cv_mse,r2,r2_0,heuristic_r2,seconds
none,hot,0,125,0.006113,0.835445,0.835445,0.835445,0.02
none,hot,0,250,0.006113,0.835445,0.835445,0.835445,0.02
none,hot,0,500,0.006113,0.835445,0.835445,0.835445,0.02
none,hot,0,1000,0.006113,0.835445,0.835445,0.835445,0.02
none,hot,0,2000,0.006113,0.835445,0.835445,0.835445,0.02
none,hot,1,125,0.005830,0.830070,0.830070,0.830070,0.01
none,hot,1,250,0.005830,0.830070,0.830070,0.830070,0.01
none,hot,1,500,0.005830,0.830070,0.830070,0.830070,0.01
none,hot,1,1000,0.005830,0.830070,0.830070,0.830070,0.01
none,hot,1,2000,0.005830,0.830070,0.830070,0.830070,0.01
none,hot,2,125,0.005970,0.798067,0.798067,0.798067,0.01
none,hot,2,250,0.005970,0.798067,0.798067,0.798067,0.01
none,hot,2,500,0.005970,0.798067,0.798067,0.798067,0.01
none,hot,2,1000,0.005970,0.798067,0.798067,0.798067,0.01
none,hot,2,2000,0.005970,0.798067,0.798067,0.798067,0.01
none,hot,3,125,0.006025,0.874722,0.874722,0.874722,0.01
none,hot,3,250,0.006025,0.874722,0.874722,0.874722,0.01
none,hot,3,500,0.006025,0.874722,0.874722,0.874722,0.01
none,hot,3,1000,0.006025,0.874722,0.874722,0.874722,0.01
none,hot,3,2000,0.006025,0.874722,0.874722,0.874722,0.01
none,hot,4,125,0.006128,0.824534,0.824534,0.824534,0.01
none,hot,4,250,0.006128,0.824534,0.824534,0.824534,0.01
none,hot,4,500,0.006128,0.824534,0.824534,0.824534,0.01
none,hot,4,1000,0.006128,0.824534,0.824534,0.824534,0.01
none,hot,4,2000,0.006128,0.824534,0.824534,0.824534,0.01
none,hot,5,125,0.006111,0.853000,0.853000,0.853000,0.01
none,hot,5,250,0.006111,0.853000,0.853000,0.853000,0.01
none,hot,5,500,0.006111,0.853000,0.853000,0.853000,0.01
none,hot,5,1000,0.006111,0.853000,0.853000,0.853000,0.01
none,hot,5,2000,0.006111,0.853000,0.853000,0.853000,0.01
none,hot,6,125,0.005818,0.874481,0.874481,0.874481,0.01
none,hot,6,250,0.005818,0.874481,0.874481,0.874481,0.01
none,hot,6,500,0.005818,0.874481,0.874481,0.874481,0.01
none,hot,6,1000,0.005818,0.874481,0.874481,0.874481,0.01
none,hot,6,2000,0.005818,0.874481,0.874481,0.874481,0.01
none,hot,7,125,0.006026,0.830188,0.830188,0.830188,0.01
none,hot,7,250,0.006026,0.830188,0.830188,0.830188,0.01
none,hot,7,500,0.006026,0.830188,0.830188,0.830188,0.01
none,hot,7,1000,0.006026,0.830188,0.830188,0.830188,0.01
none,hot,7,2000,0.006026,0.830188,0.830188,0.830188,0.01
none,hot,8,125,0.006408,0.867871,0.867871,0.867871,0.01
none,hot,8,250,0.006408,0.867871,0.867871,0.867871,0.01
