arm,init,seed,cv_mse_0,cv_mse,improvement,beat_start,r2_0,r2,heuristic_r2,heuristic_cv,evals_to_heuristic,rmse_0,rmse,evals,seconds,init_seconds,construction_seconds,error
none,hot,0,0.006113,0.006113,0.000000,0,0.835445,0.835445,0.835445,0.006113,0,6.5834,6.5834,0,0.07,0.0000,0.1618,
none,hot,1,0.005830,0.005830,0.000000,0,0.830070,0.830070,0.830070,0.005830,0,6.6558,6.6558,0,0.06,0.0000,0.2396,
none,hot,2,0.005970,0.005970,0.000000,0,0.798067,0.798067,0.798067,0.005970,0,7.0483,7.0483,0,0.07,0.0000,0.2805,
none,hot,3,0.006025,0.006025,0.000000,0,0.874722,0.874722,0.874722,0.006025,0,6.0558,6.0558,0,0.07,0.0000,0.2438,
none,hot,4,0.006128,0.006128,0.000000,0,0.824534,0.824534,0.824534,0.006128,0,7.2863,7.2863,0,0.06,0.0000,0.2534,
none,hot,5,0.006111,0.006111,0.000000,0,0.853000,0.853000,0.853000,0.006111,0,5.8717,5.8717,0,0.06,0.0000,0.2647,
none,hot,6,0.005818,0.005818,0.000000,0,0.874481,0.874481,0.874481,0.005818,0,6.3701,6.3701,0,0.07,0.0000,0.2589,
none,hot,7,0.006026,0.006026,0.000000,0,0.830188,0.830188,0.830188,0.006026,0,6.7095,6.7095,0,0.07,0.0000,0.6336,
none,hot,8,0.006408,0.006408,0.000000,0,0.867871,0.867871,0.867871,0.006408,0,5.8663,5.8663,0,0.07,0.0000,0.2432,
none,hot,9,0.005719,0.005719,0.000000,0,0.875211,0.875211,0.875211,0.005719,0,5.4878,5.4878,0,0.07,0.0000,0.2826,
scipy-lbfgsb,hot,0,0.006113,0.003464,0.433433,1,0.835445,0.762116,0.835445,0.006113,0,6.5834,7.9155,2000,26.63,0.0000,0.1618,
scipy-lbfgsb,hot,1,0.005830,0.004481,0.231474,1,0.830070,0.838712,0.830070,0.005830,0,6.6558,6.4844,2000,25.67,0.0000,0.2396,
