route,rules,membership fns,free params,test R²,CV MSE,identify (ms)
construction,2,50 ± 1,99 ± 2,0.730 ± 0.121,0.00793 ± 0.00174,340.1 ± 23.2
construction,3,71 ± 1,142 ± 3,0.819 ± 0.022,0.00665 ± 0.00036,470.7 ± 3.5
construction,4,87 ± 0,173 ± 1,0.829 ± 0.033,0.00664 ± 0.00036,618.0 ± 14.3
construction,6,129 ± 5,257 ± 10,0.819 ± 0.032,0.00622 ± 0.00016,929.4 ± 40.2
construction,8,161 ± 6,322 ± 11,0.844 ± 0.018,0.00596 ± 0.00013,1172.2 ± 27.3
construction,12,233 ± 2,467 ± 5,0.855 ± 0.034,0.00580 ± 0.00024,1742.9 ± 31.6
classical-kmeans,2,16,32,0.788 ± 0.021,0.00676 ± 0.00013,10.2 ± 1.3
classical-kmeans,3,24,48,0.842 ± 0.022,0.00626 ± 0.00018,11.6 ± 1.3
classical-kmeans,4,32,64,0.843 ± 0.037,0.00604 ± 0.00012,13.7 ± 0.3
classical-kmeans,6,48,96,0.865 ± 0.020,0.00641 ± 0.00038,15.6 ± 0.9
classical-kmeans,8,64,128,0.871 ± 0.024,0.00631 ± 0.00102,21.7 ± 2.8
classical-kmeans,12,96,192,0.818 ± 0.100,0.00618 ± 0.00086,26.0 ± 2.2
classical-fcm,2,16,32,0.788 ± 0.020,0.00674 ± 0.00013,4.1 ± 0.2
classical-fcm,3,24,48,0.819 ± 0.030,0.00614 ± 0.00027,6.9 ± 0.9
classical-fcm,4,32,64,0.845 ± 0.041,0.00581 ± 0.00042,21.2 ± 1.7
classical-fcm,6,48,96,0.858 ± 0.025,0.00612 ± 0.00027,30.6 ± 1.2
classical-fcm,8,64,128,0.878 ± 0.023,0.00559 ± 0.00059,38.8 ± 1.9
classical-fcm,12,96,192,0.867 ± 0.016,0.00534 ± 0.00030,68.8 ± 3.7
