route,seed,rules,n_mfs,n_params,r2,cv_mse,seconds,screen_seconds
construction,0,2,49,98,0.811486,0.007071,0.333761,0.007197
construction,0,3,70,140,0.837431,0.006797,0.452229,0.012244
construction,0,4,87,174,0.862736,0.006320,0.611847,0.020986
construction,0,6,128,256,0.832218,0.006119,0.917111,0.040335
construction,0,8,169,338,0.835631,0.006126,1.074178,0.074865
construction,0,12,234,468,0.870840,0.005901,1.511874,0.151942
classical-kmeans,0,2,16,32,0.816340,0.006771,0.008818,0.000000
classical-kmeans,0,3,24,48,0.871840,0.006337,0.010384,0.000000
classical-kmeans,0,4,32,64,0.884573,0.006180,0.015125,0.000000
classical-kmeans,0,6,48,96,0.893336,0.006184,0.014926,0.000000
classical-kmeans,0,8,64,128,0.903578,0.005635,0.018370,0.000000
classical-kmeans,0,12,96,192,0.918141,0.005634,0.024119,0.000000
classical-fcm,0,2,16,32,0.815228,0.006755,0.003545,0.000000
classical-fcm,0,3,24,48,0.861431,0.006109,0.006512,0.000000
classical-fcm,0,4,32,64,0.886309,0.006323,0.018929,0.000000
classical-fcm,0,6,48,96,0.891529,0.005895,0.027954,0.000000
classical-fcm,0,8,64,128,0.903938,0.005552,0.038216,0.000000
classical-fcm,0,12,96,192,0.899685,0.004939,0.064623,0.000000
construction,1,2,49,98,0.820031,0.006368,0.301037,0.006704
construction,1,3,70,140,0.831558,0.006997,0.459297,0.011919
construction,1,4,87,174,0.839658,0.007143,0.556696,0.017874
construction,1,6,123,246,0.850231,0.006089,0.797500,0.040243
construction,1,8,158,316,0.869062,0.005806,1.109675,0.066571
construction,1,12,236,472,0.885082,0.006037,1.602560,0.150973
classical-kmeans,1,2,16,32,0.782364,0.006596,0.008418,0.000000
classical-kmeans,1,3,24,48,0.821206,0.006437,0.011476,0.000000
classical-kmeans,1,4,32,64,0.848957,0.006042,0.013448,0.000000
classical-kmeans,1,6,48,96,0.846822,0.006947,0.013827,0.000000
classical-kmeans,1,8,64,128,0.848265,0.007747,0.018449,0.000000
classical-kmeans,1,12,96,192,0.681834,0.007386,0.024513,0.000000
classical-fcm,1,2,16,32,0.781700,0.006574,0.004012,0.000000
classical-fcm,1,3,24,48,0.806285,0.006489,0.008615,0.000000
classical-fcm,1,4,32,64,0.834208,0.005301,0.023021,0.000000
classical-fcm,1,6,48,96,0.859581,0.006931,0.029586,0.000000
classical-fcm,1,8,64,128,0.863446,0.006392,0.039379,0.000000
classical-fcm,1,12,96,192,0.848460,0.005331,0.071305,0.000000
construction,2,2,51,102,0.559959,0.010355,0.325985,0.007314
construction,2,3,73,146,0.788092,0.006144,0.413716,0.012611
construction,2,4,86,172,0.784950,0.006465,0.631848,0.019610
construction,2,6,135,270,0.775645,0.006450,0.863641,0.043838
construction,2,8,156,312,0.827557,0.005957,1.125692,0.071205
construction,2,12,230,460,0.807715,0.005475,1.569329,0.162250
classical-kmeans,2,2,16,32,0.766568,0.006906,0.008520,0.000000
classical-kmeans,2,3,24,48,0.833287,0.006010,0.010414,0.000000
classical-kmeans,2,4,32,64,0.795744,0.005883,0.011824,0.000000
classical-kmeans,2,6,48,96,0.854643,0.006098,0.014096,0.000000
classical-kmeans,2,8,64,128,0.860498,0.005543,0.016543,0.000000
classical-kmeans,2,12,96,192,0.854345,0.005513,0.021340,0.000000
classical-fcm,2,2,16,32,0.766277,0.006881,0.003841,0.000000
classical-fcm,2,3,24,48,0.775616,0.005821,0.005415,0.000000
classical-fcm,2,4,32,64,0.845089,0.005785,0.021419,0.000000
classical-fcm,2,6,48,96,0.844992,0.005384,0.029152,0.000000
classical-fcm,2,8,64,128,0.855955,0.005114,0.039548,0.000000
classical-fcm,2,12,96,192,0.854549,0.006056,0.065888,0.000000
