route,rules,membership fns,free params,test R²,CV MSE,train (ms),feat. eng. (ms)
construction,2,47 ± 2,95 ± 5,0.787 ± 0.028,0.00657 ± 0.00015,70.5 ± 3.5,7.8 ± 0.8
construction,3,66 ± 1,132 ± 2,0.818 ± 0.015,0.00631 ± 0.00015,97.7 ± 4.6,12.3 ± 0.7
construction,4,86 ± 2,173 ± 3,0.828 ± 0.022,0.00640 ± 0.00024,127.3 ± 3.1,26.2 ± 10.3
construction,6,121 ± 2,243 ± 4,0.851 ± 0.023,0.00606 ± 0.00052,187.3 ± 6.9,39.5 ± 1.1
construction,8,151 ± 7,303 ± 13,0.854 ± 0.020,0.00601 ± 0.00031,245.1 ± 13.4,65.8 ± 1.5
construction,12,226 ± 3,453 ± 7,0.852 ± 0.032,0.00582 ± 0.00069,376.3 ± 8.3,149.8 ± 6.1
classical-kmeans,2,16,32,0.788 ± 0.021,0.00676 ± 0.00013,9.1 ± 1.4,0.0
classical-kmeans,3,24,48,0.842 ± 0.022,0.00626 ± 0.00018,11.0 ± 1.6,0.0
classical-kmeans,4,32,64,0.843 ± 0.037,0.00604 ± 0.00012,13.9 ± 2.4,0.0
classical-kmeans,6,48,96,0.865 ± 0.020,0.00641 ± 0.00038,14.0 ± 0.3,0.0
classical-kmeans,8,64,128,0.871 ± 0.024,0.00631 ± 0.00102,18.0 ± 2.1,0.0
classical-kmeans,12,96,192,0.818 ± 0.100,0.00618 ± 0.00086,23.8 ± 0.9,0.0
classical-fcm,2,16,32,0.788 ± 0.020,0.00674 ± 0.00013,3.4 ± 0.2,0.0
classical-fcm,3,24,48,0.810 ± 0.041,0.00614 ± 0.00027,5.9 ± 0.2,0.0
classical-fcm,4,32,64,0.859 ± 0.019,0.00581 ± 0.00042,17.7 ± 0.4,0.0
classical-fcm,6,48,96,0.868 ± 0.016,0.00573 ± 0.00024,28.2 ± 2.7,0.0
classical-fcm,8,64,128,0.874 ± 0.021,0.00580 ± 0.00047,34.0 ± 1.2,0.0
classical-fcm,12,96,192,0.862 ± 0.008,0.00581 ± 0.00081,71.1 ± 2.4,0.0
