route,seed,rules,n_mfs,n_params,r2,cv_mse,seconds,screen_seconds
construction,0,2,44,88,0.798186,0.006785,0.072458,0.008753
construction,0,3,66,132,0.833571,0.006298,0.095551,0.013310
construction,0,4,84,168,0.850491,0.006671,0.128329,0.040658
construction,0,6,120,240,0.876269,0.005771,0.196018,0.039083
construction,0,8,159,318,0.875278,0.005615,0.259059,0.067833
construction,0,12,222,444,0.889490,0.005316,0.381524,0.151383
classical-kmeans,0,2,16,32,0.816340,0.006771,0.008205,0.000000
classical-kmeans,0,3,24,48,0.871840,0.006337,0.010178,0.000000
classical-kmeans,0,4,32,64,0.884573,0.006180,0.013493,0.000000
classical-kmeans,0,6,48,96,0.893336,0.006184,0.013835,0.000000
classical-kmeans,0,8,64,128,0.903578,0.005635,0.016831,0.000000
classical-kmeans,0,12,96,192,0.918141,0.005634,0.023912,0.000000
classical-fcm,0,2,16,32,0.815228,0.006755,0.003575,0.000000
classical-fcm,0,3,24,48,0.861431,0.006109,0.006240,0.000000
classical-fcm,0,4,32,64,0.885625,0.006335,0.017711,0.000000
classical-fcm,0,6,48,96,0.888255,0.005895,0.026283,0.000000
classical-fcm,0,8,64,128,0.903772,0.005552,0.035517,0.000000
classical-fcm,0,12,96,192,0.864652,0.005037,0.070261,0.000000
construction,1,2,50,100,0.814318,0.006515,0.073429,0.007842
construction,1,3,67,134,0.822405,0.006503,0.104056,0.011871
construction,1,4,87,174,0.835123,0.006427,0.123047,0.017941
construction,1,6,124,248,0.855230,0.006781,0.179083,0.038364
construction,1,8,143,286,0.860065,0.006363,0.249141,0.064886
construction,1,12,227,454,0.856797,0.006792,0.382899,0.141633
classical-kmeans,1,2,16,32,0.782364,0.006596,0.011161,0.000000
classical-kmeans,1,3,24,48,0.821206,0.006437,0.013227,0.000000
classical-kmeans,1,4,32,64,0.848957,0.006042,0.017100,0.000000
classical-kmeans,1,6,48,96,0.846822,0.006947,0.013826,0.000000
classical-kmeans,1,8,64,128,0.848265,0.007747,0.020968,0.000000
classical-kmeans,1,12,96,192,0.681834,0.007386,0.024824,0.000000
classical-fcm,1,2,16,32,0.781700,0.006574,0.003526,0.000000
classical-fcm,1,3,24,48,0.806285,0.006489,0.005857,0.000000
classical-fcm,1,4,32,64,0.845404,0.005301,0.018169,0.000000
classical-fcm,1,6,48,96,0.864028,0.005911,0.031974,0.000000
classical-fcm,1,8,64,128,0.857533,0.006460,0.032678,0.000000
classical-fcm,1,12,96,192,0.851268,0.006934,0.068616,0.000000
construction,2,2,48,96,0.748677,0.006419,0.065542,0.006704
construction,2,3,65,130,0.798558,0.006142,0.093440,0.011617
construction,2,4,88,176,0.798205,0.006092,0.130413,0.019968
construction,2,6,120,240,0.820920,0.005620,0.186778,0.040930
construction,2,8,152,304,0.827551,0.006044,0.227099,0.064536
construction,2,12,230,460,0.810742,0.005355,0.364593,0.156325
classical-kmeans,2,2,16,32,0.766568,0.006906,0.008084,0.000000
classical-kmeans,2,3,24,48,0.833287,0.006010,0.009502,0.000000
classical-kmeans,2,4,32,64,0.795744,0.005883,0.011168,0.000000
classical-kmeans,2,6,48,96,0.854643,0.006098,0.014462,0.000000
classical-kmeans,2,8,64,128,0.860498,0.005543,0.016185,0.000000
classical-kmeans,2,12,96,192,0.854345,0.005513,0.022540,0.000000
classical-fcm,2,2,16,32,0.766277,0.006881,0.003225,0.000000
classical-fcm,2,3,24,48,0.762280,0.005821,0.005681,0.000000
classical-fcm,2,4,32,64,0.845089,0.005785,0.017092,0.000000
classical-fcm,2,6,48,96,0.850288,0.005384,0.026371,0.000000
classical-fcm,2,8,64,128,0.861044,0.005377,0.033675,0.000000
classical-fcm,2,12,96,192,0.870600,0.005471,0.074303,0.000000
