route,rules,membership fns,free params,test R²,CV MSE,train (ms),feat. eng. (ms)
construction,2,16,32,0.742 ± 0.035,0.00664 ± 0.00008,6.6 ± 0.1,6.9 ± 0.8
construction,3,24,48,0.803 ± 0.040,0.00642 ± 0.00005,8.7 ± 0.8,11.8 ± 0.5
construction,4,32,64,0.822 ± 0.026,0.00607 ± 0.00030,10.8 ± 0.8,19.5 ± 0.6
construction,6,48,96,0.852 ± 0.027,0.00581 ± 0.00042,14.9 ± 0.3,43.4 ± 1.9
construction,8,64,128,0.859 ± 0.006,0.00571 ± 0.00046,19.4 ± 1.0,67.2 ± 2.6
construction,12,96,192,0.866 ± 0.019,0.00526 ± 0.00100,30.5 ± 3.2,157.7 ± 3.5
classical-kmeans,2,16,32,0.788 ± 0.021,0.00676 ± 0.00013,10.4 ± 2.0,0.0
classical-kmeans,3,24,48,0.842 ± 0.022,0.00626 ± 0.00018,10.4 ± 0.9,0.0
classical-kmeans,4,32,64,0.843 ± 0.037,0.00604 ± 0.00012,12.7 ± 1.6,0.0
classical-kmeans,6,48,96,0.865 ± 0.020,0.00641 ± 0.00038,13.7 ± 0.5,0.0
classical-kmeans,8,64,128,0.871 ± 0.024,0.00631 ± 0.00102,20.2 ± 4.2,0.0
classical-kmeans,12,96,192,0.818 ± 0.100,0.00618 ± 0.00086,28.0 ± 9.2,0.0
classical-fcm,2,16,32,0.788 ± 0.020,0.00674 ± 0.00013,4.1 ± 0.8,0.0
classical-fcm,3,24,48,0.825 ± 0.040,0.00614 ± 0.00027,6.9 ± 1.6,0.0
classical-fcm,4,32,64,0.852 ± 0.009,0.00579 ± 0.00044,20.7 ± 4.4,0.0
classical-fcm,6,48,96,0.857 ± 0.035,0.00610 ± 0.00035,30.0 ± 6.7,0.0
classical-fcm,8,64,128,0.869 ± 0.030,0.00577 ± 0.00045,34.8 ± 1.2,0.0
classical-fcm,12,96,192,0.857 ± 0.020,0.00571 ± 0.00088,72.4 ± 1.7,0.0
