route,seed,rules,n_mfs,n_params,r2,cv_mse,seconds,screen_seconds
construction,0,2,16,32,0.791583,0.006644,0.006703,0.007920
construction,0,3,24,48,0.856999,0.006389,0.009037,0.011928
construction,0,4,32,64,0.856455,0.005945,0.011611,0.020377
construction,0,6,48,96,0.885022,0.005241,0.014807,0.044660
construction,0,8,64,128,0.860032,0.005135,0.019768,0.070647
construction,0,12,96,192,0.889985,0.004575,0.034574,0.154210
classical-kmeans,0,2,16,32,0.816340,0.006771,0.013326,0.000000
classical-kmeans,0,3,24,48,0.871840,0.006337,0.009611,0.000000
classical-kmeans,0,4,32,64,0.884573,0.006180,0.014922,0.000000
classical-kmeans,0,6,48,96,0.893336,0.006184,0.013700,0.000000
classical-kmeans,0,8,64,128,0.903578,0.005635,0.016627,0.000000
classical-kmeans,0,12,96,192,0.918141,0.005634,0.022230,0.000000
classical-fcm,0,2,16,32,0.815228,0.006755,0.003324,0.000000
classical-fcm,0,3,24,48,0.874077,0.006109,0.006112,0.000000
classical-fcm,0,4,32,64,0.864443,0.006335,0.018039,0.000000
classical-fcm,0,6,48,96,0.902343,0.005749,0.026183,0.000000
classical-fcm,0,8,64,128,0.908952,0.005552,0.034306,0.000000
classical-fcm,0,12,96,192,0.869117,0.004920,0.070019,0.000000
construction,1,2,16,32,0.714201,0.006531,0.006423,0.006244
construction,1,3,24,48,0.786875,0.006378,0.007535,0.011131
construction,1,4,32,64,0.816301,0.006487,0.011016,0.019053
construction,1,6,48,96,0.850033,0.006220,0.015364,0.040709
construction,1,8,64,128,0.865162,0.006251,0.020304,0.064235
construction,1,12,96,192,0.865075,0.006669,0.030373,0.156431
classical-kmeans,1,2,16,32,0.782364,0.006596,0.008919,0.000000
classical-kmeans,1,3,24,48,0.821206,0.006437,0.009942,0.000000
classical-kmeans,1,4,32,64,0.848957,0.006042,0.012032,0.000000
classical-kmeans,1,6,48,96,0.846822,0.006947,0.014396,0.000000
classical-kmeans,1,8,64,128,0.848265,0.007747,0.026134,0.000000
classical-kmeans,1,12,96,192,0.681834,0.007386,0.040911,0.000000
classical-fcm,1,2,16,32,0.781700,0.006574,0.005214,0.000000
classical-fcm,1,3,24,48,0.824294,0.006489,0.009127,0.000000
classical-fcm,1,4,32,64,0.847353,0.005263,0.026905,0.000000
classical-fcm,1,6,48,96,0.852040,0.006580,0.039424,0.000000
classical-fcm,1,8,64,128,0.861328,0.006392,0.036573,0.000000
classical-fcm,1,12,96,192,0.828733,0.006946,0.073517,0.000000
construction,2,2,16,32,0.719293,0.006732,0.006759,0.006425
construction,2,3,24,48,0.763734,0.006489,0.009463,0.012205
construction,2,4,32,64,0.792587,0.005788,0.009738,0.019026
construction,2,6,48,96,0.819929,0.005979,0.014658,0.044781
construction,2,8,64,128,0.851523,0.005759,0.018002,0.066766
construction,2,12,96,192,0.842913,0.004524,0.026696,0.162548
classical-kmeans,2,2,16,32,0.766568,0.006906,0.009098,0.000000
classical-kmeans,2,3,24,48,0.833287,0.006010,0.011659,0.000000
classical-kmeans,2,4,32,64,0.795744,0.005883,0.011269,0.000000
classical-kmeans,2,6,48,96,0.854643,0.006098,0.013071,0.000000
classical-kmeans,2,8,64,128,0.860498,0.005543,0.017795,0.000000
classical-kmeans,2,12,96,192,0.854345,0.005513,0.020769,0.000000
classical-fcm,2,2,16,32,0.766277,0.006881,0.003668,0.000000
classical-fcm,2,3,24,48,0.775616,0.005821,0.005495,0.000000
classical-fcm,2,4,32,64,0.843617,0.005772,0.017217,0.000000
classical-fcm,2,6,48,96,0.816529,0.005962,0.024376,0.000000
classical-fcm,2,8,64,128,0.835867,0.005368,0.033670,0.000000
classical-fcm,2,12,96,192,0.874643,0.005267,0.073745,0.000000
