route,rules,membership fns,free params,test R²,CV MSE,train (ms),feat. eng. (ms)
construction,2,16,32,0.742 ± 0.035,0.00664 ± 0.00008,25.7 ± 0.7,6.8 ± 0.4
construction,3,24,48,0.803 ± 0.040,0.00642 ± 0.00005,34.1 ± 1.5,12.0 ± 0.5
construction,4,32,64,0.822 ± 0.026,0.00607 ± 0.00030,45.5 ± 3.0,18.6 ± 0.1
construction,6,48,96,0.852 ± 0.027,0.00581 ± 0.00042,62.3 ± 1.5,40.0 ± 0.8
construction,8,64,128,0.859 ± 0.006,0.00571 ± 0.00046,82.9 ± 1.6,69.1 ± 1.6
construction,12,96,192,0.866 ± 0.019,0.00526 ± 0.00100,118.3 ± 3.4,146.1 ± 3.0
classical-kmeans,2,16,32,0.788 ± 0.021,0.00676 ± 0.00013,8.8 ± 0.6,0.0
classical-kmeans,3,24,48,0.842 ± 0.022,0.00626 ± 0.00018,10.2 ± 0.1,0.0
classical-kmeans,4,32,64,0.843 ± 0.037,0.00604 ± 0.00012,14.1 ± 1.1,0.0
classical-kmeans,6,48,96,0.865 ± 0.020,0.00641 ± 0.00038,14.7 ± 0.4,0.0
classical-kmeans,8,64,128,0.871 ± 0.024,0.00631 ± 0.00102,18.3 ± 0.6,0.0
classical-kmeans,12,96,192,0.818 ± 0.100,0.00618 ± 0.00086,24.8 ± 3.9,0.0
classical-fcm,2,16,32,0.788 ± 0.020,0.00674 ± 0.00013,3.9 ± 0.2,0.0
classical-fcm,3,24,48,0.839 ± 0.028,0.00614 ± 0.00027,6.3 ± 0.6,0.0
classical-fcm,4,32,64,0.854 ± 0.023,0.00588 ± 0.00043,19.7 ± 0.7,0.0
classical-fcm,6,48,96,0.864 ± 0.028,0.00619 ± 0.00050,28.0 ± 1.2,0.0
classical-fcm,8,64,128,0.865 ± 0.011,0.00573 ± 0.00057,37.5 ± 0.6,0.0
classical-fcm,12,96,192,0.854 ± 0.023,0.00528 ± 0.00019,63.5 ± 1.8,0.0
