route,seed,rules,n_mfs,n_params,r2,cv_mse,seconds,screen_seconds
construction,0,2,16,32,0.791583,0.006644,0.025825,0.006485
construction,0,3,24,48,0.856999,0.006389,0.036114,0.012700
construction,0,4,32,64,0.856455,0.005945,0.043199,0.018573
construction,0,6,48,96,0.885022,0.005241,0.060642,0.040281
construction,0,8,64,128,0.860032,0.005135,0.084938,0.066850
construction,0,12,96,192,0.889985,0.004575,0.115861,0.143521
classical-kmeans,0,2,16,32,0.816340,0.006771,0.008496,0.000000
classical-kmeans,0,3,24,48,0.871840,0.006337,0.010359,0.000000
classical-kmeans,0,4,32,64,0.884573,0.006180,0.015570,0.000000
classical-kmeans,0,6,48,96,0.893336,0.006184,0.015104,0.000000
classical-kmeans,0,8,64,128,0.903578,0.005635,0.017370,0.000000
classical-kmeans,0,12,96,192,0.918141,0.005634,0.030068,0.000000
classical-fcm,0,2,16,32,0.815228,0.006755,0.003872,0.000000
classical-fcm,0,3,24,48,0.874077,0.006109,0.007173,0.000000
classical-fcm,0,4,32,64,0.885625,0.006335,0.019222,0.000000
classical-fcm,0,6,48,96,0.903357,0.005718,0.026794,0.000000
classical-fcm,0,8,64,128,0.879746,0.005552,0.036700,0.000000
classical-fcm,0,12,96,192,0.872982,0.005009,0.061876,0.000000
construction,1,2,16,32,0.714201,0.006531,0.024774,0.007266
construction,1,3,24,48,0.786875,0.006378,0.032505,0.011611
construction,1,4,32,64,0.816301,0.006487,0.049673,0.018737
construction,1,6,48,96,0.850033,0.006220,0.064221,0.040885
construction,1,8,64,128,0.865162,0.006251,0.080938,0.069896
construction,1,12,96,192,0.865075,0.006669,0.123105,0.150266
classical-kmeans,1,2,16,32,0.782364,0.006596,0.008259,0.000000
classical-kmeans,1,3,24,48,0.821206,0.006437,0.010043,0.000000
classical-kmeans,1,4,32,64,0.848957,0.006042,0.012892,0.000000
classical-kmeans,1,6,48,96,0.846822,0.006947,0.014125,0.000000
classical-kmeans,1,8,64,128,0.848265,0.007747,0.018785,0.000000
classical-kmeans,1,12,96,192,0.681834,0.007386,0.023327,0.000000
classical-fcm,1,2,16,32,0.781700,0.006574,0.003642,0.000000
classical-fcm,1,3,24,48,0.806285,0.006489,0.005778,0.000000
classical-fcm,1,4,32,64,0.839454,0.005301,0.020685,0.000000
classical-fcm,1,6,48,96,0.849821,0.006884,0.029605,0.000000
classical-fcm,1,8,64,128,0.856599,0.006499,0.037666,0.000000
classical-fcm,1,12,96,192,0.821564,0.005404,0.066022,0.000000
construction,2,2,16,32,0.719293,0.006732,0.026580,0.006565
construction,2,3,24,48,0.763734,0.006489,0.033652,0.011817
construction,2,4,32,64,0.792587,0.005788,0.043489,0.018567
construction,2,6,48,96,0.819929,0.005979,0.061911,0.038966
construction,2,8,64,128,0.851523,0.005759,0.082719,0.070586
construction,2,12,96,192,0.842913,0.004524,0.116067,0.144495
classical-kmeans,2,2,16,32,0.766568,0.006906,0.009581,0.000000
classical-kmeans,2,3,24,48,0.833287,0.006010,0.010259,0.000000
classical-kmeans,2,4,32,64,0.795744,0.005883,0.013709,0.000000
classical-kmeans,2,6,48,96,0.854643,0.006098,0.014910,0.000000
classical-kmeans,2,8,64,128,0.860498,0.005543,0.018595,0.000000
classical-kmeans,2,12,96,192,0.854345,0.005513,0.020923,0.000000
classical-fcm,2,2,16,32,0.766277,0.006881,0.004242,0.000000
classical-fcm,2,3,24,48,0.835492,0.005821,0.005901,0.000000
classical-fcm,2,4,32,64,0.835512,0.006008,0.019273,0.000000
classical-fcm,2,6,48,96,0.838329,0.005967,0.027632,0.000000
classical-fcm,2,8,64,128,0.858103,0.005129,0.038009,0.000000
classical-fcm,2,12,96,192,0.867058,0.005428,0.062557,0.000000
