arm,init,seed,budget,cv_mse,r2,r2_0,heuristic_r2,seconds
none,hot,0,125,0.006256,0.858037,0.858037,0.858037,0.02
none,hot,0,250,0.006256,0.858037,0.858037,0.858037,0.02
none,hot,0,500,0.006256,0.858037,0.858037,0.858037,0.02
none,hot,0,1000,0.006256,0.858037,0.858037,0.858037,0.02
none,hot,0,2000,0.006256,0.858037,0.858037,0.858037,0.02
none,hot,1,125,0.005528,0.832372,0.832372,0.832372,0.01
none,hot,1,250,0.005528,0.832372,0.832372,0.832372,0.01
none,hot,1,500,0.005528,0.832372,0.832372,0.832372,0.01
none,hot,1,1000,0.005528,0.832372,0.832372,0.832372,0.01
none,hot,1,2000,0.005528,0.832372,0.832372,0.832372,0.01
none,hot,2,125,0.006182,0.808888,0.808888,0.808888,0.01
none,hot,2,250,0.006182,0.808888,0.808888,0.808888,0.01
none,hot,2,500,0.006182,0.808888,0.808888,0.808888,0.01
none,hot,2,1000,0.006182,0.808888,0.808888,0.808888,0.01
none,hot,2,2000,0.006182,0.808888,0.808888,0.808888,0.01
none,hot,3,125,0.005990,0.858451,0.858451,0.858451,0.01
none,hot,3,250,0.005990,0.858451,0.858451,0.858451,0.01
none,hot,3,500,0.005990,0.858451,0.858451,0.858451,0.01
none,hot,3,1000,0.005990,0.858451,0.858451,0.858451,0.01
none,hot,3,2000,0.005990,0.858451,0.858451,0.858451,0.01
none,hot,4,125,0.007497,0.755459,0.755459,0.755459,0.01
none,hot,4,250,0.007497,0.755459,0.755459,0.755459,0.01
none,hot,4,500,0.007497,0.755459,0.755459,0.755459,0.01
none,hot,4,1000,0.007497,0.755459,0.755459,0.755459,0.01
none,hot,4,2000,0.007497,0.755459,0.755459,0.755459,0.01
none,hot,5,125,0.006414,0.842144,0.842144,0.842144,0.02
none,hot,5,250,0.006414,0.842144,0.842144,0.842144,0.02
none,hot,5,500,0.006414,0.842144,0.842144,0.842144,0.02
none,hot,5,1000,0.006414,0.842144,0.842144,0.842144,0.02
none,hot,5,2000,0.006414,0.842144,0.842144,0.842144,0.02
none,hot,6,125,0.006464,0.862466,0.862466,0.862466,0.02
none,hot,6,250,0.006464,0.862466,0.862466,0.862466,0.02
none,hot,6,500,0.006464,0.862466,0.862466,0.862466,0.02
none,hot,6,1000,0.006464,0.862466,0.862466,0.862466,0.02
none,hot,6,2000,0.006464,0.862466,0.862466,0.862466,0.02
none,hot,7,125,0.006181,0.870453,0.870453,0.870453,0.02
none,hot,7,250,0.006181,0.870453,0.870453,0.870453,0.02
none,hot,7,500,0.006181,0.870453,0.870453,0.870453,0.02
none,hot,7,1000,0.006181,0.870453,0.870453,0.870453,0.02
none,hot,7,2000,0.006181,0.870453,0.870453,0.870453,0.02
none,hot,8,125,0.006707,0.872438,0.872438,0.872438,0.02
none,hot,8,250,0.006707,0.872438,0.872438,0.872438,0.02
none,hot,8,500,0.006707,0.872438,0.872438,0.872438,0.02
none,hot,8,1000,0.006707,0.872438,0.872438,0.872438,0.02
none,hot,8,2000,0.006707,0.872438,0.872438,0.872438,0.02
none,hot,9,125,0.006677,0.849755,0.849755,0.849755,0.01
none,hot,9,250,0.006677,0.849755,0.849755,0.849755,0.01
none,hot,9,500,0.006677,0.849755,0.849755,0.849755,0.01
none,hot,9,1000,0.006677,0.849755,0.849755,0.849755,0.01
none,hot,9,2000,0.006677,0.849755,0.849755,0.849755,0.01
opt-ga,hot,0,125,0.005456,0.862911,0.858037,0.858037,1.77
opt-ga,hot,0,250,0.005261,0.867078,0.858037,0.858037,3.41
opt-ga,hot,0,500,0.005171,0.865226,0.858037,0.858037,6.78
opt-ga,hot,0,1000,0.004903,0.875471,0.858037,0.858037,13.84
opt-ga,hot,0,2000,0.004588,0.879690,0.858037,0.858037,27.43
opt-ga,hot,1,125,0.005226,0.834826,0.832372,0.832372,1.78
opt-ga,hot,1,250,0.005189,0.819331,0.832372,0.832372,3.42
opt-ga,hot,1,500,0.004825,0.855452,0.832372,0.832372,6.71
opt-ga,hot,1,1000,0.004725,0.854535,0.832372,0.832372,14.39
opt-ga,hot,1,2000,0.004305,0.869282,0.832372,0.832372,27.95
opt-ga,hot,2,125,0.005513,0.830399,0.808888,0.808888,1.76
opt-ga,hot,2,250,0.005246,0.853993,0.808888,0.808888,3.66
opt-ga,hot,2,500,0.005198,0.800086,0.808888,0.808888,7.10
opt-ga,hot,2,1000,0.004933,0.821312,0.808888,0.808888,13.83
opt-ga,hot,2,2000,0.004633,0.837424,0.808888,0.808888,27.89
opt-ga,hot,3,125,0.005496,0.879458,0.858451,0.858451,1.69
opt-ga,hot,3,250,0.005469,0.879730,0.858451,0.858451,3.33
opt-ga,hot,3,500,0.005266,0.872399,0.858451,0.858451,6.57
opt-ga,hot,3,1000,0.004991,0.874436,0.858451,0.858451,13.12
opt-ga,hot,3,2000,0.004478,0.888605,0.858451,0.858451,26.26
opt-ga,hot,4,125,0.005363,0.858623,0.755459,0.755459,1.66
opt-ga,hot,4,250,0.005329,0.845451,0.755459,0.755459,3.25
opt-ga,hot,4,500,0.004911,0.852665,0.755459,0.755459,6.41
opt-ga,hot,4,1000,0.004756,0.855231,0.755459,0.755459,12.91
opt-ga,hot,4,2000,0.004575,0.851406,0.755459,0.755459,25.99
opt-ga,hot,5,125,0.005254,0.841626,0.842144,0.842144,1.88
opt-ga,hot,5,250,0.005254,0.841626,0.842144,0.842144,3.46
opt-ga,hot,5,500,0.005233,0.838404,0.842144,0.842144,6.63
opt-ga,hot,5,1000,0.005093,0.841626,0.842144,0.842144,13.30
opt-ga,hot,5,2000,0.004880,0.847638,0.842144,0.842144,27.19
opt-ga,hot,6,125,0.005668,0.875081,0.862466,0.862466,2.02
opt-ga,hot,6,250,0.005574,0.861099,0.862466,0.862466,3.80
opt-ga,hot,6,500,0.005282,0.892114,0.862466,0.862466,7.47
opt-ga,hot,6,1000,0.004856,0.903803,0.862466,0.862466,14.23
opt-ga,hot,6,2000,0.004467,0.899825,0.862466,0.862466,27.52
opt-ga,hot,7,125,0.005506,0.855252,0.870453,0.870453,1.65
opt-ga,hot,7,250,0.005428,0.858602,0.870453,0.870453,3.33
opt-ga,hot,7,500,0.005063,0.872569,0.870453,0.870453,6.67
opt-ga,hot,7,1000,0.004578,0.885358,0.870453,0.870453,13.57
opt-ga,hot,7,2000,0.004171,0.893657,0.870453,0.870453,27.10
opt-ga,hot,8,125,0.005773,0.884506,0.872438,0.872438,1.85
opt-ga,hot,8,250,0.005659,0.881842,0.872438,0.872438,3.50
opt-ga,hot,8,500,0.005295,0.876823,0.872438,0.872438,6.82
opt-ga,hot,8,1000,0.004929,0.892274,0.872438,0.872438,13.61
opt-ga,hot,8,2000,0.004282,0.895865,0.872438,0.872438,26.94
opt-ga,hot,9,125,0.005457,0.865664,0.849755,0.849755,1.73
opt-ga,hot,9,250,0.005239,0.866034,0.849755,0.849755,3.41
opt-ga,hot,9,500,0.005127,0.877982,0.849755,0.849755,7.03
opt-ga,hot,9,1000,0.004808,0.880257,0.849755,0.849755,13.76
opt-ga,hot,9,2000,0.004381,0.883589,0.849755,0.849755,27.27
scipy-lbfgsb,hot,0,125,0.006255,0.858042,0.858037,0.858037,1.83
scipy-lbfgsb,hot,0,250,0.005904,0.861969,0.858037,0.858037,3.47
scipy-lbfgsb,hot,0,500,0.005829,0.863243,0.858037,0.858037,6.80
scipy-lbfgsb,hot,0,1000,0.005423,0.869396,0.858037,0.858037,13.64
scipy-lbfgsb,hot,0,2000,0.005416,0.869481,0.858037,0.858037,27.59
scipy-lbfgsb,hot,1,125,0.005527,0.832378,0.832372,0.832372,1.75
scipy-lbfgsb,hot,1,250,0.005003,0.838833,0.832372,0.832372,3.63
scipy-lbfgsb,hot,1,500,0.004292,0.822189,0.832372,0.832372,7.23
scipy-lbfgsb,hot,1,1000,0.004057,0.806576,0.832372,0.832372,14.56
scipy-lbfgsb,hot,1,2000,0.003850,0.839310,0.832372,0.832372,28.84
scipy-lbfgsb,hot,2,125,0.006181,0.808909,0.808888,0.808888,1.80
scipy-lbfgsb,hot,2,250,0.005570,0.823095,0.808888,0.808888,3.56
scipy-lbfgsb,hot,2,500,0.004709,0.853864,0.808888,0.808888,7.20
scipy-lbfgsb,hot,2,1000,0.004131,0.864683,0.808888,0.808888,14.96
scipy-lbfgsb,hot,2,2000,0.003729,0.863238,0.808888,0.808888,29.82
scipy-lbfgsb,hot,3,125,0.005987,0.858418,0.858451,0.858451,1.74
scipy-lbfgsb,hot,3,250,0.005188,0.863505,0.858451,0.858451,3.44
scipy-lbfgsb,hot,3,500,0.004464,0.870555,0.858451,0.858451,7.00
scipy-lbfgsb,hot,3,1000,0.003947,0.874558,0.858451,0.858451,14.06
scipy-lbfgsb,hot,3,2000,0.003267,0.877723,0.858451,0.858451,28.53
scipy-lbfgsb,hot,4,125,0.007497,0.755479,0.755459,0.755459,1.86
scipy-lbfgsb,hot,4,250,0.007497,0.755443,0.755459,0.755459,3.63
scipy-lbfgsb,hot,4,500,0.007486,0.755655,0.755459,0.755459,7.11
scipy-lbfgsb,hot,4,1000,0.007481,0.755753,0.755459,0.755459,14.28
scipy-lbfgsb,hot,4,2000,0.007470,0.755994,0.755459,0.755459,28.20
scipy-lbfgsb,hot,5,125,0.006413,0.842137,0.842144,0.842144,1.70
scipy-lbfgsb,hot,5,250,0.005758,0.839967,0.842144,0.842144,3.53
scipy-lbfgsb,hot,5,500,0.004878,0.849562,0.842144,0.842144,7.10
scipy-lbfgsb,hot,5,1000,0.003957,0.869805,0.842144,0.842144,14.40
scipy-lbfgsb,hot,5,2000,0.003850,0.873445,0.842144,0.842144,28.43
scipy-lbfgsb,hot,6,125,0.006463,0.862489,0.862466,0.862466,1.81
scipy-lbfgsb,hot,6,250,0.005936,0.874497,0.862466,0.862466,3.51
scipy-lbfgsb,hot,6,500,0.004969,0.900352,0.862466,0.862466,6.91
scipy-lbfgsb,hot,6,1000,0.004270,0.904017,0.862466,0.862466,14.28
scipy-lbfgsb,hot,6,2000,0.003569,0.912214,0.862466,0.862466,28.46
scipy-lbfgsb,hot,7,125,0.006180,0.870467,0.870453,0.870453,1.66
scipy-lbfgsb,hot,7,250,0.005445,0.869539,0.870453,0.870453,3.37
scipy-lbfgsb,hot,7,500,0.004388,0.827927,0.870453,0.870453,6.95
scipy-lbfgsb,hot,7,1000,0.003764,0.878570,0.870453,0.870453,14.45
scipy-lbfgsb,hot,7,2000,0.003392,0.881158,0.870453,0.870453,28.69
scipy-lbfgsb,hot,8,125,0.006706,0.872437,0.872438,0.872438,1.86
scipy-lbfgsb,hot,8,250,0.006024,0.872470,0.872438,0.872438,3.52
scipy-lbfgsb,hot,8,500,0.004858,0.873046,0.872438,0.872438,6.86
scipy-lbfgsb,hot,8,1000,0.003997,0.878432,0.872438,0.872438,13.85
scipy-lbfgsb,hot,8,2000,0.003609,0.879762,0.872438,0.872438,28.07
scipy-lbfgsb,hot,9,125,0.006677,0.849774,0.849755,0.849755,1.77
scipy-lbfgsb,hot,9,250,0.006677,0.849774,0.849755,0.849755,3.60
scipy-lbfgsb,hot,9,500,0.006489,0.855810,0.849755,0.849755,7.33
scipy-lbfgsb,hot,9,1000,0.006394,0.791576,0.849755,0.849755,14.16
scipy-lbfgsb,hot,9,2000,0.006368,0.792401,0.849755,0.849755,27.93
none,cold,0,125,0.006495,0.862517,0.862517,0.858037,0.01
none,cold,0,250,0.006495,0.862517,0.862517,0.858037,0.01
none,cold,0,500,0.006495,0.862517,0.862517,0.858037,0.01
none,cold,0,1000,0.006495,0.862517,0.862517,0.858037,0.01
none,cold,0,2000,0.006495,0.862517,0.862517,0.858037,0.01
none,cold,1,125,0.006025,0.819187,0.819187,0.832372,0.01
none,cold,1,250,0.006025,0.819187,0.819187,0.832372,0.01
none,cold,1,500,0.006025,0.819187,0.819187,0.832372,0.01
none,cold,1,1000,0.006025,0.819187,0.819187,0.832372,0.01
none,cold,1,2000,0.006025,0.819187,0.819187,0.832372,0.01
none,cold,2,125,0.006439,0.835648,0.835648,0.808888,0.02
none,cold,2,250,0.006439,0.835648,0.835648,0.808888,0.02
none,cold,2,500,0.006439,0.835648,0.835648,0.808888,0.02
none,cold,2,1000,0.006439,0.835648,0.835648,0.808888,0.02
none,cold,2,2000,0.006439,0.835648,0.835648,0.808888,0.02
none,cold,3,125,0.006382,0.867659,0.867659,0.858451,0.02
none,cold,3,250,0.006382,0.867659,0.867659,0.858451,0.02
none,cold,3,500,0.006382,0.867659,0.867659,0.858451,0.02
none,cold,3,1000,0.006382,0.867659,0.867659,0.858451,0.02
none,cold,3,2000,0.006382,0.867659,0.867659,0.858451,0.02
none,cold,4,125,0.006222,0.845693,0.845693,0.755459,0.01
none,cold,4,250,0.006222,0.845693,0.845693,0.755459,0.01
none,cold,4,500,0.006222,0.845693,0.845693,0.755459,0.01
none,cold,4,1000,0.006222,0.845693,0.845693,0.755459,0.01
none,cold,4,2000,0.006222,0.845693,0.845693,0.755459,0.01
none,cold,5,125,0.006533,0.811983,0.811983,0.842144,0.01
none,cold,5,250,0.006533,0.811983,0.811983,0.842144,0.01
none,cold,5,500,0.006533,0.811983,0.811983,0.842144,0.01
none,cold,5,1000,0.006533,0.811983,0.811983,0.842144,0.01
none,cold,5,2000,0.006533,0.811983,0.811983,0.842144,0.01
none,cold,6,125,0.005782,0.890228,0.890228,0.862466,0.01
none,cold,6,250,0.005782,0.890228,0.890228,0.862466,0.01
none,cold,6,500,0.005782,0.890228,0.890228,0.862466,0.01
none,cold,6,1000,0.005782,0.890228,0.890228,0.862466,0.01
none,cold,6,2000,0.005782,0.890228,0.890228,0.862466,0.01
none,cold,7,125,0.005357,0.846885,0.846885,0.870453,0.02
none,cold,7,250,0.005357,0.846885,0.846885,0.870453,0.02
none,cold,7,500,0.005357,0.846885,0.846885,0.870453,0.02
none,cold,7,1000,0.005357,0.846885,0.846885,0.870453,0.02
none,cold,7,2000,0.005357,0.846885,0.846885,0.870453,0.02
none,cold,8,125,0.006406,0.871015,0.871015,0.872438,0.02
none,cold,8,250,0.006406,0.871015,0.871015,0.872438,0.02
