arm,init,seed,cv_mse_0,cv_mse,improvement,beat_start,r2_0,r2,heuristic_r2,heuristic_cv,evals_to_heuristic,rmse_0,rmse,evals,seconds,init_seconds,construction_seconds,error
none,hot,0,0.006256,0.006256,0.000000,0,0.858037,0.858037,0.858037,0.006256,0,6.1148,6.1148,0,0.09,0.0000,0.7685,
none,hot,1,0.005528,0.005528,0.000000,0,0.832372,0.832372,0.832372,0.005528,0,6.6106,6.6106,0,0.07,0.0000,0.7409,
none,hot,2,0.006182,0.006182,0.000000,0,0.808888,0.808888,0.808888,0.006182,0,6.8569,6.8569,0,0.07,0.0000,0.6995,
none,hot,3,0.005990,0.005990,0.000000,0,0.858451,0.858451,0.858451,0.005990,0,6.4371,6.4371,0,0.07,0.0000,0.7313,
none,hot,4,0.007497,0.007497,0.000000,0,0.755459,0.755459,0.755459,0.007497,0,8.6018,8.6018,0,0.07,0.0000,0.7271,
none,hot,5,0.006414,0.006414,0.000000,0,0.842144,0.842144,0.842144,0.006414,0,6.0847,6.0847,0,0.07,0.0000,0.7753,
none,hot,6,0.006464,0.006464,0.000000,0,0.862466,0.862466,0.862466,0.006464,0,6.6680,6.6680,0,0.07,0.0000,0.7274,
none,hot,7,0.006181,0.006181,0.000000,0,0.870453,0.870453,0.870453,0.006181,0,5.8603,5.8603,0,0.08,0.0000,0.7529,
none,hot,8,0.006707,0.006707,0.000000,0,0.872438,0.872438,0.872438,0.006707,0,5.7641,5.7641,0,0.08,0.0000,0.7279,
none,hot,9,0.006677,0.006677,0.000000,0,0.849755,0.849755,0.849755,0.006677,0,6.0216,6.0216,0,0.06,0.0000,0.7994,
opt-ga,hot,0,0.006256,0.004588,0.266590,1,0.858037,0.879690,0.858037,0.006256,0,6.1148,5.6292,2000,27.51,0.0000,0.7685,
opt-ga,hot,1,0.005528,0.004305,0.221355,1,0.832372,0.869282,0.832372,0.005528,0,6.6106,5.8376,2000,28.01,0.0000,0.7409,
opt-ga,hot,2,0.006182,0.004633,0.250596,1,0.808888,0.837424,0.808888,0.006182,0,6.8569,6.3243,2000,27.94,0.0000,0.6995,
opt-ga,hot,3,0.005990,0.004478,0.252383,1,0.858451,0.888605,0.858451,0.005990,0,6.4371,5.7104,2000,26.31,0.0000,0.7313,
opt-ga,hot,4,0.007497,0.004575,0.389792,1,0.755459,0.851406,0.755459,0.007497,0,8.6018,6.7052,2000,26.05,0.0000,0.7271,
opt-ga,hot,5,0.006414,0.004880,0.239212,1,0.842144,0.847638,0.842144,0.006414,0,6.0847,5.9779,2000,27.25,0.0000,0.7753,
opt-ga,hot,6,0.006464,0.004467,0.308950,1,0.862466,0.899825,0.862466,0.006464,0,6.6680,5.6907,2000,27.57,0.0000,0.7274,
opt-ga,hot,7,0.006181,0.004171,0.325152,1,0.870453,0.893657,0.870453,0.006181,0,5.8603,5.3096,2000,27.16,0.0000,0.7529,
opt-ga,hot,8,0.006707,0.004282,0.361471,1,0.872438,0.895865,0.872438,0.006707,0,5.7641,5.2080,2000,27.00,0.0000,0.7279,
