arm,init,seed,eval,seconds,best_cv_mse
none,hot,0,0,0.0000,0.006256
none,hot,1,0,0.0000,0.005528
none,hot,2,0,0.0000,0.006182
none,hot,3,0,0.0000,0.005990
none,hot,4,0,0.0000,0.007497
none,hot,5,0,0.0000,0.006414
none,hot,6,0,0.0000,0.006464
none,hot,7,0,0.0000,0.006181
none,hot,8,0,0.0000,0.006707
none,hot,9,0,0.0000,0.006677
opt-ga,hot,0,0,0.0000,0.006256
opt-ga,hot,0,1,0.0761,0.005616
opt-ga,hot,0,57,0.8470,0.005496
opt-ga,hot,0,115,1.6375,0.005456
opt-ga,hot,0,165,2.3069,0.005335
opt-ga,hot,0,225,3.0902,0.005261
opt-ga,hot,0,294,3.9951,0.005259
opt-ga,hot,0,300,4.0755,0.005242
opt-ga,hot,0,370,5.0200,0.005225
opt-ga,hot,0,455,6.1300,0.005209
opt-ga,hot,0,457,6.1691,0.005171
opt-ga,hot,0,551,7.4429,0.005161
opt-ga,hot,0,582,7.8514,0.005139
opt-ga,hot,0,663,9.0385,0.005000
opt-ga,hot,0,919,12.7552,0.004913
opt-ga,hot,0,923,12.8091,0.004903
opt-ga,hot,0,1013,14.0190,0.004826
opt-ga,hot,0,1115,15.4131,0.004819
opt-ga,hot,0,1127,15.5882,0.004816
opt-ga,hot,0,1133,15.6653,0.004813
opt-ga,hot,0,1138,15.7302,0.004792
opt-ga,hot,0,1214,16.7297,0.004787
opt-ga,hot,0,1304,17.9498,0.004781
opt-ga,hot,0,1325,18.2282,0.004776
opt-ga,hot,0,1363,18.7514,0.004752
opt-ga,hot,0,1388,19.0901,0.004732
opt-ga,hot,0,1398,19.2262,0.004694
opt-ga,hot,0,1469,20.1512,0.004680
opt-ga,hot,0,1485,20.3719,0.004677
opt-ga,hot,0,1600,21.9273,0.004675
opt-ga,hot,0,1682,23.0100,0.004642
opt-ga,hot,0,1863,25.3781,0.004633
opt-ga,hot,0,1878,25.6233,0.004618
opt-ga,hot,0,1885,25.7836,0.004604
opt-ga,hot,0,1941,26.6471,0.004593
opt-ga,hot,0,1986,27.2379,0.004590
opt-ga,hot,0,1990,27.2907,0.004588
opt-ga,hot,1,0,0.0000,0.005528
opt-ga,hot,1,26,0.4202,0.005226
opt-ga,hot,1,211,2.9205,0.005189
opt-ga,hot,1,328,4.4099,0.005097
opt-ga,hot,1,406,5.4470,0.005034
opt-ga,hot,1,467,6.2712,0.004825
opt-ga,hot,1,642,8.6726,0.004822
opt-ga,hot,1,669,9.0411,0.004779
opt-ga,hot,1,735,9.9720,0.004776
opt-ga,hot,1,809,11.4361,0.004763
opt-ga,hot,1,815,11.5532,0.004725
opt-ga,hot,1,1001,14.4054,0.004722
opt-ga,hot,1,1006,14.4694,0.004709
opt-ga,hot,1,1029,14.7774,0.004708
opt-ga,hot,1,1039,14.9192,0.004673
opt-ga,hot,1,1066,15.3037,0.004669
opt-ga,hot,1,1116,16.0699,0.004633
opt-ga,hot,1,1125,16.1954,0.004590
opt-ga,hot,1,1206,17.2546,0.004589
opt-ga,hot,1,1243,17.7357,0.004572
opt-ga,hot,1,1308,18.6096,0.004537
