route,train rows,membership fns,test accuracy,identify (ms)
construction,"4,000",48,1.0000,504
construction,"16,000",52,0.9990,1162
construction,"40,000",48,0.9998,2106
construction,"96,000",48,0.9998,3178
construction,"188,636",48,0.9998,4292
classical-kmeans,"4,000",60,0.9930,25
classical-kmeans,"16,000",60,0.9928,67
classical-kmeans,"40,000",60,0.9927,105
classical-kmeans,"96,000",60,0.9963,261
classical-kmeans,"188,636",60,0.9960,540
classical-fcm,"4,000",60,0.9940,70
classical-fcm,"16,000",60,0.9915,196
classical-fcm,"40,000",60,0.9943,345
classical-fcm,"96,000",60,0.9962,1080
classical-fcm,"188,636",60,0.9959,2278
