route,seed,n_rows,components,n_features,n_mfs,accuracy,identify_s,screen_s
construction,0,4000,3,10,48,1.000000,0.429507,0.086103
classical-kmeans,0,4000,3,10,60,0.993000,0.017566,0.086103
classical-fcm,0,4000,3,10,60,0.995000,0.067443,0.086103
construction,0,16000,3,10,52,0.999000,1.016513,0.217433
classical-kmeans,0,16000,3,10,60,0.992750,0.050931,0.217433
classical-fcm,0,16000,3,10,60,0.991500,0.215533,0.217433
construction,0,40000,3,10,48,0.999800,1.703701,0.475947
classical-kmeans,0,40000,3,10,60,0.992700,0.105496,0.475947
classical-fcm,0,40000,3,10,60,0.995700,0.389412,0.475947
construction,0,96000,3,10,48,0.999833,1.901381,1.219777
classical-kmeans,0,96000,3,10,60,0.996292,0.253046,1.219777
classical-fcm,0,96000,3,10,60,0.996167,0.957874,1.219777
construction,0,188636,3,10,48,0.999788,2.007628,2.375706
classical-kmeans,0,188636,3,10,60,0.995971,0.558386,2.375706
classical-fcm,0,188636,3,10,60,0.995929,2.211391,2.375706
