route,train rows,membership fns,test accuracy,train (ms)
construction,"4,000",48 ± 0,0.9997 ± 0.0005,407 ± 10
construction,"16,000",49 ± 2,0.9988 ± 0.0006,905 ± 49
construction,"40,000",51 ± 2,0.9998 ± 0.0001,1776 ± 67
construction,"96,000",49 ± 2,0.9998 ± 0.0001,1957 ± 54
construction,"188,636",48,0.9997 ± 0.0000,2042 ± 41
classical-kmeans,"4,000",60,0.9940 ± 0.0008,16 ± 1
classical-kmeans,"16,000",60,0.9950 ± 0.0018,49 ± 6
classical-kmeans,"40,000",60,0.9937 ± 0.0007,113 ± 6
classical-kmeans,"96,000",60,0.9948 ± 0.0011,270 ± 21
classical-kmeans,"188,636",60,0.9951 ± 0.0015,554 ± 27
classical-fcm,"4,000",60,0.9957 ± 0.0009,59 ± 16
classical-fcm,"16,000",60,0.9949 ± 0.0025,164 ± 26
classical-fcm,"40,000",60,0.9936 ± 0.0015,465 ± 41
classical-fcm,"96,000",60,0.9954 ± 0.0010,1021 ± 108
classical-fcm,"188,636",60,0.9960 ± 0.0002,2590 ± 112
classical-kmeans-20k,"4,000",60,0.9940 ± 0.0008,16 ± 1
classical-kmeans-20k,"16,000",60,0.9950 ± 0.0018,43 ± 2
classical-kmeans-20k,"40,000",60,0.9948 ± 0.0008,99 ± 8
classical-kmeans-20k,"96,000",60,0.9954 ± 0.0011,111 ± 3
classical-kmeans-20k,"188,636",60,0.9941 ± 0.0030,123 ± 5
classical-fcm-20k,"4,000",60,0.9953 ± 0.0009,62 ± 12
classical-fcm-20k,"16,000",60,0.9959 ± 0.0023,177 ± 33
classical-fcm-20k,"40,000",60,0.9936 ± 0.0016,438 ± 69
classical-fcm-20k,"96,000",60,0.9957 ± 0.0012,499 ± 115
classical-fcm-20k,"188,636",60,0.9960 ± 0.0002,405 ± 38
