arm,init,seed,budget,obj,acc,acc_0,heuristic_acc,seconds
none,hot,0,125,0.009248,0.999771,0.999771,0.999771,0.032
none,hot,0,250,0.009248,0.999771,0.999771,0.999771,0.032
none,hot,0,500,0.009248,0.999771,0.999771,0.999771,0.032
none,hot,0,1000,0.009248,0.999771,0.999771,0.999771,0.032
none,hot,0,2000,0.009248,0.999771,0.999771,0.999771,0.032
scipy-lbfgsb,hot,0,125,0.009178,0.999771,0.999771,0.999771,3.846
scipy-lbfgsb,hot,0,250,0.003306,0.999833,0.999771,0.999771,7.651
scipy-lbfgsb,hot,0,500,0.001478,0.999812,0.999771,0.999771,15.323
scipy-lbfgsb,hot,0,1000,0.000832,0.999854,0.999771,0.999771,30.505
scipy-lbfgsb,hot,0,2000,0.000755,0.999833,0.999771,0.999771,60.951
scipy-powell,hot,0,125,0.001583,0.999812,0.999771,0.999771,3.766
scipy-powell,hot,0,250,0.001583,0.999812,0.999771,0.999771,7.527
scipy-powell,hot,0,500,0.001210,0.999854,0.999771,0.999771,15.060
scipy-powell,hot,0,1000,0.000898,0.999854,0.999771,0.999771,30.258
scipy-powell,hot,0,2000,0.000647,0.999875,0.999771,0.999771,60.692
scipy-de,hot,0,125,0.009248,0.999771,0.999771,0.999771,0.051
scipy-de,hot,0,250,0.009248,0.999771,0.999771,0.999771,0.051
scipy-de,hot,0,500,0.009248,0.999771,0.999771,0.999771,0.051
scipy-de,hot,0,1000,0.009248,0.999771,0.999771,0.999771,0.051
scipy-de,hot,0,2000,0.009248,0.999771,0.999771,0.999771,0.051
opt-ga,hot,0,125,0.009248,0.999771,0.999771,0.999771,2.404
opt-ga,hot,0,250,0.009248,0.999771,0.999771,0.999771,4.963
opt-ga,hot,0,500,0.003000,0.999771,0.999771,0.999771,10.879
opt-ga,hot,0,1000,0.001118,0.999812,0.999771,0.999771,25.936
opt-ga,hot,0,2000,0.000881,0.999833,0.999771,0.999771,55.848
opt-pso,hot,0,125,0.009248,0.999771,0.999771,0.999771,2.287
opt-pso,hot,0,250,0.009248,0.999771,0.999771,0.999771,4.573
opt-pso,hot,0,500,0.009248,0.999771,0.999771,0.999771,9.170
opt-pso,hot,0,1000,0.009248,0.999771,0.999771,0.999771,18.673
opt-pso,hot,0,2000,0.009248,0.999771,0.999771,0.999771,37.468
opt-aco,hot,0,125,0.009248,0.999771,0.999771,0.999771,2.387
opt-aco,hot,0,250,0.009248,0.999771,0.999771,0.999771,4.744
opt-aco,hot,0,500,0.008538,0.998958,0.999771,0.999771,9.482
opt-aco,hot,0,1000,0.008538,0.998958,0.999771,0.999771,18.902
opt-aco,hot,0,2000,0.002975,0.999354,0.999771,0.999771,37.766
opt-gd,hot,0,125,0.009214,0.999771,0.999771,0.999771,4.010
opt-gd,hot,0,250,0.009214,0.999771,0.999771,0.999771,7.889
opt-gd,hot,0,500,0.001597,0.999854,0.999771,0.999771,15.583
opt-gd,hot,0,1000,0.000966,0.999854,0.999771,0.999771,31.230
opt-gd,hot,0,2000,0.000758,0.999812,0.999771,0.999771,62.891
none,hot,1,125,0.008828,0.999854,0.999854,0.999854,0.034
none,hot,1,250,0.008828,0.999854,0.999854,0.999854,0.034
none,hot,1,500,0.008828,0.999854,0.999854,0.999854,0.034
none,hot,1,1000,0.008828,0.999854,0.999854,0.999854,0.034
none,hot,1,2000,0.008828,0.999854,0.999854,0.999854,0.034
scipy-lbfgsb,hot,1,125,0.008765,0.999854,0.999854,0.999854,3.983
scipy-lbfgsb,hot,1,250,0.003734,0.999854,0.999854,0.999854,7.782
scipy-lbfgsb,hot,1,500,0.001407,0.999812,0.999854,0.999854,15.434
scipy-lbfgsb,hot,1,1000,0.000883,0.999854,0.999854,0.999854,30.859
scipy-lbfgsb,hot,1,2000,0.000848,0.999854,0.999854,0.999854,61.532
scipy-powell,hot,1,125,0.001579,0.999812,0.999854,0.999854,3.803
scipy-powell,hot,1,250,0.001461,0.999854,0.999854,0.999854,7.539
scipy-powell,hot,1,500,0.001319,0.999854,0.999854,0.999854,15.090
scipy-powell,hot,1,1000,0.000988,0.999854,0.999854,0.999854,30.297
scipy-powell,hot,1,2000,0.000846,0.999875,0.999854,0.999854,60.728
scipy-de,hot,1,125,0.008828,0.999854,0.999854,0.999854,0.039
scipy-de,hot,1,250,0.008828,0.999854,0.999854,0.999854,0.039
scipy-de,hot,1,500,0.008828,0.999854,0.999854,0.999854,0.039
scipy-de,hot,1,1000,0.008828,0.999854,0.999854,0.999854,0.039
scipy-de,hot,1,2000,0.008828,0.999854,0.999854,0.999854,0.039
opt-ga,hot,1,125,0.008828,0.999854,0.999854,0.999854,2.303
opt-ga,hot,1,250,0.008828,0.999854,0.999854,0.999854,4.717
opt-ga,hot,1,500,0.004601,0.999500,0.999854,0.999854,10.386
opt-ga,hot,1,1000,0.001370,0.999854,0.999854,0.999854,24.804
opt-ga,hot,1,2000,0.000865,0.999771,0.999854,0.999854,55.648
opt-pso,hot,1,125,0.008828,0.999854,0.999854,0.999854,2.295
opt-pso,hot,1,250,0.008828,0.999854,0.999854,0.999854,4.459
opt-pso,hot,1,500,0.008828,0.999854,0.999854,0.999854,8.907
opt-pso,hot,1,1000,0.008828,0.999854,0.999854,0.999854,18.059
opt-pso,hot,1,2000,0.008828,0.999854,0.999854,0.999854,36.533
opt-aco,hot,1,125,0.008828,0.999854,0.999854,0.999854,2.208
opt-aco,hot,1,250,0.008828,0.999854,0.999854,0.999854,4.459
opt-aco,hot,1,500,0.008828,0.999854,0.999854,0.999854,8.891
opt-aco,hot,1,1000,0.008828,0.999854,0.999854,0.999854,17.970
opt-aco,hot,1,2000,0.006692,0.999271,0.999854,0.999854,36.558
opt-gd,hot,1,125,0.008796,0.999854,0.999854,0.999854,3.854
opt-gd,hot,1,250,0.008796,0.999854,0.999854,0.999854,7.644
opt-gd,hot,1,500,0.001517,0.999812,0.999854,0.999854,15.419
opt-gd,hot,1,1000,0.000959,0.999854,0.999854,0.999854,30.875
opt-gd,hot,1,2000,0.000878,0.999854,0.999854,0.999854,62.569
none,hot,2,125,0.011620,0.999250,0.999250,0.999250,0.031
none,hot,2,250,0.011620,0.999250,0.999250,0.999250,0.031
none,hot,2,500,0.011620,0.999250,0.999250,0.999250,0.031
none,hot,2,1000,0.011620,0.999250,0.999250,0.999250,0.031
none,hot,2,2000,0.011620,0.999250,0.999250,0.999250,0.031
scipy-lbfgsb,hot,2,125,0.011520,0.999354,0.999250,0.999250,3.944
scipy-lbfgsb,hot,2,250,0.003079,0.999625,0.999250,0.999250,7.852
scipy-lbfgsb,hot,2,500,0.001797,0.999667,0.999250,0.999250,16.020
scipy-lbfgsb,hot,2,1000,0.000671,0.999812,0.999250,0.999250,32.581
scipy-lbfgsb,hot,2,2000,0.000584,0.999812,0.999250,0.999250,65.191
scipy-powell,hot,2,125,0.002305,0.999667,0.999250,0.999250,3.911
scipy-powell,hot,2,250,0.002305,0.999667,0.999250,0.999250,7.811
scipy-powell,hot,2,500,0.000980,0.999750,0.999250,0.999250,15.631
scipy-powell,hot,2,1000,0.000696,0.999833,0.999250,0.999250,31.016
scipy-powell,hot,2,2000,0.000591,0.999833,0.999250,0.999250,62.305
scipy-de,hot,2,125,0.011620,0.999250,0.999250,0.999250,2.443
scipy-de,hot,2,250,0.011620,0.999250,0.999250,0.999250,4.955
scipy-de,hot,2,500,0.011620,0.999250,0.999250,0.999250,9.557
scipy-de,hot,2,1000,0.011620,0.999250,0.999250,0.999250,19.130
scipy-de,hot,2,2000,0.011620,0.999250,0.999250,0.999250,37.734
opt-ga,hot,2,125,0.010365,0.998979,0.999250,0.999250,2.430
opt-ga,hot,2,250,0.007772,0.999479,0.999250,0.999250,4.972
opt-ga,hot,2,500,0.005076,0.999313,0.999250,0.999250,11.512
opt-ga,hot,2,1000,0.001024,0.999750,0.999250,0.999250,26.374
opt-ga,hot,2,2000,0.000810,0.999812,0.999250,0.999250,56.629
opt-pso,hot,2,125,0.011620,0.999250,0.999250,0.999250,2.340
opt-pso,hot,2,250,0.011620,0.999250,0.999250,0.999250,4.656
opt-pso,hot,2,500,0.011620,0.999250,0.999250,0.999250,9.451
opt-pso,hot,2,1000,0.011620,0.999250,0.999250,0.999250,18.897
opt-pso,hot,2,2000,0.011620,0.999250,0.999250,0.999250,37.319
opt-aco,hot,2,125,0.011620,0.999250,0.999250,0.999250,2.298
opt-aco,hot,2,250,0.011620,0.999250,0.999250,0.999250,4.619
opt-aco,hot,2,500,0.011620,0.999250,0.999250,0.999250,9.125
opt-aco,hot,2,1000,0.008435,0.998833,0.999250,0.999250,17.997
opt-aco,hot,2,2000,0.008435,0.998833,0.999250,0.999250,35.285
opt-gd,hot,2,125,0.011574,0.999292,0.999250,0.999250,4.203
opt-gd,hot,2,250,0.011574,0.999292,0.999250,0.999250,8.338
opt-gd,hot,2,500,0.001837,0.999687,0.999250,0.999250,16.544
opt-gd,hot,2,1000,0.000816,0.999833,0.999250,0.999250,32.664
opt-gd,hot,2,2000,0.000608,0.999771,0.999250,0.999250,64.212
none,hot,3,125,0.010282,0.999708,0.999708,0.999708,0.032
none,hot,3,250,0.010282,0.999708,0.999708,0.999708,0.032
none,hot,3,500,0.010282,0.999708,0.999708,0.999708,0.032
