arm,init,seed,n_train,n_test,n_params,n_mfs,obj_0,obj,improvement,beat_start,acc_0,acc,errors_0,errors,heuristic_acc,heuristic_obj,evals_to_heuristic,seconds_to_heuristic,evals,seconds,construction_seconds,screen_seconds,init_seconds,error
none,hot,0,16000,48000,100,50,0.009248,0.009248,0.000000,0,0.999771,0.999771,11,11,0.999771,0.009248,0,0.0000,0,0.324,0.127091,0.206158,0.000000,
scipy-lbfgsb,hot,0,16000,48000,100,50,0.009248,0.000755,0.918338,1,0.999771,0.999833,11,8,0.999771,0.009248,0,0.0000,2000,61.236,0.127091,0.206158,0.000000,
scipy-powell,hot,0,16000,48000,100,50,0.009248,0.000647,0.929998,1,0.999771,0.999875,11,6,0.999771,0.009248,0,0.0000,2000,60.993,0.127091,0.206158,0.000000,
scipy-de,hot,0,16000,48000,100,50,0.009248,0.009248,0.000000,0,0.999771,0.999771,11,11,0.999771,0.009248,0,0.0000,0,0.361,0.127091,0.206158,0.000000,ValueError: Some entries in x0 lay outside the specified bounds
opt-ga,hot,0,16000,48000,100,50,0.009248,0.000881,0.904710,1,0.999771,0.999833,11,8,0.999771,0.009248,0,0.0000,2000,56.127,0.127091,0.206158,0.000000,
opt-pso,hot,0,16000,48000,100,50,0.009248,0.009248,0.000000,0,0.999771,0.999771,11,11,0.999771,0.009248,0,0.0000,2000,37.756,0.127091,0.206158,0.000000,
opt-aco,hot,0,16000,48000,100,50,0.009248,0.002975,0.678260,1,0.999771,0.999354,11,31,0.999771,0.009248,0,0.0000,2000,37.971,0.127091,0.206158,0.000000,
opt-gd,hot,0,16000,48000,100,50,0.009248,0.000758,0.917990,1,0.999771,0.999812,11,9,0.999771,0.009248,0,0.0000,2000,63.203,0.127091,0.206158,0.000000,
none,hot,1,16000,48000,100,50,0.008828,0.008828,0.000000,0,0.999854,0.999854,7,7,0.999854,0.008828,0,0.0000,0,0.342,0.118922,0.217673,0.000000,
scipy-lbfgsb,hot,1,16000,48000,100,50,0.008828,0.000848,0.903954,1,0.999854,0.999854,7,7,0.999854,0.008828,0,0.0000,2000,61.844,0.118922,0.217673,0.000000,
scipy-powell,hot,1,16000,48000,100,50,0.008828,0.000846,0.904225,1,0.999854,0.999875,7,6,0.999854,0.008828,0,0.0000,2000,61.069,0.118922,0.217673,0.000000,
scipy-de,hot,1,16000,48000,100,50,0.008828,0.008828,0.000000,0,0.999854,0.999854,7,7,0.999854,0.008828,0,0.0000,0,0.387,0.118922,0.217673,0.000000,ValueError: Some entries in x0 lay outside the specified bounds
opt-ga,hot,1,16000,48000,100,50,0.008828,0.000865,0.902000,1,0.999854,0.999771,7,11,0.999854,0.008828,0,0.0000,2000,55.924,0.118922,0.217673,0.000000,
opt-pso,hot,1,16000,48000,100,50,0.008828,0.008828,0.000000,0,0.999854,0.999854,7,7,0.999854,0.008828,0,0.0000,2000,36.828,0.118922,0.217673,0.000000,
opt-aco,hot,1,16000,48000,100,50,0.008828,0.006692,0.241938,1,0.999854,0.999271,7,35,0.999854,0.008828,0,0.0000,2000,36.804,0.118922,0.217673,0.000000,
opt-gd,hot,1,16000,48000,100,50,0.008828,0.000878,0.900576,1,0.999854,0.999854,7,7,0.999854,0.008828,0,0.0000,2000,62.883,0.118922,0.217673,0.000000,
none,hot,2,16000,48000,100,50,0.011620,0.011620,0.000000,0,0.999250,0.999250,36,36,0.999250,0.011620,0,0.0000,0,0.342,0.105659,0.185317,0.000000,
scipy-lbfgsb,hot,2,16000,48000,100,50,0.011620,0.000584,0.949779,1,0.999250,0.999812,36,9,0.999250,0.011620,0,0.0000,2000,65.518,0.105659,0.185317,0.000000,
scipy-powell,hot,2,16000,48000,100,50,0.011620,0.000591,0.949161,1,0.999250,0.999833,36,8,0.999250,0.011620,0,0.0000,2000,62.620,0.105659,0.185317,0.000000,
scipy-de,hot,2,16000,48000,100,50,0.011620,0.011620,0.000000,0,0.999250,0.999250,36,36,0.999250,0.011620,0,0.0000,2000,38.059,0.105659,0.185317,0.000000,
opt-ga,hot,2,16000,48000,100,50,0.011620,0.000810,0.930302,1,0.999250,0.999812,36,9,0.999250,0.011620,0,0.0000,2000,56.929,0.105659,0.185317,0.000000,
opt-pso,hot,2,16000,48000,100,50,0.011620,0.011620,0.000000,0,0.999250,0.999250,36,36,0.999250,0.011620,0,0.0000,2000,37.627,0.105659,0.185317,0.000000,
opt-aco,hot,2,16000,48000,100,50,0.011620,0.008435,0.274115,1,0.999250,0.998833,36,56,0.999250,0.011620,0,0.0000,2000,35.526,0.105659,0.185317,0.000000,
opt-gd,hot,2,16000,48000,100,50,0.011620,0.000608,0.947711,1,0.999250,0.999771,36,11,0.999250,0.011620,0,0.0000,2000,64.527,0.105659,0.185317,0.000000,
none,hot,3,16000,48000,100,50,0.010282,0.010282,0.000000,0,0.999708,0.999708,14,14,0.999708,0.010282,0,0.0000,0,0.340,0.112161,0.198154,0.000000,
scipy-lbfgsb,hot,3,16000,48000,100,50,0.010282,0.000598,0.941806,1,0.999708,0.999833,14,8,0.999708,0.010282,0,0.0000,2000,62.233,0.112161,0.198154,0.000000,
scipy-powell,hot,3,16000,48000,100,50,0.010282,0.000591,0.942475,1,0.999708,0.999854,14,7,0.999708,0.010282,0,0.0000,2000,59.960,0.112161,0.198154,0.000000,
scipy-de,hot,3,16000,48000,100,50,0.010282,0.010282,0.000000,0,0.999708,0.999708,14,14,0.999708,0.010282,0,0.0000,2000,37.603,0.112161,0.198154,0.000000,
opt-ga,hot,3,16000,48000,100,50,0.010282,0.000668,0.934989,1,0.999708,0.999833,14,8,0.999708,0.010282,0,0.0000,2000,55.749,0.112161,0.198154,0.000000,
opt-pso,hot,3,16000,48000,100,50,0.010282,0.010282,0.000000,0,0.999708,0.999708,14,14,0.999708,0.010282,0,0.0000,2000,38.160,0.112161,0.198154,0.000000,
opt-aco,hot,3,16000,48000,100,50,0.010282,0.006309,0.386390,1,0.999708,0.999604,14,19,0.999708,0.010282,0,0.0000,2000,37.779,0.112161,0.198154,0.000000,
opt-gd,hot,3,16000,48000,100,50,0.010282,0.000602,0.941436,1,0.999708,0.999833,14,8,0.999708,0.010282,0,0.0000,2000,62.914,0.112161,0.198154,0.000000,
none,hot,4,16000,48000,98,49,0.015801,0.015801,0.000000,0,0.998833,0.998833,56,56,0.998833,0.015801,0,0.0000,0,0.333,0.118399,0.195431,0.000000,
scipy-lbfgsb,hot,4,16000,48000,98,49,0.015801,0.001495,0.905362,1,0.998833,0.999812,56,9,0.998833,0.015801,0,0.0000,2000,63.372,0.118399,0.195431,0.000000,
scipy-powell,hot,4,16000,48000,98,49,0.015801,0.001144,0.927570,1,0.998833,0.999812,56,9,0.998833,0.015801,0,0.0000,2000,60.287,0.118399,0.195431,0.000000,
scipy-de,hot,4,16000,48000,98,49,0.015801,0.015801,0.000000,0,0.998833,0.998833,56,56,0.998833,0.015801,0,0.0000,2000,37.771,0.118399,0.195431,0.000000,
opt-ga,hot,4,16000,48000,98,49,0.015801,0.012728,0.194492,1,0.998833,0.999812,56,9,0.998833,0.015801,0,0.0000,2000,38.803,0.118399,0.195431,0.000000,
opt-pso,hot,4,16000,48000,98,49,0.015801,0.015801,0.000000,0,0.998833,0.998833,56,56,0.998833,0.015801,0,0.0000,2000,38.659,0.118399,0.195431,0.000000,
opt-aco,hot,4,16000,48000,98,49,0.015801,0.015801,0.000000,0,0.998833,0.998833,56,56,0.998833,0.015801,0,0.0000,2000,37.197,0.118399,0.195431,0.000000,
opt-gd,hot,4,16000,48000,98,49,0.015801,0.002327,0.852752,1,0.998833,0.999812,56,9,0.998833,0.015801,0,0.0000,2000,62.007,0.118399,0.195431,0.000000,
none,hot,5,16000,48000,98,49,0.011508,0.011508,0.000000,0,0.999583,0.999583,20,20,0.999583,0.011508,0,0.0000,0,0.338,0.108350,0.195544,0.000000,
scipy-lbfgsb,hot,5,16000,48000,98,49,0.011508,0.000310,0.973055,1,0.999583,0.999750,20,12,0.999583,0.011508,0,0.0000,2000,65.526,0.108350,0.195544,0.000000,
scipy-powell,hot,5,16000,48000,98,49,0.011508,0.000426,0.962994,1,0.999583,0.999833,20,8,0.999583,0.011508,0,0.0000,2000,62.269,0.108350,0.195544,0.000000,
scipy-de,hot,5,16000,48000,98,49,0.011508,0.011508,0.000000,0,0.999583,0.999583,20,20,0.999583,0.011508,0,0.0000,0,0.339,0.108350,0.195544,0.000000,ValueError: Some entries in x0 lay outside the specified bounds
opt-ga,hot,5,16000,48000,98,49,0.011508,0.000502,0.956392,1,0.999583,0.999792,20,10,0.999583,0.011508,0,0.0000,2000,55.158,0.108350,0.195544,0.000000,
opt-pso,hot,5,16000,48000,98,49,0.011508,0.011508,0.000000,0,0.999583,0.999583,20,20,0.999583,0.011508,0,0.0000,2000,38.006,0.108350,0.195544,0.000000,
opt-aco,hot,5,16000,48000,98,49,0.011508,0.011508,0.000000,0,0.999583,0.999583,20,20,0.999583,0.011508,0,0.0000,2000,38.055,0.108350,0.195544,0.000000,
opt-gd,hot,5,16000,48000,98,49,0.011508,0.000357,0.969008,1,0.999583,0.999771,20,11,0.999583,0.011508,0,0.0000,2000,64.769,0.108350,0.195544,0.000000,
none,hot,6,16000,48000,92,46,0.013122,0.013122,0.000000,0,0.999625,0.999625,18,18,0.999625,0.013122,0,0.0000,0,0.347,0.109547,0.191867,0.000000,
scipy-lbfgsb,hot,6,16000,48000,92,46,0.013122,0.000340,0.974107,1,0.999625,0.999812,18,9,0.999625,0.013122,0,0.0000,2000,63.147,0.109547,0.191867,0.000000,
scipy-powell,hot,6,16000,48000,92,46,0.013122,0.000379,0.971085,1,0.999625,0.999792,18,10,0.999625,0.013122,0,0.0000,2000,63.362,0.109547,0.191867,0.000000,
scipy-de,hot,6,16000,48000,92,46,0.013122,0.013122,0.000000,0,0.999625,0.999625,18,18,0.999625,0.013122,0,0.0000,2000,38.121,0.109547,0.191867,0.000000,
opt-ga,hot,6,16000,48000,92,46,0.013122,0.000582,0.955682,1,0.999625,0.999771,18,11,0.999625,0.013122,0,0.0000,2000,53.622,0.109547,0.191867,0.000000,
opt-pso,hot,6,16000,48000,92,46,0.013122,0.013122,0.000000,0,0.999625,0.999625,18,18,0.999625,0.013122,0,0.0000,2000,36.912,0.109547,0.191867,0.000000,
opt-aco,hot,6,16000,48000,92,46,0.013122,0.010923,0.167551,1,0.999625,0.999687,18,15,0.999625,0.013122,0,0.0000,2000,37.890,0.109547,0.191867,0.000000,
opt-gd,hot,6,16000,48000,92,46,0.013122,0.000352,0.973212,1,0.999625,0.999812,18,9,0.999625,0.013122,0,0.0000,2000,62.800,0.109547,0.191867,0.000000,
none,hot,7,16000,48000,100,50,0.010203,0.010203,0.000000,0,0.999854,0.999854,7,7,0.999854,0.010203,0,0.0000,0,0.366,0.125753,0.192001,0.000000,
scipy-lbfgsb,hot,7,16000,48000,100,50,0.010203,0.000695,0.931889,1,0.999854,0.999875,7,6,0.999854,0.010203,0,0.0000,2000,63.466,0.125753,0.192001,0.000000,
scipy-powell,hot,7,16000,48000,100,50,0.010203,0.000657,0.935622,1,0.999854,0.999875,7,6,0.999854,0.010203,0,0.0000,2000,60.627,0.125753,0.192001,0.000000,
scipy-de,hot,7,16000,48000,100,50,0.010203,0.010203,0.000000,0,0.999854,0.999854,7,7,0.999854,0.010203,0,0.0000,2000,36.931,0.125753,0.192001,0.000000,
opt-ga,hot,7,16000,48000,100,50,0.010203,0.000992,0.902753,1,0.999854,0.999792,7,10,0.999854,0.010203,0,0.0000,2000,54.615,0.125753,0.192001,0.000000,
opt-pso,hot,7,16000,48000,100,50,0.010203,0.010203,0.000000,0,0.999854,0.999854,7,7,0.999854,0.010203,0,0.0000,2000,37.935,0.125753,0.192001,0.000000,
opt-aco,hot,7,16000,48000,100,50,0.010203,0.010203,0.000000,0,0.999854,0.999854,7,7,0.999854,0.010203,0,0.0000,2000,38.879,0.125753,0.192001,0.000000,
opt-gd,hot,7,16000,48000,100,50,0.010203,0.000693,0.932049,1,0.999854,0.999875,7,6,0.999854,0.010203,0,0.0000,2000,63.237,0.125753,0.192001,0.000000,
none,hot,8,16000,48000,100,50,0.011041,0.011041,0.000000,0,0.999854,0.999854,7,7,0.999854,0.011041,0,0.0000,0,0.336,0.115924,0.204325,0.000000,
scipy-lbfgsb,hot,8,16000,48000,100,50,0.011041,0.000796,0.927909,1,0.999854,0.999854,7,7,0.999854,0.011041,0,0.0000,2000,63.852,0.115924,0.204325,0.000000,
scipy-powell,hot,8,16000,48000,100,50,0.011041,0.000778,0.929550,1,0.999854,0.999875,7,6,0.999854,0.011041,0,0.0000,2000,62.387,0.115924,0.204325,0.000000,
scipy-de,hot,8,16000,48000,100,50,0.011041,0.011041,0.000000,0,0.999854,0.999854,7,7,0.999854,0.011041,0,0.0000,2000,37.726,0.115924,0.204325,0.000000,
opt-ga,hot,8,16000,48000,100,50,0.011041,0.000844,0.923598,1,0.999854,0.999854,7,7,0.999854,0.011041,0,0.0000,2000,55.860,0.115924,0.204325,0.000000,
opt-pso,hot,8,16000,48000,100,50,0.011041,0.011041,0.000000,0,0.999854,0.999854,7,7,0.999854,0.011041,0,0.0000,2000,38.614,0.115924,0.204325,0.000000,
opt-aco,hot,8,16000,48000,100,50,0.011041,0.008724,0.209842,1,0.999854,0.999458,7,26,0.999854,0.011041,0,0.0000,2000,38.112,0.115924,0.204325,0.000000,
opt-gd,hot,8,16000,48000,100,50,0.011041,0.000824,0.925378,1,0.999854,0.999854,7,7,0.999854,0.011041,0,0.0000,2000,62.536,0.115924,0.204325,0.000000,
none,hot,9,16000,48000,92,46,0.013512,0.013512,0.000000,0,0.999917,0.999917,4,4,0.999917,0.013512,0,0.0000,0,0.352,0.095851,0.184222,0.000000,
scipy-lbfgsb,hot,9,16000,48000,92,46,0.013512,0.001541,0.885928,1,0.999917,0.999917,4,4,0.999917,0.013512,0,0.0000,2000,64.734,0.095851,0.184222,0.000000,
scipy-powell,hot,9,16000,48000,92,46,0.013512,0.001583,0.882815,1,0.999917,0.999917,4,4,0.999917,0.013512,0,0.0000,2000,64.140,0.095851,0.184222,0.000000,
scipy-de,hot,9,16000,48000,92,46,0.013512,0.013512,0.000000,0,0.999917,0.999917,4,4,0.999917,0.013512,0,0.0000,2000,38.759,0.095851,0.184222,0.000000,
opt-ga,hot,9,16000,48000,92,46,0.013512,0.013512,0.000000,0,0.999917,0.999917,4,4,0.999917,0.013512,0,0.0000,2000,36.629,0.095851,0.184222,0.000000,
opt-pso,hot,9,16000,48000,92,46,0.013512,0.013512,0.000000,0,0.999917,0.999917,4,4,0.999917,0.013512,0,0.0000,2000,37.505,0.095851,0.184222,0.000000,
opt-aco,hot,9,16000,48000,92,46,0.013512,0.008145,0.397210,1,0.999917,0.999687,4,15,0.999917,0.013512,0,0.0000,2000,37.369,0.095851,0.184222,0.000000,
opt-gd,hot,9,16000,48000,92,46,0.013512,0.001576,0.883399,1,0.999917,0.999917,4,4,0.999917,0.013512,0,0.0000,2000,65.942,0.095851,0.184222,0.000000,
