arm,init,seed,eval,seconds,best_obj
none,hot,0,0,0.0000,0.009248
scipy-lbfgsb,hot,0,0,0.0000,0.009248
scipy-lbfgsb,hot,0,12,0.4221,0.009248
scipy-lbfgsb,hot,0,14,0.4811,0.009248
scipy-lbfgsb,hot,0,22,0.7183,0.009248
scipy-lbfgsb,hot,0,58,1.8141,0.009247
scipy-lbfgsb,hot,0,102,3.1481,0.009179
scipy-lbfgsb,hot,0,113,3.4814,0.009178
scipy-lbfgsb,hot,0,129,3.9778,0.009178
scipy-lbfgsb,hot,0,153,4.7176,0.009178
scipy-lbfgsb,hot,0,203,6.2210,0.003306
scipy-lbfgsb,hot,0,214,6.5517,0.003306
scipy-lbfgsb,hot,0,230,7.0443,0.003306
scipy-lbfgsb,hot,0,254,7.7751,0.003305
scipy-lbfgsb,hot,0,405,12.4238,0.001484
scipy-lbfgsb,hot,0,408,12.5207,0.001484
scipy-lbfgsb,hot,0,409,12.5519,0.001484
scipy-lbfgsb,hot,0,417,12.7979,0.001484
scipy-lbfgsb,hot,0,433,13.2890,0.001484
scipy-lbfgsb,hot,0,457,14.0266,0.001484
scipy-lbfgsb,hot,0,462,14.1795,0.001482
scipy-lbfgsb,hot,0,463,14.2092,0.001478
scipy-lbfgsb,hot,0,506,15.5015,0.001088
scipy-lbfgsb,hot,0,515,15.7718,0.001088
scipy-lbfgsb,hot,0,518,15.8636,0.001088
scipy-lbfgsb,hot,0,534,16.3498,0.001088
scipy-lbfgsb,hot,0,558,17.0898,0.001088
scipy-lbfgsb,hot,0,603,18.4424,0.001088
scipy-lbfgsb,hot,0,604,18.4739,0.001088
scipy-lbfgsb,hot,0,607,18.5635,0.000997
scipy-lbfgsb,hot,0,610,18.6526,0.000997
scipy-lbfgsb,hot,0,611,18.6823,0.000997
scipy-lbfgsb,hot,0,619,18.9190,0.000997
scipy-lbfgsb,hot,0,635,19.3950,0.000997
scipy-lbfgsb,hot,0,659,20.1104,0.000997
scipy-lbfgsb,hot,0,664,20.2607,0.000997
scipy-lbfgsb,hot,0,665,20.2903,0.000997
scipy-lbfgsb,hot,0,704,21.4619,0.000996
scipy-lbfgsb,hot,0,705,21.4918,0.000996
scipy-lbfgsb,hot,0,708,21.5818,0.000946
scipy-lbfgsb,hot,0,711,21.6744,0.000946
scipy-lbfgsb,hot,0,712,21.7044,0.000946
scipy-lbfgsb,hot,0,720,21.9464,0.000946
scipy-lbfgsb,hot,0,736,22.4407,0.000946
scipy-lbfgsb,hot,0,760,23.1787,0.000946
scipy-lbfgsb,hot,0,765,23.3374,0.000946
scipy-lbfgsb,hot,0,805,24.5708,0.000946
scipy-lbfgsb,hot,0,806,24.6026,0.000946
scipy-lbfgsb,hot,0,809,24.6932,0.000869
scipy-lbfgsb,hot,0,812,24.7840,0.000869
scipy-lbfgsb,hot,0,813,24.8142,0.000869
scipy-lbfgsb,hot,0,858,26.1868,0.000869
scipy-lbfgsb,hot,0,866,26.4309,0.000869
scipy-lbfgsb,hot,0,910,27.7735,0.000832
scipy-lbfgsb,hot,0,913,27.8646,0.000832
scipy-lbfgsb,hot,0,914,27.8953,0.000832
scipy-lbfgsb,hot,0,919,28.0460,0.000832
scipy-lbfgsb,hot,0,935,28.5332,0.000832
scipy-lbfgsb,hot,0,959,29.2643,0.000832
scipy-lbfgsb,hot,0,967,29.5076,0.000832
scipy-lbfgsb,hot,0,1011,30.8499,0.000801
scipy-lbfgsb,hot,0,1014,30.9441,0.000801
scipy-lbfgsb,hot,0,1015,30.9796,0.000801
scipy-lbfgsb,hot,0,1020,31.1564,0.000801
scipy-lbfgsb,hot,0,1036,31.6455,0.000801
scipy-lbfgsb,hot,0,1060,32.3957,0.000801
scipy-lbfgsb,hot,0,1213,37.1663,0.000763
scipy-lbfgsb,hot,0,1216,37.2601,0.000763
scipy-lbfgsb,hot,0,1217,37.2917,0.000763
scipy-lbfgsb,hot,0,1222,37.4475,0.000763
scipy-lbfgsb,hot,0,1238,37.9476,0.000763
scipy-lbfgsb,hot,0,1262,38.6928,0.000763
scipy-lbfgsb,hot,0,1415,43.3651,0.000762
scipy-lbfgsb,hot,0,1418,43.4557,0.000762
scipy-lbfgsb,hot,0,1419,43.4858,0.000762
scipy-lbfgsb,hot,0,1424,43.6350,0.000762
scipy-lbfgsb,hot,0,1440,44.1091,0.000762
scipy-lbfgsb,hot,0,1464,44.8153,0.000762
scipy-lbfgsb,hot,0,1617,49.4244,0.000758
scipy-lbfgsb,hot,0,1627,49.7300,0.000758
scipy-lbfgsb,hot,0,1643,50.2122,0.000758
scipy-lbfgsb,hot,0,1667,50.9308,0.000758
scipy-lbfgsb,hot,0,1718,52.4884,0.000756
scipy-lbfgsb,hot,0,1721,52.5779,0.000756
scipy-lbfgsb,hot,0,1722,52.6081,0.000756
scipy-lbfgsb,hot,0,1727,52.7566,0.000756
scipy-lbfgsb,hot,0,1743,53.2372,0.000756
scipy-lbfgsb,hot,0,1767,53.9625,0.000756
scipy-lbfgsb,hot,0,1819,55.5224,0.000756
scipy-lbfgsb,hot,0,1822,55.6114,0.000756
scipy-lbfgsb,hot,0,1823,55.6410,0.000756
scipy-lbfgsb,hot,0,1828,55.7890,0.000756
scipy-lbfgsb,hot,0,1844,56.2623,0.000756
scipy-lbfgsb,hot,0,1868,56.9703,0.000756
scipy-lbfgsb,hot,0,1920,58.5268,0.000755
scipy-lbfgsb,hot,0,1930,58.8248,0.000755
scipy-lbfgsb,hot,0,1933,58.9146,0.000755
scipy-lbfgsb,hot,0,1941,59.1540,0.000755
scipy-powell,hot,0,0,0.0000,0.009248
scipy-powell,hot,0,94,2.8374,0.002567
scipy-powell,hot,0,97,2.9278,0.002053
scipy-powell,hot,0,98,2.9579,0.001811
scipy-powell,hot,0,99,2.9880,0.001583
scipy-powell,hot,0,102,3.0773,0.001583
scipy-powell,hot,0,103,3.1076,0.001583
scipy-powell,hot,0,104,3.1373,0.001583
scipy-powell,hot,0,105,3.1676,0.001583
scipy-powell,hot,0,106,3.1979,0.001583
scipy-powell,hot,0,119,3.5867,0.001583
scipy-powell,hot,0,120,3.6164,0.001583
scipy-powell,hot,0,121,3.6463,0.001583
scipy-powell,hot,0,122,3.6764,0.001583
scipy-powell,hot,0,123,3.7060,0.001583
scipy-powell,hot,0,124,3.7359,0.001583
scipy-powell,hot,0,128,3.8588,0.001583
scipy-powell,hot,0,135,4.0697,0.001583
scipy-powell,hot,0,136,4.1002,0.001583
