arm,init,seed,budget,obj,acc,acc_0,heuristic_acc,seconds
none,hot,0,125,0.009248,0.999771,0.999771,0.999771,0.029
none,hot,0,250,0.009248,0.999771,0.999771,0.999771,0.029
none,hot,0,500,0.009248,0.999771,0.999771,0.999771,0.029
none,hot,0,1000,0.009248,0.999771,0.999771,0.999771,0.029
none,hot,0,2000,0.009248,0.999771,0.999771,0.999771,0.029
scipy-lbfgsb,hot,0,125,0.009178,0.999771,0.999771,0.999771,3.665
scipy-lbfgsb,hot,0,250,0.003306,0.999833,0.999771,0.999771,7.274
scipy-lbfgsb,hot,0,500,0.001478,0.999812,0.999771,0.999771,14.642
scipy-lbfgsb,hot,0,1000,0.000832,0.999854,0.999771,0.999771,29.572
scipy-lbfgsb,hot,0,2000,0.000755,0.999833,0.999771,0.999771,60.456
scipy-powell,hot,0,125,0.001583,0.999812,0.999771,0.999771,4.022
scipy-powell,hot,0,250,0.001583,0.999812,0.999771,0.999771,8.067
scipy-powell,hot,0,500,0.001210,0.999854,0.999771,0.999771,15.764
scipy-powell,hot,0,1000,0.000898,0.999854,0.999771,0.999771,30.957
scipy-powell,hot,0,2000,0.000647,0.999875,0.999771,0.999771,61.239
scipy-de,hot,0,125,0.009248,0.999771,0.999771,0.999771,0.047
scipy-de,hot,0,250,0.009248,0.999771,0.999771,0.999771,0.047
scipy-de,hot,0,500,0.009248,0.999771,0.999771,0.999771,0.047
scipy-de,hot,0,1000,0.009248,0.999771,0.999771,0.999771,0.047
scipy-de,hot,0,2000,0.009248,0.999771,0.999771,0.999771,0.047
opt-ga,hot,0,125,0.009248,0.999771,0.999771,0.999771,2.332
opt-ga,hot,0,250,0.009248,0.999771,0.999771,0.999771,4.842
opt-ga,hot,0,500,0.003000,0.999771,0.999771,0.999771,10.598
opt-ga,hot,0,1000,0.001118,0.999812,0.999771,0.999771,25.369
opt-ga,hot,0,2000,0.000881,0.999833,0.999771,0.999771,56.583
opt-pso,hot,0,125,0.009248,0.999771,0.999771,0.999771,2.298
opt-pso,hot,0,250,0.009248,0.999771,0.999771,0.999771,4.724
opt-pso,hot,0,500,0.009248,0.999771,0.999771,0.999771,10.061
opt-pso,hot,0,1000,0.009248,0.999771,0.999771,0.999771,20.372
opt-pso,hot,0,2000,0.009248,0.999771,0.999771,0.999771,39.748
opt-aco,hot,0,125,0.009248,0.999771,0.999771,0.999771,2.508
opt-aco,hot,0,250,0.009248,0.999771,0.999771,0.999771,4.890
opt-aco,hot,0,500,0.008538,0.998958,0.999771,0.999771,9.698
opt-aco,hot,0,1000,0.008538,0.998958,0.999771,0.999771,19.128
opt-aco,hot,0,2000,0.002975,0.999354,0.999771,0.999771,38.327
opt-gd,hot,0,125,0.009214,0.999771,0.999771,0.999771,3.919
opt-gd,hot,0,250,0.009214,0.999771,0.999771,0.999771,7.671
opt-gd,hot,0,500,0.001597,0.999854,0.999771,0.999771,15.218
opt-gd,hot,0,1000,0.000966,0.999854,0.999771,0.999771,30.584
opt-gd,hot,0,2000,0.000758,0.999812,0.999771,0.999771,61.365
none,hot,1,125,0.008828,0.999854,0.999854,0.999854,0.030
none,hot,1,250,0.008828,0.999854,0.999854,0.999854,0.030
none,hot,1,500,0.008828,0.999854,0.999854,0.999854,0.030
none,hot,1,1000,0.008828,0.999854,0.999854,0.999854,0.030
none,hot,1,2000,0.008828,0.999854,0.999854,0.999854,0.030
scipy-lbfgsb,hot,1,125,0.008765,0.999854,0.999854,0.999854,3.892
scipy-lbfgsb,hot,1,250,0.003734,0.999854,0.999854,0.999854,7.680
scipy-lbfgsb,hot,1,500,0.001407,0.999812,0.999854,0.999854,15.570
scipy-lbfgsb,hot,1,1000,0.000883,0.999854,0.999854,0.999854,31.108
scipy-lbfgsb,hot,1,2000,0.000848,0.999854,0.999854,0.999854,61.766
scipy-powell,hot,1,125,0.001579,0.999812,0.999854,0.999854,3.806
scipy-powell,hot,1,250,0.001461,0.999854,0.999854,0.999854,7.617
scipy-powell,hot,1,500,0.001319,0.999854,0.999854,0.999854,15.247
scipy-powell,hot,1,1000,0.000988,0.999854,0.999854,0.999854,30.521
scipy-powell,hot,1,2000,0.000846,0.999875,0.999854,0.999854,60.948
scipy-de,hot,1,125,0.008828,0.999854,0.999854,0.999854,0.047
scipy-de,hot,1,250,0.008828,0.999854,0.999854,0.999854,0.047
scipy-de,hot,1,500,0.008828,0.999854,0.999854,0.999854,0.047
scipy-de,hot,1,1000,0.008828,0.999854,0.999854,0.999854,0.047
scipy-de,hot,1,2000,0.008828,0.999854,0.999854,0.999854,0.047
opt-ga,hot,1,125,0.008828,0.999854,0.999854,0.999854,2.258
opt-ga,hot,1,250,0.008828,0.999854,0.999854,0.999854,4.625
opt-ga,hot,1,500,0.004601,0.999500,0.999854,0.999854,10.216
opt-ga,hot,1,1000,0.001370,0.999854,0.999854,0.999854,24.470
opt-ga,hot,1,2000,0.000865,0.999771,0.999854,0.999854,54.669
opt-pso,hot,1,125,0.008828,0.999854,0.999854,0.999854,2.248
opt-pso,hot,1,250,0.008828,0.999854,0.999854,0.999854,4.601
opt-pso,hot,1,500,0.008828,0.999854,0.999854,0.999854,9.497
