arm,init,seed,n_train,n_params,n_mfs,obj_0,obj,improvement,beat_start,acc_0,acc,heuristic_acc,heuristic_obj,evals_to_heuristic,seconds_to_heuristic,evals,seconds,construction_seconds,screen_seconds,init_seconds,error
none,hot,0,16000,100,50,0.009248,0.009248,0.000000,0,0.999771,0.999771,0.999771,0.009248,0,0.0000,0,0.325,0.123799,0.196485,0.000000,
scipy-lbfgsb,hot,0,16000,100,50,0.009248,0.000755,0.918338,1,0.999771,0.999833,0.999771,0.009248,0,0.0000,2000,60.771,0.123799,0.196485,0.000000,
scipy-powell,hot,0,16000,100,50,0.009248,0.000647,0.929998,1,0.999771,0.999875,0.999771,0.009248,0,0.0000,2000,61.533,0.123799,0.196485,0.000000,
scipy-de,hot,0,16000,100,50,0.009248,0.009248,0.000000,0,0.999771,0.999771,0.999771,0.009248,0,0.0000,0,0.342,0.123799,0.196485,0.000000,ValueError: Some entries in x0 lay outside the specified bounds
opt-ga,hot,0,16000,100,50,0.009248,0.000881,0.904710,1,0.999771,0.999833,0.999771,0.009248,0,0.0000,2000,56.865,0.123799,0.196485,0.000000,
opt-pso,hot,0,16000,100,50,0.009248,0.009248,0.000000,0,0.999771,0.999771,0.999771,0.009248,0,0.0000,2000,40.095,0.123799,0.196485,0.000000,
opt-aco,hot,0,16000,100,50,0.009248,0.002975,0.678260,1,0.999771,0.999354,0.999771,0.009248,0,0.0000,2000,38.525,0.123799,0.196485,0.000000,
opt-gd,hot,0,16000,100,50,0.009248,0.000758,0.917990,1,0.999771,0.999812,0.999771,0.009248,0,0.0000,2000,61.665,0.123799,0.196485,0.000000,
none,hot,1,16000,100,50,0.008828,0.008828,0.000000,0,0.999854,0.999854,0.999854,0.008828,0,0.0000,0,0.359,0.178402,0.252259,0.000000,
scipy-lbfgsb,hot,1,16000,100,50,0.008828,0.000848,0.903954,1,0.999854,0.999854,0.999854,0.008828,0,0.0000,2000,62.075,0.178402,0.252259,0.000000,
scipy-powell,hot,1,16000,100,50,0.008828,0.000846,0.904225,1,0.999854,0.999875,0.999854,0.008828,0,0.0000,2000,61.249,0.178402,0.252259,0.000000,
scipy-de,hot,1,16000,100,50,0.008828,0.008828,0.000000,0,0.999854,0.999854,0.999854,0.008828,0,0.0000,0,0.344,0.178402,0.252259,0.000000,ValueError: Some entries in x0 lay outside the specified bounds
opt-ga,hot,1,16000,100,50,0.008828,0.000865,0.902000,1,0.999854,0.999771,0.999854,0.008828,0,0.0000,2000,54.955,0.178402,0.252259,0.000000,
opt-pso,hot,1,16000,100,50,0.008828,0.008828,0.000000,0,0.999854,0.999854,0.999854,0.008828,0,0.0000,2000,37.745,0.178402,0.252259,0.000000,
opt-aco,hot,1,16000,100,50,0.008828,0.006692,0.241938,1,0.999854,0.999271,0.999854,0.008828,0,0.0000,2000,36.722,0.178402,0.252259,0.000000,
opt-gd,hot,1,16000,100,50,0.008828,0.000878,0.900576,1,0.999854,0.999854,0.999854,0.008828,0,0.0000,2000,61.952,0.178402,0.252259,0.000000,
none,hot,2,16000,100,50,0.011620,0.011620,0.000000,0,0.999250,0.999250,0.999250,0.011620,0,0.0000,0,0.333,0.121910,0.199953,0.000000,
scipy-lbfgsb,hot,2,16000,100,50,0.011620,0.000584,0.949779,1,0.999250,0.999812,0.999250,0.011620,0,0.0000,2000,65.496,0.121910,0.199953,0.000000,
scipy-powell,hot,2,16000,100,50,0.011620,0.000591,0.949161,1,0.999250,0.999833,0.999250,0.011620,0,0.0000,2000,65.154,0.121910,0.199953,0.000000,
scipy-de,hot,2,16000,100,50,0.011620,0.011620,0.000000,0,0.999250,0.999250,0.999250,0.011620,0,0.0000,2000,35.455,0.121910,0.199953,0.000000,
opt-ga,hot,2,16000,100,50,0.011620,0.000810,0.930302,1,0.999250,0.999812,0.999250,0.011620,0,0.0000,2000,58.120,0.121910,0.199953,0.000000,
opt-pso,hot,2,16000,100,50,0.011620,0.011620,0.000000,0,0.999250,0.999250,0.999250,0.011620,0,0.0000,2000,36.656,0.121910,0.199953,0.000000,
opt-aco,hot,2,16000,100,50,0.011620,0.008435,0.274115,1,0.999250,0.998833,0.999250,0.011620,0,0.0000,2000,37.400,0.121910,0.199953,0.000000,
opt-gd,hot,2,16000,100,50,0.011620,0.000608,0.947711,1,0.999250,0.999771,0.999250,0.011620,0,0.0000,2000,67.301,0.121910,0.199953,0.000000,
none,hot,3,16000,100,50,0.010282,0.010282,0.000000,0,0.999708,0.999708,0.999708,0.010282,0,0.0000,0,0.358,0.144475,0.205070,0.000000,
scipy-lbfgsb,hot,3,16000,100,50,0.010282,0.000598,0.941806,1,0.999708,0.999833,0.999708,0.010282,0,0.0000,2000,62.584,0.144475,0.205070,0.000000,
scipy-powell,hot,3,16000,100,50,0.010282,0.000591,0.942475,1,0.999708,0.999854,0.999708,0.010282,0,0.0000,2000,62.955,0.144475,0.205070,0.000000,
scipy-de,hot,3,16000,100,50,0.010282,0.010282,0.000000,0,0.999708,0.999708,0.999708,0.010282,0,0.0000,2000,36.506,0.144475,0.205070,0.000000,
opt-ga,hot,3,16000,100,50,0.010282,0.000668,0.934989,1,0.999708,0.999833,0.999708,0.010282,0,0.0000,2000,55.049,0.144475,0.205070,0.000000,
opt-pso,hot,3,16000,100,50,0.010282,0.010282,0.000000,0,0.999708,0.999708,0.999708,0.010282,0,0.0000,2000,38.351,0.144475,0.205070,0.000000,
opt-aco,hot,3,16000,100,50,0.010282,0.006309,0.386390,1,0.999708,0.999604,0.999708,0.010282,0,0.0000,2000,38.138,0.144475,0.205070,0.000000,
opt-gd,hot,3,16000,100,50,0.010282,0.000602,0.941436,1,0.999708,0.999833,0.999708,0.010282,0,0.0000,2000,63.000,0.144475,0.205070,0.000000,
none,hot,4,16000,98,49,0.015801,0.015801,0.000000,0,0.998833,0.998833,0.998833,0.015801,0,0.0000,0,0.340,0.120968,0.190621,0.000000,
scipy-lbfgsb,hot,4,16000,98,49,0.015801,0.001495,0.905362,1,0.998833,0.999812,0.998833,0.015801,0,0.0000,2000,62.421,0.120968,0.190621,0.000000,
scipy-powell,hot,4,16000,98,49,0.015801,0.001144,0.927570,1,0.998833,0.999812,0.998833,0.015801,0,0.0000,2000,62.298,0.120968,0.190621,0.000000,
scipy-de,hot,4,16000,98,49,0.015801,0.015801,0.000000,0,0.998833,0.998833,0.998833,0.015801,0,0.0000,2000,37.707,0.120968,0.190621,0.000000,
opt-ga,hot,4,16000,98,49,0.015801,0.012728,0.194492,1,0.998833,0.999812,0.998833,0.015801,0,0.0000,2000,40.312,0.120968,0.190621,0.000000,
opt-pso,hot,4,16000,98,49,0.015801,0.015801,0.000000,0,0.998833,0.998833,0.998833,0.015801,0,0.0000,2000,38.775,0.120968,0.190621,0.000000,
