arm,init,seed,eval,seconds,best_obj
none,hot,0,0,0.0000,0.009248
scipy-lbfgsb,hot,0,0,0.0000,0.009248
scipy-lbfgsb,hot,0,12,0.3855,0.009248
scipy-lbfgsb,hot,0,14,0.4446,0.009248
scipy-lbfgsb,hot,0,22,0.6774,0.009248
scipy-lbfgsb,hot,0,58,1.7250,0.009247
scipy-lbfgsb,hot,0,102,3.0062,0.009179
scipy-lbfgsb,hot,0,113,3.3223,0.009178
scipy-lbfgsb,hot,0,129,3.7785,0.009178
scipy-lbfgsb,hot,0,153,4.4617,0.009178
scipy-lbfgsb,hot,0,203,5.9047,0.003306
scipy-lbfgsb,hot,0,214,6.2261,0.003306
scipy-lbfgsb,hot,0,230,6.6917,0.003306
scipy-lbfgsb,hot,0,254,7.3906,0.003305
scipy-lbfgsb,hot,0,405,11.8186,0.001484
scipy-lbfgsb,hot,0,408,11.9128,0.001484
scipy-lbfgsb,hot,0,409,11.9437,0.001484
scipy-lbfgsb,hot,0,417,12.1747,0.001484
scipy-lbfgsb,hot,0,433,12.6386,0.001484
scipy-lbfgsb,hot,0,457,13.3612,0.001484
scipy-lbfgsb,hot,0,462,13.5147,0.001482
scipy-lbfgsb,hot,0,463,13.5440,0.001478
scipy-lbfgsb,hot,0,506,14.8155,0.001088
scipy-lbfgsb,hot,0,515,15.0796,0.001088
scipy-lbfgsb,hot,0,518,15.1697,0.001088
scipy-lbfgsb,hot,0,534,15.6428,0.001088
scipy-lbfgsb,hot,0,558,16.3551,0.001088
scipy-lbfgsb,hot,0,603,17.6762,0.001088
scipy-lbfgsb,hot,0,604,17.7053,0.001088
scipy-lbfgsb,hot,0,607,17.7916,0.000997
scipy-lbfgsb,hot,0,610,17.8789,0.000997
scipy-lbfgsb,hot,0,611,17.9069,0.000997
scipy-lbfgsb,hot,0,619,18.1353,0.000997
scipy-lbfgsb,hot,0,635,18.5988,0.000997
scipy-lbfgsb,hot,0,659,19.3038,0.000997
scipy-lbfgsb,hot,0,664,19.4589,0.000997
scipy-lbfgsb,hot,0,665,19.4895,0.000997
scipy-lbfgsb,hot,0,704,20.6583,0.000996
scipy-lbfgsb,hot,0,705,20.6878,0.000996
scipy-lbfgsb,hot,0,708,20.7769,0.000946
scipy-lbfgsb,hot,0,711,20.8642,0.000946
scipy-lbfgsb,hot,0,712,20.8934,0.000946
scipy-lbfgsb,hot,0,720,21.1379,0.000946
scipy-lbfgsb,hot,0,736,21.6150,0.000946
scipy-lbfgsb,hot,0,760,22.3358,0.000946
scipy-lbfgsb,hot,0,765,22.4878,0.000946
scipy-lbfgsb,hot,0,805,23.7066,0.000946
scipy-lbfgsb,hot,0,806,23.7378,0.000946
scipy-lbfgsb,hot,0,809,23.8282,0.000869
scipy-lbfgsb,hot,0,812,23.9171,0.000869
scipy-lbfgsb,hot,0,813,23.9462,0.000869
scipy-lbfgsb,hot,0,858,25.3294,0.000869
scipy-lbfgsb,hot,0,866,25.5707,0.000869
scipy-lbfgsb,hot,0,910,26.9245,0.000832
scipy-lbfgsb,hot,0,913,27.0117,0.000832
scipy-lbfgsb,hot,0,914,27.0419,0.000832
scipy-lbfgsb,hot,0,919,27.1887,0.000832
scipy-lbfgsb,hot,0,935,27.6591,0.000832
scipy-lbfgsb,hot,0,959,28.3742,0.000832
scipy-lbfgsb,hot,0,967,28.6045,0.000832
scipy-lbfgsb,hot,0,1011,29.8985,0.000801
scipy-lbfgsb,hot,0,1014,29.9966,0.000801
scipy-lbfgsb,hot,0,1015,30.0279,0.000801
scipy-lbfgsb,hot,0,1020,30.1818,0.000801
scipy-lbfgsb,hot,0,1036,30.6491,0.000801
scipy-lbfgsb,hot,0,1060,31.3676,0.000801
scipy-lbfgsb,hot,0,1213,35.8768,0.000763
scipy-lbfgsb,hot,0,1216,35.9689,0.000763
scipy-lbfgsb,hot,0,1217,35.9991,0.000763
scipy-lbfgsb,hot,0,1222,36.1436,0.000763
scipy-lbfgsb,hot,0,1238,36.6196,0.000763
scipy-lbfgsb,hot,0,1262,37.3288,0.000763
scipy-lbfgsb,hot,0,1415,41.9169,0.000762
scipy-lbfgsb,hot,0,1418,42.0057,0.000762
scipy-lbfgsb,hot,0,1419,42.0357,0.000762
scipy-lbfgsb,hot,0,1424,42.1861,0.000762
scipy-lbfgsb,hot,0,1440,42.6695,0.000762
scipy-lbfgsb,hot,0,1464,43.3716,0.000762
scipy-lbfgsb,hot,0,1617,48.0240,0.000758
scipy-lbfgsb,hot,0,1627,48.3414,0.000758
scipy-lbfgsb,hot,0,1643,48.8393,0.000758
scipy-lbfgsb,hot,0,1667,49.5695,0.000758
scipy-lbfgsb,hot,0,1718,51.1408,0.000756
scipy-lbfgsb,hot,0,1721,51.2308,0.000756
scipy-lbfgsb,hot,0,1722,51.2610,0.000756
scipy-lbfgsb,hot,0,1727,51.4080,0.000756
scipy-lbfgsb,hot,0,1743,51.8877,0.000756
scipy-lbfgsb,hot,0,1767,52.5890,0.000756
scipy-lbfgsb,hot,0,1819,54.1851,0.000756
scipy-lbfgsb,hot,0,1822,54.2774,0.000756
scipy-lbfgsb,hot,0,1823,54.3089,0.000756
scipy-lbfgsb,hot,0,1828,54.4626,0.000756
scipy-lbfgsb,hot,0,1844,54.9642,0.000756
scipy-lbfgsb,hot,0,1868,55.7056,0.000756
scipy-lbfgsb,hot,0,1920,57.7578,0.000755
scipy-lbfgsb,hot,0,1930,58.1752,0.000755
scipy-lbfgsb,hot,0,1933,58.2987,0.000755
scipy-lbfgsb,hot,0,1941,58.6260,0.000755
scipy-powell,hot,0,0,0.0000,0.009248
scipy-powell,hot,0,94,3.0468,0.002567
scipy-powell,hot,0,97,3.1419,0.002053
scipy-powell,hot,0,98,3.1726,0.001811
scipy-powell,hot,0,99,3.2039,0.001583
scipy-powell,hot,0,102,3.2975,0.001583
scipy-powell,hot,0,103,3.3291,0.001583
scipy-powell,hot,0,104,3.3597,0.001583
scipy-powell,hot,0,105,3.3908,0.001583
scipy-powell,hot,0,106,3.4222,0.001583
scipy-powell,hot,0,119,3.8362,0.001583
scipy-powell,hot,0,120,3.8662,0.001583
scipy-powell,hot,0,121,3.8962,0.001583
scipy-powell,hot,0,122,3.9270,0.001583
scipy-powell,hot,0,123,3.9578,0.001583
scipy-powell,hot,0,124,3.9890,0.001583
scipy-powell,hot,0,128,4.1202,0.001583
scipy-powell,hot,0,135,4.3349,0.001583
scipy-powell,hot,0,136,4.3648,0.001583
