route,train rows,membership fns,test accuracy,train (ms)
construction,"4,000",50,0.9997 ± 0.0005,60 ± 3
construction,"16,000",47 ± 2,0.9988 ± 0.0006,99 ± 7
construction,"40,000",49 ± 2,0.9998 ± 0.0001,197 ± 12
construction,"96,000",47 ± 2,0.9997 ± 0.0003,434 ± 44
construction,"188,636",46,0.9997 ± 0.0001,725 ± 21
classical-kmeans,"4,000",60,0.9940 ± 0.0008,15 ± 1
classical-kmeans,"16,000",60,0.9951 ± 0.0017,41 ± 2
classical-kmeans,"40,000",60,0.9937 ± 0.0007,117 ± 18
classical-kmeans,"96,000",60,0.9948 ± 0.0011,252 ± 9
classical-kmeans,"188,636",60,0.9951 ± 0.0015,496 ± 20
classical-fcm,"4,000",60,0.9960,47 ± 2
classical-fcm,"16,000",60,0.9941 ± 0.0023,150 ± 22
classical-fcm,"40,000",60,0.9942 ± 0.0012,460 ± 56
classical-fcm,"96,000",60,0.9948 ± 0.0011,932 ± 74
classical-fcm,"188,636",60,0.9955 ± 0.0008,2752 ± 101
classical-kmeans-20k,"4,000",60,0.9940 ± 0.0008,15 ± 1
classical-kmeans-20k,"16,000",60,0.9951 ± 0.0017,43 ± 2
classical-kmeans-20k,"40,000",60,0.9948 ± 0.0008,98 ± 10
classical-kmeans-20k,"96,000",60,0.9954 ± 0.0011,108 ± 4
classical-kmeans-20k,"188,636",60,0.9941 ± 0.0030,116 ± 4
classical-fcm-20k,"4,000",60,0.9957 ± 0.0005,54 ± 13
classical-fcm-20k,"16,000",60,0.9952 ± 0.0016,158 ± 20
classical-fcm-20k,"40,000",60,0.9947 ± 0.0007,384 ± 10
classical-fcm-20k,"96,000",60,0.9954 ± 0.0011,389 ± 22
classical-fcm-20k,"188,636",60,0.9961 ± 0.0003,498 ± 82
