route,seed,n_rows,components,n_features,n_mfs,accuracy,identify_s,screen_s
construction,0,4000,3,10,50,1.000000,0.062371,0.082000
classical-kmeans,0,4000,3,10,60,0.993000,0.014593,0.082000
classical-fcm,0,4000,3,10,60,0.996000,0.045262,0.082000
classical-kmeans-20k,0,4000,3,10,60,0.993000,0.014639,0.082000
classical-fcm-20k,0,4000,3,10,60,0.995000,0.072885,0.082000
construction,1,4000,3,10,50,1.000000,0.061285,0.087301
classical-kmeans,1,4000,3,10,60,0.994000,0.014161,0.087301
classical-fcm,1,4000,3,10,60,0.996000,0.048942,0.087301
classical-kmeans-20k,1,4000,3,10,60,0.994000,0.013898,0.087301
classical-fcm-20k,1,4000,3,10,60,0.996000,0.041332,0.087301
construction,2,4000,3,10,50,0.999000,0.055645,0.070872
classical-kmeans,2,4000,3,10,60,0.995000,0.015381,0.070872
classical-fcm,2,4000,3,10,60,0.996000,0.047291,0.070872
classical-kmeans-20k,2,4000,3,10,60,0.995000,0.015419,0.070872
classical-fcm-20k,2,4000,3,10,60,0.996000,0.048578,0.070872
construction,0,16000,3,10,50,0.999000,0.108011,0.191647
classical-kmeans,0,16000,3,10,60,0.993000,0.043488,0.191647
classical-fcm,0,16000,3,10,60,0.991750,0.180769,0.191647
classical-kmeans-20k,0,16000,3,10,60,0.993000,0.045951,0.191647
classical-fcm-20k,0,16000,3,10,60,0.993250,0.183526,0.191647
construction,1,16000,3,10,46,0.998000,0.097124,0.191392
classical-kmeans,1,16000,3,10,60,0.995000,0.041514,0.191392
classical-fcm,1,16000,3,10,60,0.993250,0.133309,0.191392
classical-kmeans-20k,1,16000,3,10,60,0.995000,0.041474,0.191392
classical-fcm-20k,1,16000,3,10,60,0.995000,0.154880,0.191392
construction,2,16000,3,10,46,0.999500,0.091014,0.189934
classical-kmeans,2,16000,3,10,60,0.997250,0.039125,0.189934
classical-fcm,2,16000,3,10,60,0.997250,0.134719,0.189934
classical-kmeans-20k,2,16000,3,10,60,0.997250,0.042071,0.189934
classical-fcm-20k,2,16000,3,10,60,0.997250,0.135230,0.189934
construction,0,40000,3,10,46,0.999800,0.180984,0.412602
classical-kmeans,0,40000,3,10,60,0.992700,0.101159,0.412602
classical-fcm,0,40000,3,10,60,0.995700,0.385232,0.412602
classical-kmeans-20k,0,40000,3,10,60,0.995900,0.089875,0.412602
classical-fcm-20k,0,40000,3,10,60,0.995700,0.385435,0.412602
construction,1,40000,3,10,50,0.999900,0.199323,0.399138
classical-kmeans,1,40000,3,10,60,0.994400,0.106754,0.399138
classical-fcm,1,40000,3,10,60,0.992800,0.519657,0.399138
classical-kmeans-20k,1,40000,3,10,60,0.994400,0.092419,0.399138
classical-fcm-20k,1,40000,3,10,60,0.994400,0.395339,0.399138
construction,2,40000,3,10,50,0.999700,0.209801,0.433010
classical-kmeans,2,40000,3,10,60,0.994100,0.142600,0.433010
classical-fcm,2,40000,3,10,60,0.994100,0.474788,0.433010
classical-kmeans-20k,2,40000,3,10,60,0.994100,0.111440,0.433010
classical-fcm-20k,2,40000,3,10,60,0.994000,0.371614,0.433010
construction,0,96000,3,10,46,0.999833,0.417242,1.073809
classical-kmeans,0,96000,3,10,60,0.996292,0.264735,1.073809
classical-fcm,0,96000,3,10,60,0.996292,1.008623,1.073809
classical-kmeans-20k,0,96000,3,10,60,0.996292,0.112944,1.073809
classical-fcm-20k,0,96000,3,10,60,0.996292,0.414776,1.073809
construction,1,96000,3,10,46,0.999875,0.390378,1.129983
classical-kmeans,1,96000,3,10,60,0.994333,0.243826,1.129983
classical-fcm,1,96000,3,10,60,0.994333,0.954804,1.129983
classical-kmeans-20k,1,96000,3,10,60,0.996083,0.107351,1.129983
classical-fcm-20k,1,96000,3,10,60,0.996000,0.361656,1.129983
construction,2,96000,3,10,50,0.999250,0.493368,1.259810
classical-kmeans,2,96000,3,10,60,0.993750,0.247855,1.259810
classical-fcm,2,96000,3,10,60,0.993750,0.832273,1.259810
classical-kmeans-20k,2,96000,3,10,60,0.993875,0.102967,1.259810
classical-fcm-20k,2,96000,3,10,60,0.993875,0.389670,1.259810
construction,0,188636,3,10,46,0.999724,0.743927,2.242748
classical-kmeans,0,188636,3,10,60,0.995971,0.523152,2.242748
classical-fcm,0,188636,3,10,60,0.994402,2.810336,2.242748
classical-kmeans-20k,0,188636,3,10,60,0.996035,0.121224,2.242748
classical-fcm-20k,0,188636,3,10,60,0.996120,0.454081,2.242748
construction,1,188636,3,10,46,0.999724,0.696346,1.869455
classical-kmeans,1,188636,3,10,60,0.996374,0.475471,1.869455
classical-fcm,1,188636,3,10,60,0.996332,2.835831,1.869455
classical-kmeans-20k,1,188636,3,10,60,0.996374,0.115636,1.869455
classical-fcm-20k,1,188636,3,10,60,0.996374,0.428157,1.869455
construction,2,188636,3,10,46,0.999576,0.736196,1.979613
classical-kmeans,2,188636,3,10,60,0.992939,0.488837,1.979613
classical-fcm,2,188636,3,10,60,0.995738,2.610403,1.979613
classical-kmeans-20k,2,188636,3,10,60,0.989906,0.112080,1.979613
classical-fcm-20k,2,188636,3,10,60,0.995738,0.613196,1.979613
