route,train rows,membership fns,test accuracy,train (ms)
construction,"4,000",50,0.9997 ± 0.0005,63 ± 2
construction,"16,000",47 ± 2,0.9988 ± 0.0006,100 ± 5
construction,"40,000",49 ± 2,0.9998 ± 0.0001,222 ± 46
construction,"96,000",47 ± 1,0.9995 ± 0.0005,279 ± 13
construction,"188,636",46,0.9998 ± 0.0000,374 ± 6
classical-kmeans,"4,000",60,0.9940 ± 0.0008,16 ± 2
classical-kmeans,"16,000",60,0.9950 ± 0.0018,42 ± 1
classical-kmeans,"40,000",60,0.9937 ± 0.0007,103 ± 4
classical-kmeans,"96,000",60,0.9948 ± 0.0011,245 ± 17
classical-kmeans,"188,636",60,0.9951 ± 0.0015,492 ± 7
classical-fcm,"4,000",60,0.9953 ± 0.0012,46 ± 4
classical-fcm,"16,000",60,0.9942 ± 0.0022,188 ± 48
classical-fcm,"40,000",60,0.9933 ± 0.0017,473 ± 49
classical-fcm,"96,000",60,0.9963 ± 0.0003,1137 ± 107
classical-fcm,"188,636",60,0.9955 ± 0.0014,2701 ± 195
classical-kmeans-20k,"4,000",60,0.9940 ± 0.0008,15 ± 0
classical-kmeans-20k,"16,000",60,0.9950 ± 0.0018,46 ± 2
classical-kmeans-20k,"40,000",60,0.9948 ± 0.0008,94 ± 7
classical-kmeans-20k,"96,000",60,0.9954 ± 0.0011,112 ± 4
classical-kmeans-20k,"188,636",60,0.9941 ± 0.0030,120 ± 7
classical-fcm-20k,"4,000",60,0.9957 ± 0.0012,50 ± 9
classical-fcm-20k,"16,000",60,0.9956 ± 0.0027,161 ± 10
classical-fcm-20k,"40,000",60,0.9935 ± 0.0015,380 ± 39
classical-fcm-20k,"96,000",60,0.9954 ± 0.0011,384 ± 7
classical-fcm-20k,"188,636",60,0.9956 ± 0.0014,484 ± 82
