route,seed,n_rows,components,n_features,n_mfs,accuracy,identify_s,screen_s
construction,0,4000,3,10,50,1.000000,0.060407,0.073049
classical-kmeans,0,4000,3,10,60,0.993000,0.014354,0.073049
classical-fcm,0,4000,3,10,60,0.994000,0.052483,0.073049
classical-kmeans-20k,0,4000,3,10,60,0.993000,0.015372,0.073049
classical-fcm-20k,0,4000,3,10,60,0.994000,0.043473,0.073049
construction,1,4000,3,10,50,1.000000,0.063208,0.155468
classical-kmeans,1,4000,3,10,60,0.994000,0.018229,0.155468
classical-fcm,1,4000,3,10,60,0.997000,0.043101,0.155468
classical-kmeans-20k,1,4000,3,10,60,0.994000,0.014512,0.155468
classical-fcm-20k,1,4000,3,10,60,0.997000,0.043723,0.155468
construction,2,4000,3,10,50,0.999000,0.063991,0.071446
classical-kmeans,2,4000,3,10,60,0.995000,0.016659,0.071446
classical-fcm,2,4000,3,10,60,0.995000,0.043632,0.071446
classical-kmeans-20k,2,4000,3,10,60,0.995000,0.014940,0.071446
classical-fcm-20k,2,4000,3,10,60,0.996000,0.062398,0.071446
construction,0,16000,3,10,50,0.999000,0.106668,0.201599
classical-kmeans,0,16000,3,10,60,0.992750,0.042924,0.201599
classical-fcm,0,16000,3,10,60,0.992000,0.233744,0.201599
classical-kmeans-20k,0,16000,3,10,60,0.992750,0.043983,0.201599
classical-fcm-20k,0,16000,3,10,60,0.992000,0.172436,0.201599
construction,1,16000,3,10,46,0.998000,0.096213,0.195751
classical-kmeans,1,16000,3,10,60,0.995000,0.042081,0.195751
classical-fcm,1,16000,3,10,60,0.993250,0.121299,0.195751
classical-kmeans-20k,1,16000,3,10,60,0.995000,0.045689,0.195751
classical-fcm-20k,1,16000,3,10,60,0.996250,0.148187,0.195751
construction,2,16000,3,10,46,0.999500,0.098058,0.203342
classical-kmeans,2,16000,3,10,60,0.997250,0.040466,0.203342
classical-fcm,2,16000,3,10,60,0.997250,0.207955,0.203342
classical-kmeans-20k,2,16000,3,10,60,0.997250,0.048279,0.203342
classical-fcm-20k,2,16000,3,10,60,0.998500,0.163494,0.203342
construction,0,40000,3,10,46,0.999800,0.182466,0.431620
classical-kmeans,0,40000,3,10,60,0.992700,0.097532,0.431620
classical-fcm,0,40000,3,10,60,0.995700,0.406562,0.431620
classical-kmeans-20k,0,40000,3,10,60,0.995900,0.085706,0.431620
classical-fcm-20k,0,40000,3,10,60,0.995700,0.326678,0.431620
construction,1,40000,3,10,50,0.999900,0.285545,0.425969
classical-kmeans,1,40000,3,10,60,0.994400,0.103335,0.425969
classical-fcm,1,40000,3,10,60,0.991900,0.523461,0.425969
classical-kmeans-20k,1,40000,3,10,60,0.994400,0.092137,0.425969
classical-fcm-20k,1,40000,3,10,60,0.992700,0.414920,0.425969
construction,2,40000,3,10,50,0.999700,0.197077,0.405594
classical-kmeans,2,40000,3,10,60,0.994000,0.106641,0.405594
classical-fcm,2,40000,3,10,60,0.992200,0.489219,0.405594
classical-kmeans-20k,2,40000,3,10,60,0.994000,0.103767,0.405594
classical-fcm-20k,2,40000,3,10,60,0.992200,0.399617,0.405594
construction,0,96000,3,10,46,0.999833,0.262381,1.084132
classical-kmeans,0,96000,3,10,60,0.996292,0.233031,1.084132
classical-fcm,0,96000,3,10,60,0.996167,1.181123,1.084132
classical-kmeans-20k,0,96000,3,10,60,0.996292,0.106710,1.084132
classical-fcm-20k,0,96000,3,10,60,0.996167,0.383011,1.084132
construction,1,96000,3,10,46,0.999875,0.280735,0.942342
classical-kmeans,1,96000,3,10,60,0.994333,0.233131,0.942342
classical-fcm,1,96000,3,10,60,0.996000,0.989417,0.942342
classical-kmeans-20k,1,96000,3,10,60,0.996083,0.111652,0.942342
classical-fcm-20k,1,96000,3,10,60,0.996083,0.392616,0.942342
construction,2,96000,3,10,48,0.998750,0.293638,1.131604
classical-kmeans,2,96000,3,10,60,0.993750,0.269052,1.131604
classical-fcm,2,96000,3,10,60,0.996792,1.239945,1.131604
classical-kmeans-20k,2,96000,3,10,60,0.993875,0.116460,1.131604
classical-fcm-20k,2,96000,3,10,60,0.993875,0.375837,1.131604
construction,0,188636,3,10,46,0.999788,0.368487,2.210127
classical-kmeans,0,188636,3,10,60,0.995971,0.496618,2.210127
classical-fcm,0,188636,3,10,60,0.996671,2.887301,2.210127
classical-kmeans-20k,0,188636,3,10,60,0.996035,0.109913,2.210127
classical-fcm-20k,0,188636,3,10,60,0.993617,0.389068,2.210127
construction,1,188636,3,10,46,0.999809,0.382255,1.909253
classical-kmeans,1,188636,3,10,60,0.996374,0.496780,1.909253
classical-fcm,1,188636,3,10,60,0.996332,2.783170,1.909253
classical-kmeans-20k,1,188636,3,10,60,0.996374,0.125683,1.909253
classical-fcm-20k,1,188636,3,10,60,0.996395,0.474541,1.909253
construction,2,188636,3,10,46,0.999746,0.370714,1.911588
classical-kmeans,2,188636,3,10,60,0.992939,0.481156,1.911588
classical-fcm,2,188636,3,10,60,0.993490,2.432595,1.911588
classical-kmeans-20k,2,188636,3,10,60,0.989906,0.124752,1.911588
classical-fcm-20k,2,188636,3,10,60,0.996671,0.588203,1.911588
