route,train rows,membership fns,test accuracy,train (ms)
construction,"4,000",45,0.9997 ± 0.0005,42 ± 0
construction,"16,000",44 ± 1,0.9990 ± 0.0007,76 ± 3
construction,"40,000",44 ± 1,0.9997 ± 0.0001,145 ± 5
construction,"96,000",44 ± 1,0.9995 ± 0.0005,310 ± 3
construction,"188,636",43,0.9998 ± 0.0000,582 ± 40
classical-kmeans,"4,000",60,0.9940 ± 0.0008,15 ± 0
classical-kmeans,"16,000",60,0.9951 ± 0.0017,45 ± 10
classical-kmeans,"40,000",60,0.9937 ± 0.0007,110 ± 10
classical-kmeans,"96,000",60,0.9948 ± 0.0011,248 ± 11
classical-kmeans,"188,636",60,0.9951 ± 0.0015,492 ± 36
classical-fcm,"4,000",60,0.9950 ± 0.0008,47 ± 3
classical-fcm,"16,000",60,0.9951 ± 0.0028,158 ± 11
classical-fcm,"40,000",60,0.9924 ± 0.0002,472 ± 93
classical-fcm,"96,000",60,0.9954 ± 0.0010,1005 ± 43
classical-fcm,"188,636",60,0.9966 ± 0.0002,3111 ± 658
classical-kmeans-20k,"4,000",60,0.9940 ± 0.0008,15 ± 1
classical-kmeans-20k,"16,000",60,0.9951 ± 0.0017,40 ± 2
classical-kmeans-20k,"40,000",60,0.9948 ± 0.0008,103 ± 10
classical-kmeans-20k,"96,000",60,0.9954 ± 0.0011,106 ± 6
classical-kmeans-20k,"188,636",60,0.9941 ± 0.0030,112 ± 3
classical-fcm-20k,"4,000",60,0.9953 ± 0.0009,59 ± 14
classical-fcm-20k,"16,000",60,0.9947 ± 0.0022,165 ± 18
classical-fcm-20k,"40,000",60,0.9936 ± 0.0015,446 ± 64
classical-fcm-20k,"96,000",60,0.9954 ± 0.0011,374 ± 25
classical-fcm-20k,"188,636",60,0.9967 ± 0.0003,471 ± 76
