route,seed,n_rows,components,n_features,n_mfs,accuracy,identify_s,screen_s
construction,0,4000,3,10,45,1.000000,0.041481,0.073103
classical-kmeans,0,4000,3,10,60,0.993000,0.014677,0.073103
classical-fcm,0,4000,3,10,60,0.994000,0.051978,0.073103
classical-kmeans-20k,0,4000,3,10,60,0.993000,0.016904,0.073103
classical-fcm-20k,0,4000,3,10,60,0.994000,0.078094,0.073103
construction,1,4000,3,10,45,1.000000,0.042245,0.070778
classical-kmeans,1,4000,3,10,60,0.994000,0.014793,0.070778
classical-fcm,1,4000,3,10,60,0.995000,0.045496,0.070778
classical-kmeans-20k,1,4000,3,10,60,0.994000,0.014663,0.070778
classical-fcm-20k,1,4000,3,10,60,0.996000,0.047956,0.070778
construction,2,4000,3,10,45,0.999000,0.041588,0.071818
classical-kmeans,2,4000,3,10,60,0.995000,0.014215,0.071818
classical-fcm,2,4000,3,10,60,0.996000,0.044768,0.071818
classical-kmeans-20k,2,4000,3,10,60,0.995000,0.014412,0.071818
classical-fcm-20k,2,4000,3,10,60,0.996000,0.050128,0.071818
construction,0,16000,3,10,45,0.999250,0.078618,0.189300
classical-kmeans,0,16000,3,10,60,0.993000,0.058922,0.189300
classical-fcm,0,16000,3,10,60,0.991750,0.172946,0.189300
classical-kmeans-20k,0,16000,3,10,60,0.993000,0.042772,0.189300
classical-fcm-20k,0,16000,3,10,60,0.992000,0.185231,0.189300
construction,1,16000,3,10,43,0.998000,0.077816,0.189919
classical-kmeans,1,16000,3,10,60,0.995000,0.039890,0.189919
classical-fcm,1,16000,3,10,60,0.995000,0.153804,0.189919
classical-kmeans-20k,1,16000,3,10,60,0.995000,0.039837,0.189919
classical-fcm-20k,1,16000,3,10,60,0.995000,0.142219,0.189919
construction,2,16000,3,10,43,0.999750,0.071593,0.188005
classical-kmeans,2,16000,3,10,60,0.997250,0.037455,0.188005
classical-fcm,2,16000,3,10,60,0.998500,0.145920,0.188005
classical-kmeans-20k,2,16000,3,10,60,0.997250,0.038376,0.188005
classical-fcm-20k,2,16000,3,10,60,0.997250,0.166355,0.188005
construction,0,40000,3,10,43,0.999700,0.138190,0.418027
classical-kmeans,0,40000,3,10,60,0.992700,0.096189,0.418027
classical-fcm,0,40000,3,10,60,0.992700,0.342202,0.418027
classical-kmeans-20k,0,40000,3,10,60,0.995900,0.089213,0.418027
classical-fcm-20k,0,40000,3,10,60,0.995700,0.371981,0.418027
construction,1,40000,3,10,45,0.999900,0.148091,0.412070
classical-kmeans,1,40000,3,10,60,0.994400,0.115790,0.412070
classical-fcm,1,40000,3,10,60,0.992100,0.512899,0.412070
classical-kmeans-20k,1,40000,3,10,60,0.994400,0.111341,0.412070
classical-fcm-20k,1,40000,3,10,60,0.992800,0.528897,0.412070
construction,2,40000,3,10,45,0.999600,0.149232,0.453005
classical-kmeans,2,40000,3,10,60,0.994100,0.118119,0.453005
classical-fcm,2,40000,3,10,60,0.992300,0.559730,0.453005
classical-kmeans-20k,2,40000,3,10,60,0.994100,0.106976,0.453005
classical-fcm-20k,2,40000,3,10,60,0.992200,0.436425,0.453005
construction,0,96000,3,10,43,0.999833,0.310988,1.156665
classical-kmeans,0,96000,3,10,60,0.996292,0.238446,1.156665
classical-fcm,0,96000,3,10,60,0.996167,0.986404,1.156665
classical-kmeans-20k,0,96000,3,10,60,0.996292,0.103488,1.156665
classical-fcm-20k,0,96000,3,10,60,0.996167,0.406978,1.156665
construction,1,96000,3,10,43,0.999792,0.306875,1.112721
classical-kmeans,1,96000,3,10,60,0.994333,0.242794,1.112721
classical-fcm,1,96000,3,10,60,0.996000,0.963082,1.112721
classical-kmeans-20k,1,96000,3,10,60,0.996083,0.099143,1.112721
classical-fcm-20k,1,96000,3,10,60,0.996083,0.368232,1.112721
construction,2,96000,3,10,45,0.998750,0.313181,1.177335
classical-kmeans,2,96000,3,10,60,0.993750,0.263873,1.177335
classical-fcm,2,96000,3,10,60,0.994042,1.064461,1.177335
classical-kmeans-20k,2,96000,3,10,60,0.993875,0.113911,1.177335
classical-fcm-20k,2,96000,3,10,60,0.993875,0.345311,1.177335
construction,0,188636,3,10,43,0.999788,0.638866,2.342554
classical-kmeans,0,188636,3,10,60,0.995971,0.543114,2.342554
classical-fcm,0,188636,3,10,60,0.996671,2.775473,2.342554
classical-kmeans-20k,0,188636,3,10,60,0.996035,0.111393,2.342554
classical-fcm-20k,0,188636,3,10,60,0.997031,0.514648,2.342554
construction,1,188636,3,10,43,0.999852,0.561557,1.976561
classical-kmeans,1,188636,3,10,60,0.996374,0.461800,1.976561
classical-fcm,1,188636,3,10,60,0.996332,2.528055,1.976561
classical-kmeans-20k,1,188636,3,10,60,0.996374,0.108399,1.976561
classical-fcm-20k,1,188636,3,10,60,0.996332,0.365044,1.976561
construction,2,188636,3,10,43,0.999746,0.546991,1.867112
classical-kmeans,2,188636,3,10,60,0.992939,0.470814,1.867112
classical-fcm,2,188636,3,10,60,0.996840,4.030333,1.867112
classical-kmeans-20k,2,188636,3,10,60,0.989906,0.114748,1.867112
classical-fcm-20k,2,188636,3,10,60,0.996671,0.534403,1.867112
