route,train rows,membership fns,test accuracy,train (ms)
construction,"4,000",45,0.9997 ± 0.0005,53 ± 4
construction,"16,000",44 ± 1,0.9990 ± 0.0007,83 ± 2
construction,"40,000",44 ± 1,0.9997 ± 0.0001,161 ± 3
construction,"96,000",44 ± 1,0.9997 ± 0.0003,246 ± 5
construction,"188,636",43,0.9997 ± 0.0000,372 ± 6
classical-kmeans,"4,000",60,0.9940 ± 0.0008,17 ± 0
classical-kmeans,"16,000",60,0.9950 ± 0.0018,46 ± 2
classical-kmeans,"40,000",60,0.9937 ± 0.0007,113 ± 6
classical-kmeans,"96,000",60,0.9948 ± 0.0011,278 ± 19
classical-kmeans,"188,636",60,0.9951 ± 0.0015,537 ± 7
classical-fcm,"4,000",60,0.9953 ± 0.0012,52 ± 1
classical-fcm,"16,000",60,0.9952 ± 0.0023,197 ± 38
classical-fcm,"40,000",60,0.9932 ± 0.0006,457 ± 51
classical-fcm,"96,000",60,0.9958 ± 0.0013,1218 ± 241
classical-fcm,"188,636",60,0.9964 ± 0.0005,2566 ± 13
classical-kmeans-20k,"4,000",60,0.9940 ± 0.0008,16 ± 0
classical-kmeans-20k,"16,000",60,0.9950 ± 0.0018,45 ± 1
classical-kmeans-20k,"40,000",60,0.9948 ± 0.0008,107 ± 5
classical-kmeans-20k,"96,000",60,0.9954 ± 0.0011,116 ± 7
classical-kmeans-20k,"188,636",60,0.9941 ± 0.0030,120 ± 3
classical-fcm-20k,"4,000",60,0.9953 ± 0.0009,53 ± 5
classical-fcm-20k,"16,000",60,0.9940 ± 0.0024,182 ± 31
classical-fcm-20k,"40,000",60,0.9935 ± 0.0016,406 ± 32
classical-fcm-20k,"96,000",60,0.9954 ± 0.0010,414 ± 39
classical-fcm-20k,"188,636",60,0.9942 ± 0.0031,472 ± 53
