route,seed,n_rows,components,n_features,n_mfs,accuracy,identify_s,screen_s
construction,0,4000,3,10,45,1.000000,0.048764,0.085233
classical-kmeans,0,4000,3,10,60,0.993000,0.016900,0.085233
classical-fcm,0,4000,3,10,60,0.994000,0.053021,0.085233
classical-kmeans-20k,0,4000,3,10,60,0.993000,0.015970,0.085233
classical-fcm-20k,0,4000,3,10,60,0.994000,0.047355,0.085233
construction,1,4000,3,10,45,1.000000,0.050543,0.087106
classical-kmeans,1,4000,3,10,60,0.994000,0.017584,0.087106
classical-fcm,1,4000,3,10,60,0.997000,0.050858,0.087106
classical-kmeans-20k,1,4000,3,10,60,0.994000,0.016518,0.087106
classical-fcm-20k,1,4000,3,10,60,0.996000,0.052719,0.087106
construction,2,4000,3,10,45,0.999000,0.058867,0.081901
classical-kmeans,2,4000,3,10,60,0.995000,0.017933,0.081901
classical-fcm,2,4000,3,10,60,0.995000,0.051347,0.081901
classical-kmeans-20k,2,4000,3,10,60,0.995000,0.016134,0.081901
classical-fcm-20k,2,4000,3,10,60,0.996000,0.059801,0.081901
construction,0,16000,3,10,45,0.999250,0.086832,0.218023
classical-kmeans,0,16000,3,10,60,0.992750,0.046337,0.218023
classical-fcm,0,16000,3,10,60,0.992000,0.250167,0.218023
classical-kmeans-20k,0,16000,3,10,60,0.992750,0.045941,0.218023
classical-fcm-20k,0,16000,3,10,60,0.991500,0.222718,0.218023
construction,1,16000,3,10,43,0.998000,0.082798,0.211598
classical-kmeans,1,16000,3,10,60,0.995000,0.046946,0.211598
classical-fcm,1,16000,3,10,60,0.996250,0.172581,0.211598
classical-kmeans-20k,1,16000,3,10,60,0.995000,0.044664,0.211598
classical-fcm-20k,1,16000,3,10,60,0.993250,0.147834,0.211598
construction,2,16000,3,10,43,0.999750,0.080837,0.213041
classical-kmeans,2,16000,3,10,60,0.997250,0.043288,0.213041
classical-fcm,2,16000,3,10,60,0.997250,0.167050,0.213041
classical-kmeans-20k,2,16000,3,10,60,0.997250,0.044456,0.213041
classical-fcm-20k,2,16000,3,10,60,0.997250,0.174321,0.213041
construction,0,40000,3,10,43,0.999700,0.159397,0.505851
classical-kmeans,0,40000,3,10,60,0.992700,0.104415,0.505851
classical-fcm,0,40000,3,10,60,0.992700,0.403159,0.505851
classical-kmeans-20k,0,40000,3,10,60,0.995900,0.110231,0.505851
classical-fcm-20k,0,40000,3,10,60,0.995700,0.362818,0.505851
construction,1,40000,3,10,45,0.999900,0.165213,0.524671
classical-kmeans,1,40000,3,10,60,0.994400,0.115268,0.524671
classical-fcm,1,40000,3,10,60,0.992800,0.526489,0.524671
classical-kmeans-20k,1,40000,3,10,60,0.994400,0.099866,0.524671
classical-fcm-20k,1,40000,3,10,60,0.992800,0.417837,0.524671
construction,2,40000,3,10,45,0.999600,0.157492,0.500184
classical-kmeans,2,40000,3,10,60,0.994000,0.119092,0.500184
classical-fcm,2,40000,3,10,60,0.994000,0.442328,0.500184
classical-kmeans-20k,2,40000,3,10,60,0.994000,0.109959,0.500184
classical-fcm-20k,2,40000,3,10,60,0.992100,0.437671,0.500184
construction,0,96000,3,10,43,0.999833,0.249232,1.225466
classical-kmeans,0,96000,3,10,60,0.996292,0.264275,1.225466
classical-fcm,0,96000,3,10,60,0.996292,1.558515,1.225466
classical-kmeans-20k,0,96000,3,10,60,0.996292,0.116258,1.225466
classical-fcm-20k,0,96000,3,10,60,0.996167,0.436445,1.225466
construction,1,96000,3,10,43,0.999875,0.239220,1.254479
classical-kmeans,1,96000,3,10,60,0.994333,0.266395,1.254479
classical-fcm,1,96000,3,10,60,0.997042,1.060128,1.254479
classical-kmeans-20k,1,96000,3,10,60,0.996083,0.106959,1.254479
classical-fcm-20k,1,96000,3,10,60,0.996000,0.359724,1.254479
construction,2,96000,3,10,45,0.999250,0.250807,1.225667
classical-kmeans,2,96000,3,10,60,0.993750,0.304726,1.225667
classical-fcm,2,96000,3,10,60,0.994042,1.034105,1.225667
classical-kmeans-20k,2,96000,3,10,60,0.993875,0.125083,1.225667
classical-fcm-20k,2,96000,3,10,60,0.994042,0.445878,1.225667
construction,0,188636,3,10,43,0.999788,0.368135,2.402269
classical-kmeans,0,188636,3,10,60,0.995971,0.542167,2.402269
classical-fcm,0,188636,3,10,60,0.997031,2.584057,2.402269
classical-kmeans-20k,0,188636,3,10,60,0.996035,0.115304,2.402269
classical-fcm-20k,0,188636,3,10,60,0.995950,0.546746,2.402269
construction,1,188636,3,10,43,0.999703,0.380986,2.181146
classical-kmeans,1,188636,3,10,60,0.996374,0.540836,2.181146
classical-fcm,1,188636,3,10,60,0.996332,2.562107,2.181146
classical-kmeans-20k,1,188636,3,10,60,0.996374,0.120511,2.181146
classical-fcm-20k,1,188636,3,10,60,0.996734,0.429415,2.181146
construction,2,188636,3,10,43,0.999746,0.367998,2.131559
classical-kmeans,2,188636,3,10,60,0.992939,0.526972,2.131559
classical-fcm,2,188636,3,10,60,0.995738,2.553259,2.131559
classical-kmeans-20k,2,188636,3,10,60,0.989906,0.123177,2.131559
classical-fcm-20k,2,188636,3,10,60,0.989906,0.439044,2.131559
