N,N (normalized),classical,stage 1,stage 2,N² (ref.),N² log N (ref.),N³ (ref.)
100,1.0×,1.00×,1.00×,1.00×,1.00×,1.00×,1.00×
200,2.0×,7.73×,3.20×,3.78×,4.00×,4.60×,8.00×
300,3.0×,27.61×,6.29×,8.04×,9.00×,11.15×,27.00×
500,5.0×,148.94×,19.45×,23.77×,25.00×,33.74×,125.00×
750,7.5×,515.84×,35.56×,51.28×,56.25×,80.86×,421.88×
"1,000",10.0×,1275.15×,57.81×,66.57×,100.00×,150.00×,1000.00×
"1,250",12.5×,N/A,88.18×,94.14×,156.25×,241.95×,1953.12×
"1,500",15.0×,N/A,129.44×,112.48×,225.00×,357.31×,3375.00×
"2,000",20.0×,N/A,219.71×,207.24×,400.00×,660.21×,8000.00×
"2,500",25.0×,N/A,326.17×,333.18×,625.00×,1061.86×,15625.00×
"3,000",30.0×,N/A,463.38×,489.13×,900.00×,1564.70×,27000.00×
**fitted exponent**,,**3.13** (6 pts),**1.81** (11 pts),**1.77** (11 pts),2.00,~2.1,3.00
