N,classical O(N³) (s),stage 1 O(N²logN) (s),stage 2 O(N²) (s),cls/s2,s1/s2,orders identical
100,0.0001 ± 0.0000 s,0.0001 ± 0.0000 s,0.0000 ± 0.0000 s,6.8×,9.9×,yes
200,0.0008 ± 0.0001 s,0.0005 ± 0.0000 s,0.0001 ± 0.0000 s,13.9×,8.4×,yes
300,0.0028 ± 0.0002 s,0.0009 ± 0.0001 s,0.0001 ± 0.0000 s,23.3×,7.8×,yes
500,0.0152 ± 0.0005 s,0.0029 ± 0.0002 s,0.0004 ± 0.0000 s,42.5×,8.1×,yes
750,0.0525 ± 0.0044 s,0.0053 ± 0.0002 s,0.0008 ± 0.0001 s,68.1×,6.9×,yes
"1,000",0.1298 ± 0.0044 s,0.0086 ± 0.0002 s,0.0010 ± 0.0001 s,129.8×,8.6×,yes
"1,250",not run (> cap),0.0132 ± 0.0004 s,0.0014 ± 0.0002 s,N/A,9.3×,yes
"1,500",not run (> cap),0.0193 ± 0.0007 s,0.0017 ± 0.0001 s,N/A,11.4×,yes
"2,000",not run (> cap),0.0328 ± 0.0009 s,0.0031 ± 0.0002 s,N/A,10.5×,yes
"2,500",not run (> cap),0.0487 ± 0.0010 s,0.0050 ± 0.0001 s,N/A,9.7×,yes
"3,000",not run (> cap),0.0692 ± 0.0015 s,0.0073 ± 0.0003 s,N/A,9.4×,yes
