kernel,conditions,CPU arm,GPU arm,CPU (s),GPU (s),GPU speedup (CPU/GPU),exactness vs CPU,kind
Boruvka MST (device),"N=4,000, float64, matrix resident",pcvat.vat_prim_mst_c (Cython dense Prim),gpu_vat.boruvka_mst_device,0.01410 ± 0.00107,0.00332 ± 0.00023,4.25x,order 1.000 (bit-identical),estimate (10 seeds)
VAT front end,"N=4,000, float64, order only",pairwise_distances_c + vat_prim_mst_c,gpu_vat.vat_gpu,0.03367 ± 0.00199,0.01500 ± 0.00354,2.24x,order 1.000 (bit-identical),estimate (10 seeds)
VAT front end,"N=4,000, float64, UNMATCHED work",pairwise_distances_c + compute_vat_c (also reorders D),gpu_vat.vat_gpu (order only),0.07777 ± 0.00596,0.01500 ± 0.00354,5.18x,order 1.000 (bit-identical),estimate (10 seeds)
Boruvka MST (device),"N=8,000, float64, matrix resident",pcvat.vat_prim_mst_c (Cython dense Prim),gpu_vat.boruvka_mst_device,0.06129 ± 0.00763,0.00909 ± 0.00055,6.74x,order 1.000 (bit-identical),estimate (10 seeds)
VAT front end,"N=8,000, float64, order only",pairwise_distances_c + vat_prim_mst_c,gpu_vat.vat_gpu,0.12889 ± 0.01138,0.04028 ± 0.00362,3.20x,order 1.000 (bit-identical),estimate (10 seeds)
VAT front end,"N=8,000, float64, UNMATCHED work",pairwise_distances_c + compute_vat_c (also reorders D),gpu_vat.vat_gpu (order only),0.31360 ± 0.03118,0.04028 ± 0.00362,7.79x,order 1.000 (bit-identical),estimate (10 seeds)
Boruvka MST (device),"N=16,000, float64, matrix resident",pcvat.vat_prim_mst_c (Cython dense Prim),gpu_vat.boruvka_mst_device,0.21361 ± 0.01567,0.03252 ± 0.00271,6.57x,order 1.000 (bit-identical),estimate (10 seeds)
VAT front end,"N=16,000, float64, order only",pairwise_distances_c + vat_prim_mst_c,gpu_vat.vat_gpu,0.50824 ± 0.01322,0.13312 ± 0.00604,3.82x,order 1.000 (bit-identical),estimate (10 seeds)
VAT front end,"N=16,000, float64, UNMATCHED work",pairwise_distances_c + compute_vat_c (also reorders D),gpu_vat.vat_gpu (order only),1.22913 ± 0.02661,0.13312 ± 0.00604,9.23x,order 1.000 (bit-identical),estimate (10 seeds)
Boruvka MST (device),"N=32,000, float64, matrix resident",pcvat.vat_prim_mst_c (Cython dense Prim),gpu_vat.boruvka_mst_device,0.81637 ± 0.02679,0.13487 ± 0.00814,6.05x,order 1.000 (bit-identical),estimate (10 seeds)
VAT front end,"N=32,000, float64, order only",pairwise_distances_c + vat_prim_mst_c,gpu_vat.vat_gpu,2.41568 ± 0.06040,0.50447 ± 0.01244,4.79x,order 1.000 (bit-identical),estimate (10 seeds)
VAT front end,"N=32,000, float64, UNMATCHED work",pairwise_distances_c + compute_vat_c (also reorders D),gpu_vat.vat_gpu (order only),6.11540 ± 0.71427,0.50447 ± 0.01244,12.12x,order 1.000 (bit-identical),estimate (10 seeds)
Fuzzy C-Means,"N=50,000, k=10, d=20",fcm.fuzzy_c_means (NumPy broadcasting -- DIFFERENT algorithm),gpu.fuzzy_c_means_gpu (gram + 2 GEMM),0.40975 ± 0.37663,0.10303 ± 0.12461,3.98x,labels 1.000 ± 0.001; max abs Δcentre 4.9e-05,estimate (10 seeds)
Fuzzy C-Means,"N=50,000, k=10, d=20, MATCHED formulation",gram + 2 GEMM in NumPy/BLAS (this file),gpu.fuzzy_c_means_gpu (gram + 2 GEMM),0.20644 ± 0.18987,0.10303 ± 0.12461,2.00x,labels 1.000; max abs Δcentre 1.6e-13,estimate (10 seeds)
Fuzzy C-Means,"N=200,000, k=10, d=20",fcm.fuzzy_c_means (NumPy broadcasting -- DIFFERENT algorithm),gpu.fuzzy_c_means_gpu (gram + 2 GEMM),1.91710 ± 2.01499,0.30412 ± 0.22509,6.30x,labels 1.000; max abs Δcentre 4.8e-06,estimate (10 seeds)
Fuzzy C-Means,"N=200,000, k=10, d=20, MATCHED formulation",gram + 2 GEMM in NumPy/BLAS (this file),gpu.fuzzy_c_means_gpu (gram + 2 GEMM),0.92107 ± 0.95978,0.30412 ± 0.22509,3.03x,labels 1.000; max abs Δcentre 3.2e-13,estimate (10 seeds)
Fuzzy C-Means,"N=500,000, k=10, d=20",fcm.fuzzy_c_means (NumPy broadcasting -- DIFFERENT algorithm),gpu.fuzzy_c_means_gpu (gram + 2 GEMM),5.46745 ± 5.19505,0.74367 ± 0.42856,7.35x,labels 1.000; max abs Δcentre 9.8e-06,estimate (10 seeds)
Fuzzy C-Means,"N=500,000, k=10, d=20, MATCHED formulation",gram + 2 GEMM in NumPy/BLAS (this file),gpu.fuzzy_c_means_gpu (gram + 2 GEMM),2.62968 ± 2.47434,0.74367 ± 0.42856,3.54x,labels 1.000; max abs Δcentre 6.0e-13,estimate (10 seeds)
Pairwise distances,"N=16,000, d=10, float64, high_precision",pcvat.pairwise_distances_c (C/OpenMP),gpu.pairwise_distances_gpu (tiled -> host),0.27966 ± 0.01384,0.91563 ± 0.05982,0.31x,max abs Δ = 7.1e-15,estimate (10 seeds)
Pairwise distances,"N=16,000, d=50, float64, high_precision",pcvat.pairwise_distances_c (C/OpenMP),gpu.pairwise_distances_gpu (tiled -> host),0.34143 ± 0.01456,1.12665 ± 0.02389,0.30x,max abs Δ = 2.8e-14,estimate (10 seeds)
Pairwise distances,"N=16,000, d=200, float64, high_precision",pcvat.pairwise_distances_c (C/OpenMP),gpu.pairwise_distances_gpu (tiled -> host),0.88299 ± 0.03350,1.41962 ± 0.08246,0.62x,max abs Δ = 7.1e-14,estimate (10 seeds)
Pairwise distances,"N=16,000, d=784, float64, high_precision",pcvat.pairwise_distances_c (C/OpenMP),gpu.pairwise_distances_gpu (tiled -> host),4.71135 ± 0.14901,11.04441 ± 0.10807,0.43x,max abs Δ = 2.8e-13,estimate (10 seeds)
Pairwise distances,"N=16,000, d=10, float32, high_precision",pcvat.pairwise_distances_c (C/OpenMP),gpu.pairwise_distances_gpu (tiled -> host),0.19212 ± 0.01319,0.62200 ± 0.05594,0.31x,max abs Δ = 0.0e+00,estimate (10 seeds)
Pairwise distances,"N=16,000, d=10, float32, fast (native acc)",pcvat.pairwise_distances_c (C/OpenMP),gpu.pairwise_distances_gpu (tiled -> host),0.18693 ± 0.01178,0.47405 ± 0.04353,0.39x,max abs Δ = 3.8e-06,estimate (10 seeds)
Pairwise distances,"N=16,000, d=50, float32, high_precision",pcvat.pairwise_distances_c (C/OpenMP),gpu.pairwise_distances_gpu (tiled -> host),0.25926 ± 0.00803,0.86977 ± 0.03183,0.30x,max abs Δ = 1.9e-06,estimate (10 seeds)
Pairwise distances,"N=16,000, d=50, float32, fast (native acc)",pcvat.pairwise_distances_c (C/OpenMP),gpu.pairwise_distances_gpu (tiled -> host),0.25555 ± 0.01307,0.61906 ± 0.03259,0.41x,max abs Δ = 1.1e-05,estimate (10 seeds)
Pairwise distances,"N=16,000, d=200, float32, high_precision",pcvat.pairwise_distances_c (C/OpenMP),gpu.pairwise_distances_gpu (tiled -> host),0.66218 ± 0.02935,1.48515 ± 0.04179,0.45x,max abs Δ = 3.8e-06,estimate (10 seeds)
Pairwise distances,"N=16,000, d=200, float32, fast (native acc)",pcvat.pairwise_distances_c (C/OpenMP),gpu.pairwise_distances_gpu (tiled -> host),0.72363 ± 0.03274,0.84588 ± 0.07071,0.86x,max abs Δ = 3.8e-05,estimate (10 seeds)
Pairwise distances,"N=16,000, d=784, float32, high_precision",pcvat.pairwise_distances_c (C/OpenMP),gpu.pairwise_distances_gpu (tiled -> host),2.68842 ± 0.12020,3.98463 ± 0.06641,0.67x,max abs Δ = 7.6e-06,estimate (10 seeds)
Pairwise distances,"N=16,000, d=784, float32, fast (native acc)",pcvat.pairwise_distances_c (C/OpenMP),gpu.pairwise_distances_gpu (tiled -> host),2.99449 ± 0.06137,1.60782 ± 0.05700,1.86x,max abs Δ = 1.4e-04,estimate (10 seeds)
VAT front end,"N=48,000, float32, 9.22 GB resident",pairwise_distances_c + vat_prim_mst_c,gpu_vat.vat_gpu,4.28409,1.20855,3.54x,order 0.99992; Prim total CPU 42023.180315 vs GPU 42023.180315 (rel 0.00e+00),demonstration (1 shot)
